Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Kenya,494,235,3678.7,3658.8,2005.4,2007.3,2006.4,2005.6,201.5,269.4,238.1,239.9,18.0,34.6,70.2,77.0,69.0,97.6,82.2,101.8,928.0,417.6,510.4,71416.3,32242.0,39174.3,72787.5,32861.1,39926.5
Mozambique,85,62,3512.6,2578.5,2005.4,2004.8,2007.3,2007.9,1081.2,970.6,1146.3,945.8,86.0,85.7,95.4,92.0,59.0,117.6,72.1,118.0,412.8,327.8,85.0,31899.1,25367.0,6532.1,32511.6,25854.0,6657.6
United Arab Emirates,79,67,7118.8,11911.6,2009.4,2009.7,2010.9,2011.1,2703.1,2793.9,2787.3,2784.3,241.0,264.4,260.7,259.0,258.0,313.3,309.7,314.2,1253.3,693.0,560.3,97026.1,53642.4,43383.7,98889.0,54672.4,44216.6
Oman,59,25,3611.3,4937.6,2006.1,2006.2,2006.3,2006.6,1917.8,2280.4,2075.6,2111.0,149.0,181.7,166.5,171.4,103.0,161.5,130.5,136.6,594.6,486.6,108.0,46058.0,37690.7,8367.3,46942.3,38414.3,8528.0
South Africa,54,48,3861.7,1978.6,2005.9,2006.2,2006.8,2007.9,1684.1,1829.9,1810.8,1850.9,123.0,147.6,137.2,153.3,39.5,89.9,59.4,113.4,337.9,301.4,36.5,26077.5,23297.9,2779.7,26578.2,23745.2,2833.1
India,33,27,3101.7,5046.1,2004.5,2006.4,2006.1,2007.0,2748.8,2845.8,2813.9,2819.1,221.0,243.6,248.8,251.9,146.0,220.8,250.5,267.8,563.8,322.8,241.1,43649.9,24983.3,18666.6,44488.0,25463.0,19025.0
Seychelles,24,9,620.7,771.8,2003.9,2000.1,2004.3,2005.7,1037.9,1068.9,1026.1,1024.0,73.5,81.6,79.0,78.6,130.5,105.3,137.3,143.5,124.4,84.6,39.8,9628.1,6543.8,3084.3,9813.0,6669.4,3143.6
Maldives,22,11,1362.3,1730.1,2003.6,2004.8,2004.2,2004.1,2200.7,2255.2,2233.9,2234.3,136.0,147.6,143.9,143.8,116.5,143.6,140.5,137.9,271.6,232.5,39.1,21040.1,18007.7,3032.4,21444.1,18353.5,3090.6
Malaysia,18,11,1040.0,1607.8,2002.4,2006.8,2009.6,2009.6,3831.4,3318.9,3928.6,3930.9,301.0,281.7,327.3,327.6,86.0,172.9,205.8,207.4,141.0,116.4,24.6,10891.2,8996.0,1895.3,11100.4,9168.7,1931.7
Saudi Arabia,16,14,2343.7,3755.9,2005.1,2007.4,2009.0,2010.5,3010.9,3003.4,3031.7,3073.2,255.0,236.6,247.1,251.2,170.0,337.9,367.7,391.0,383.0,201.0,182.1,29670.1,15566.3,14103.8,30239.7,15865.2,14374.6
Singapore,16,16,2278.4,2084.4,2009.2,2009.2,2009.2,2009.7,4125.8,4684.0,4314.4,4308.3,314.5,358.9,358.5,375.3,115.5,189.4,124.4,169.8,272.0,240.5,31.5,21004.9,18602.3,2402.6,21408.2,18959.5,2448.8
Mayotte,13,9,146.5,147.4,2008.2,2005.6,2006.2,2005.5,574.4,677.6,706.2,723.0,74.0,127.3,115.7,131.1,90.0,95.8,96.0,110.0,51.5,33.8,17.7,3963.6,2608.9,1354.7,4039.7,2659.0,1380.7
Namibia,12,11,1763.2,628.3,2005.7,2005.6,2008.5,2007.0,3136.0,3118.2,3144.1,3135.8,206.0,213.7,210.5,211.5,16.0,38.4,18.9,26.9,118.7,112.3,6.4,9159.3,8673.8,485.5,9335.1,8840.3,494.8
Djibouti,11,10,546.2,654.7,2000.1,2000.7,1998.1,1997.5,2133.1,2217.2,2100.3,2087.8,184.0,193.0,162.9,163.5,52.0,61.0,63.1,61.8,78.2,69.9,8.3,6040.0,5404.3,635.7,6156.0,5508.1,647.9
Turkey,11,11,1482.3,2509.7,2010.5,2010.5,2010.8,2010.7,4634.4,4671.8,4635.5,4800.9,431.0,427.3,499.7,501.9,297.0,349.7,374.2,372.4,125.3,110.4,14.9,9695.4,8546.7,1148.7,9881.5,8710.8,1170.7
Sri Lanka,10,10,1110.4,888.8,2004.3,2004.3,2004.5,2003.3,2700.6,2910.6,2840.3,2964.7,172.0,196.7,197.3,217.4,50.0,85.9,68.5,89.7,125.0,114.6,10.4,9682.7,8873.7,809.0,9868.6,9044.0,824.5
