Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Ferry-RoPax,237,2,48.6,29.1,2013.4,2013.5,2014.0,2013.7,111.8,135.5,166.1,165.3,17.0,26.5,72.9,71.6,17.0,20.2,43.8,42.5,79.9,47.9,32.1,6002.3,3595.8,2406.5,6117.6,3664.9,2452.7
Ferry-pax only,90,4,70.2,9.7,2013.2,2008.5,2013.8,2013.9,501.2,835.3,1532.4,1602.9,26.0,65.9,854.4,887.1,24.0,31.8,87.1,82.6,50.2,33.8,16.4,3765.6,2536.5,1229.1,3837.9,2585.2,1252.7
Oil tanker,83,4,21.8,32.7,1992.2,1995.0,2000.3,2001.1,58.6,109.9,88.8,94.6,8.0,82.5,124.7,140.3,78.0,182.1,258.8,283.0,130.7,30.4,100.3,9913.2,2322.0,7591.1,10103.5,2366.6,7736.9
General cargo,79,7,38.7,49.0,1998.0,1999.6,1999.1,1999.2,75.1,125.4,92.6,91.9,14.0,58.8,50.6,54.4,91.0,97.3,100.7,100.1,23.5,12.7,10.7,1774.7,967.6,807.1,1808.8,986.2,822.6
Offshore,33,2,4.4,6.0,1980.0,1996.0,1985.0,1985.3,119.5,168.0,176.4,176.8,23.0,200.8,131.2,134.2,38.0,22.5,81.8,80.9,17.0,9.3,7.7,1276.4,699.6,576.8,1300.9,713.0,587.9
Chemical tanker,20,4,42.1,62.4,1985.0,2004.8,1997.6,2000.0,128.6,210.9,352.8,332.9,20.0,20.2,1100.5,937.0,93.0,69.8,110.4,104.1,57.8,36.5,21.3,4362.9,2751.4,1611.5,4446.6,2804.2,1642.4
Liquefied gas tanker,11,2,33.7,35.0,2012.9,2008.0,2013.7,2013.7,153.6,471.4,808.9,791.4,30.0,52.5,199.6,198.7,60.0,98.8,67.5,67.9,25.5,14.7,10.9,1935.2,1117.7,817.5,1972.3,1139.2,833.2
Service - other,11,3,12.8,4.8,2013.3,2013.3,2012.7,2012.7,2306.1,2160.1,242.5,246.0,139.0,279.2,193.2,197.7,73.0,162.7,192.6,197.8,14.4,8.2,6.3,1083.3,613.5,469.8,1104.1,625.3,478.8
Cruise,9,4,11.2,1.4,1978.3,1986.8,1992.4,1987.6,119.1,120.1,129.4,129.2,12.0,15.8,15.5,18.1,10.0,8.9,8.9,8.7,5.6,3.5,2.0,424.1,268.6,155.5,432.2,273.7,158.5
Container,8,8,27.0,34.3,2004.4,2004.4,2004.5,2004.4,176.8,178.1,157.2,159.0,70.5,76.5,65.7,66.2,131.5,206.5,252.9,255.0,28.4,9.4,19.1,2171.0,721.1,1449.8,2212.7,735.0,1477.7
Bulk carrier,4,4,41.3,73.0,2014.5,2014.5,2015.0,2015.0,211.6,307.1,301.7,302.5,75.0,108.0,64.0,63.9,100.0,84.5,94.9,94.9,7.0,4.9,2.1,541.9,376.7,165.3,552.3,383.9,168.4
Miscellaneous - fishing,3,1,7.5,2.1,2017.0,2017.0,2017.0,2017.0,272.4,272.4,652.7,652.7,47.0,47.0,64.4,64.4,2.0,2.0,167.3,167.3,2.0,0.9,1.1,148.1,68.3,79.8,151.0,69.6,81.3
Vehicle,1,1,25.6,8.1,2004.0,2004.0,2004.0,2004.0,424.6,424.6,424.6,424.6,11.0,11.0,11.0,11.0,41.0,41.0,41.0,41.0,1.0,0.5,0.5,77.9,38.0,40.0,79.4,38.7,40.7
