Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,441,105,10760.6,13513.8,2003.1,2004.3,2002.7,2002.7,245.3,921.6,879.5,881.6,42.0,78.6,163.5,161.7,89.0,101.2,99.8,99.0,2199.2,1612.3,586.9,170007.5,124791.3,45216.2,173271.7,127187.3,46084.4
Vehicle,157,108,10437.2,3471.5,2008.0,2007.9,2007.1,2007.0,302.4,1072.1,1155.1,1155.1,51.0,74.7,185.9,185.9,18.0,25.2,24.5,24.4,675.0,637.4,37.6,52273.6,49364.8,2908.8,53277.3,50312.6,2964.6
Bulk carrier,129,117,6808.5,11588.2,2009.7,2010.0,2010.0,2010.0,583.2,2037.2,1921.0,1903.0,94.0,189.7,379.8,376.6,168.0,221.2,274.6,275.3,681.1,581.4,99.7,52685.5,44996.1,7689.4,53697.0,45860.0,7837.0
General cargo,78,52,1301.7,1740.8,2005.1,2005.5,2009.2,2009.3,450.6,1596.0,1457.2,1438.2,95.5,173.9,308.3,305.0,123.5,148.9,149.5,147.9,244.0,193.7,50.4,18700.8,14917.7,3783.1,19059.8,15204.1,3855.7
Oil tanker,64,42,6640.0,11581.2,2006.0,2008.8,2012.2,2012.3,2694.9,2495.8,2835.0,2842.1,233.5,222.0,257.8,258.0,265.5,370.3,381.1,380.9,1384.0,563.9,820.1,107175.8,43672.0,63503.7,109233.5,44510.5,64723.0
Chemical tanker,61,47,4066.1,6671.8,2006.9,2008.6,2008.7,2008.8,2707.5,2426.6,2518.4,2516.7,232.0,234.8,279.3,275.1,239.0,332.9,339.2,335.0,774.1,438.8,335.3,59911.7,33976.4,25935.2,61062.0,34628.8,26433.2
Ro-Ro,37,6,1350.4,1233.7,2011.4,2008.5,2011.9,2011.9,444.4,543.8,779.0,780.8,35.0,73.4,91.3,91.5,57.0,101.6,87.6,88.0,174.4,136.0,38.4,13485.3,10524.5,2960.8,13744.2,10726.6,3017.7
Liquefied gas tanker,22,6,308.2,357.1,2011.5,2012.2,2011.0,2010.6,1033.0,4956.6,3024.8,3125.6,144.5,375.6,666.5,665.3,119.5,358.7,702.3,721.4,163.8,89.5,74.4,12473.7,6863.2,5610.5,12713.2,6995.0,5718.2
Service - tug,17,3,1.5,1.1,2008.8,2008.3,2009.1,2008.6,120.6,116.8,301.6,282.0,58.0,42.8,1457.2,1093.8,13.0,30.0,93.3,140.8,7.0,5.7,1.3,523.7,429.1,94.5,533.7,437.3,96.4
Cruise,8,6,115.1,15.2,1988.4,1988.2,1992.7,1988.0,701.1,728.3,783.9,803.6,53.0,63.5,83.0,80.8,9.0,9.2,10.3,10.2,30.6,28.4,2.2,2355.9,2185.3,170.6,2401.2,2227.3,173.9
Offshore,8,4,32.8,38.6,1994.1,1999.2,2015.2,2014.6,1234.2,2067.4,2197.2,2183.5,167.0,293.5,419.8,411.2,57.5,145.5,174.2,207.6,17.7,14.7,3.0,1330.3,1105.8,224.6,1355.9,1127.0,228.9
Refrigerated bulk,5,5,175.5,181.5,1992.2,1992.2,1990.2,1990.2,3109.6,3392.6,3411.6,3435.6,202.0,214.0,347.8,347.7,88.0,140.4,66.0,65.6,86.3,66.7,19.6,6574.6,5101.2,1473.4,6700.9,5199.2,1501.7
Service - other,4,3,39.9,19.6,2013.5,2014.0,2013.7,2014.3,1335.0,12882.4,1509.4,1975.8,92.0,1331.3,1672.0,2210.5,52.0,52.0,48.3,50.7,34.6,34.0,0.6,2597.4,2550.0,47.5,2647.3,2598.9,48.4
Ferry-RoPax,3,3,3.4,2.1,2015.0,2015.0,2017.3,2017.2,273.1,945.0,921.8,936.0,69.0,146.3,289.0,289.7,18.0,84.3,36.0,33.8,2.9,1.8,1.1,215.7,132.5,83.2,219.9,135.0,84.8
Miscellaneous - fishing,2,2,4.1,1.2,2003.0,2003.0,2016.5,2015.3,707.6,707.6,1026.7,945.6,147.5,147.5,219.6,212.9,52.5,52.5,55.9,55.6,1.5,1.3,0.2,109.4,96.6,12.8,111.5,98.5,13.0
Other liquids tankers,1,1,44.0,49.8,2009.0,2009.0,2009.0,2009.0,1424.5,1424.5,1424.5,1424.5,32.0,32.0,32.0,32.0,95.0,95.0,95.0,95.0,6.3,2.5,3.8,489.1,192.1,297.1,498.5,195.8,302.8
