Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Douala,441,58,190.9,228.9,2006.2,2005.0,2007.7,2007.6,101.1,367.5,117.6,112.9,31.0,423.7,197.6,142.7,36.0,146.8,105.7,89.7,266.0,159.0,107.1,20102.7,12019.4,8083.3,20488.7,12250.1,8238.5
Moudi Terminal,217,18,40.3,41.6,2005.5,2001.0,2006.3,2005.6,111.3,609.4,112.2,107.0,22.0,134.1,81.1,62.6,10.0,19.2,33.6,32.0,41.3,29.8,11.5,3102.8,2235.7,867.1,3162.4,2278.6,883.8
Kole Oil Terminal,209,15,34.6,31.7,2007.2,1998.5,2008.8,2009.3,101.3,146.7,105.0,106.1,17.0,203.3,54.8,59.7,16.0,27.3,31.7,31.7,40.3,30.1,10.2,3028.5,2260.2,768.3,3086.6,2303.6,783.1
Limboh,145,38,126.5,186.4,2001.6,2003.7,2005.1,2004.8,81.6,150.1,166.4,153.6,14.0,172.9,192.0,210.7,33.0,57.8,157.1,175.7,160.4,48.2,112.2,12223.1,3661.2,8562.0,12457.8,3731.4,8726.3
Kribi,132,33,103.2,161.9,2010.2,2006.1,2009.8,2009.8,91.2,182.7,154.1,162.8,12.0,90.2,118.3,119.9,16.0,100.5,173.8,189.6,44.2,26.8,17.4,3360.3,2028.7,1331.6,3424.8,2067.7,1357.2
Limbe,14,9,4.4,5.8,1993.3,1994.8,2003.0,2003.9,183.5,198.6,135.5,124.5,191.0,171.2,153.8,133.4,12.0,18.1,35.0,34.3,7.4,5.8,1.6,557.0,439.0,118.0,567.7,447.4,120.3
