Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,124,31,2615.0,255.2,2002.4,2003.7,2003.0,2003.6,206.1,266.7,325.8,312.4,15.0,20.5,30.4,28.2,8.0,13.7,10.8,11.5,629.0,530.4,98.6,48717.2,41081.2,7636.0,49652.6,41870.0,7782.6
Bulk carrier,88,11,738.2,1338.0,1972.5,2000.4,2013.2,2013.6,165.1,1640.6,2059.8,2270.7,19.0,141.1,412.0,419.9,28.0,40.9,15.2,14.5,67.9,60.3,7.7,5228.0,4647.5,580.5,5328.4,4736.7,591.7
General cargo,45,38,195.0,268.1,1994.8,1994.5,2001.7,2002.2,585.3,819.9,943.4,924.2,68.0,94.2,118.3,113.5,35.0,79.2,64.0,64.4,43.5,34.8,8.7,3316.7,2661.3,655.3,3380.4,2712.4,667.9
Ferry-RoPax,41,3,113.9,20.2,1979.2,1984.7,1987.2,1988.2,114.2,847.4,272.7,337.1,10.0,33.3,38.9,44.8,12.0,24.7,27.4,29.6,41.6,26.5,15.1,3197.4,2039.7,1157.7,3258.8,2078.9,1179.9
Miscellaneous - fishing,15,1,0.7,0.5,2007.0,2007.0,2007.0,2007.0,81.1,81.1,117.1,117.1,9.0,9.0,13.3,13.3,5.0,5.0,42.5,42.5,1.4,0.6,0.8,103.0,42.0,61.0,105.0,42.8,62.1
Container,14,7,50.4,61.9,1997.9,1999.7,2000.9,2000.2,254.9,300.1,234.2,219.4,18.5,26.0,33.3,32.3,14.5,16.4,13.6,14.0,11.8,8.6,3.2,902.1,658.8,243.3,919.4,671.4,248.0
Ferry-pax only,8,2,0.6,0.1,2011.1,1990.5,1986.2,1982.2,66.9,357.3,143.1,165.3,19.0,62.0,79.7,85.8,18.0,11.5,10.5,9.5,0.8,0.6,0.2,56.3,41.7,14.6,57.4,42.5,14.9
Service - other,7,5,20.2,10.2,2007.6,2006.8,2013.3,2013.8,550.5,643.5,918.0,811.4,79.0,89.6,151.4,139.1,32.0,161.5,36.3,35.9,8.8,7.0,1.8,667.4,535.8,131.7,680.3,546.0,134.2
Vehicle,6,4,136.8,45.8,2001.8,2001.2,2001.7,2001.6,517.3,556.7,525.4,526.8,33.0,36.8,37.9,37.9,11.0,10.2,11.4,11.5,7.3,6.7,0.7,567.2,516.8,50.4,578.1,526.7,51.4
Offshore,5,3,48.7,42.5,2003.4,2000.7,2001.5,2000.1,735.8,3422.0,1559.3,1541.6,65.0,50.3,54.7,50.2,630.0,750.8,1035.5,971.9,29.5,8.2,21.3,2211.4,614.0,1597.4,2253.9,625.8,1628.1
Chemical tanker,5,5,56.5,87.9,2013.8,2013.8,2014.2,2014.2,400.7,809.0,1173.9,1189.1,44.0,74.8,121.8,121.9,12.0,25.2,6.2,6.2,9.7,8.3,1.5,748.3,636.4,111.9,762.7,648.6,114.1
Refrigerated bulk,2,2,10.1,10.1,1993.0,1993.0,1993.2,1993.2,653.5,653.5,653.5,653.5,53.0,53.0,54.8,54.8,54.5,54.5,62.0,62.0,5.2,3.3,1.9,397.8,253.7,144.1,405.4,258.6,146.8
Service - tug,1,1,0.3,0.3,1982.0,1982.0,1982.0,1982.0,678.4,678.4,678.4,678.4,124.0,124.0,124.0,124.0,2.0,2.0,2.0,2.0,0.4,0.4,0.0,27.1,27.0,0.1,27.7,27.5,0.1
Oil tanker,1,1,1.0,1.5,1989.0,1989.0,1989.0,1989.0,471.4,471.4,471.4,471.4,61.0,61.0,61.0,61.0,51.0,51.0,51.0,51.0,0.9,0.5,0.4,70.1,36.6,33.5,71.4,37.3,34.2
