Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Miscellaneous - fishing,5293,70,2223.1,2225.7,2002.6,1995.4,1999.4,2001.0,112.6,1946.4,386.5,358.9,14.0,336.2,918.4,848.2,4.0,196.3,273.0,199.1,1788.6,1351.3,437.3,134389.2,101540.6,32848.6,136969.5,103490.2,33479.3
General cargo,2357,149,3755.4,5465.3,1988.0,2004.2,2004.5,2005.3,249.1,494.9,468.7,476.2,38.0,71.6,129.6,129.5,15.0,71.1,87.8,90.3,961.8,734.4,227.5,72966.4,55882.2,17084.2,74367.4,56955.1,17412.2
Container,1344,181,34542.6,39118.3,2008.1,2008.9,2010.4,2010.2,281.5,386.4,409.1,410.9,29.0,33.1,57.1,58.0,23.0,26.7,31.5,31.5,3793.3,3209.7,583.7,293426.4,248398.1,45028.4,299060.2,253167.3,45892.9
Service - tug,1243,60,123.0,84.1,2010.6,2008.0,2008.3,2005.0,132.0,453.7,255.6,278.6,74.0,407.8,746.3,678.9,26.0,90.3,256.7,290.5,588.2,450.0,138.2,44164.1,33786.9,10377.3,45012.1,34435.6,10576.5
Ferry-RoPax,1178,17,1089.4,425.9,2003.5,2002.6,1989.3,1991.8,263.2,1319.5,357.2,353.2,28.0,415.4,192.7,347.8,10.0,55.7,22.0,26.5,628.4,496.8,131.6,47220.7,37341.9,9878.8,48127.4,38058.9,10068.5
Chemical tanker,1023,131,9913.2,16537.2,2009.4,2010.2,2009.1,2009.2,336.0,442.6,435.4,435.4,49.0,48.7,138.6,136.2,43.0,55.3,94.4,93.3,3034.5,1683.9,1350.6,234453.1,130169.3,104283.8,238954.6,132668.6,106286.0
Bulk carrier,820,383,15263.3,26631.6,2010.7,2011.5,2009.8,2009.7,527.8,515.2,617.5,624.2,61.0,83.1,120.3,122.3,71.0,98.9,122.2,122.5,1550.9,1201.8,349.1,120005.0,93041.0,26963.9,122309.1,94827.4,27481.7
Ro-Ro,761,6,1830.8,883.6,1984.9,1983.7,1986.2,1987.8,276.9,291.1,399.7,419.9,25.0,30.8,45.0,48.4,15.0,15.2,23.0,25.6,683.5,518.6,164.9,52308.5,39863.5,12445.0,53312.8,40628.9,12683.9
Ferry-pax only,557,3,91.6,55.3,2002.7,2003.7,2004.4,2002.6,99.7,280.9,128.4,126.2,11.0,38.0,18.1,16.7,1.0,8.3,6.0,5.6,84.9,77.2,7.7,6374.5,5794.0,580.4,6496.9,5905.3,591.6
Oil tanker,457,52,3733.0,6696.3,2006.6,2007.8,2009.5,2009.6,260.5,397.1,331.8,332.4,42.0,84.4,147.5,150.6,39.0,68.9,114.4,116.9,2174.8,1081.9,1092.9,167788.6,83430.6,84358.0,171010.2,85032.5,85977.7
Cruise,407,31,5290.0,536.4,1996.1,1999.1,2002.5,2001.7,250.0,533.4,617.6,594.7,24.0,39.2,62.2,76.2,10.0,11.5,17.3,20.4,1783.7,1351.8,431.9,136868.9,104194.6,32674.2,139496.8,106195.2,33301.6
Vehicle,191,119,9160.0,3075.9,2007.6,2007.7,2007.7,2007.5,831.2,832.9,806.0,802.1,58.0,66.3,71.0,70.6,15.0,22.6,25.7,25.5,550.0,503.9,46.1,42603.9,39035.6,3568.3,43421.9,39785.1,3636.8
Offshore,180,7,53.0,50.9,2005.3,1995.4,1982.0,1986.3,135.9,553.8,419.9,366.5,35.0,79.1,577.7,669.0,17.0,128.8,107.4,84.8,96.6,70.5,26.1,7267.8,5311.4,1956.4,7407.3,5413.3,1994.0
Refrigerated bulk,96,21,156.1,166.8,1981.0,1992.8,1989.8,1989.9,209.2,315.4,388.9,390.7,17.5,24.8,166.0,157.4,17.0,60.2,63.5,63.8,176.5,110.3,66.1,13306.5,8339.9,4966.6,13561.9,8500.0,5062.0
Liquefied gas tanker,34,14,1430.3,1317.0,2013.3,2010.4,2010.1,2010.4,1401.6,1082.6,1100.9,1040.4,118.0,125.6,159.3,160.3,31.5,42.5,35.0,39.6,224.3,189.2,35.1,15677.6,13007.1,2670.5,15978.6,13256.9,2721.8
Service - other,31,7,66.4,22.7,2007.8,2010.6,2015.8,2015.5,903.1,5076.0,1976.9,1146.2,167.0,414.3,909.4,606.7,49.0,459.1,199.7,160.2,67.1,43.2,23.9,5040.3,3245.5,1794.8,5137.1,3307.8,1829.2
Other liquids tankers,1,1,13.8,19.1,2014.0,2014.0,2014.0,2014.0,487.1,487.1,487.1,487.1,460.0,460.0,460.0,460.0,79.0,79.0,79.0,79.0,5.8,4.4,1.4,450.5,342.9,107.6,459.2,349.5,109.7
