Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,906,718,169209.2,287362.9,2011.3,2011.4,2011.1,2011.3,3132.5,4201.0,5153.2,5131.5,297.5,403.2,739.6,743.4,48.0,73.8,84.4,83.2,12447.1,12126.1,321.0,963494.1,938796.9,24697.2,981993.1,956821.8,25171.4
Container,786,222,155046.3,175316.6,2009.3,2008.8,2009.6,2009.5,1494.9,3289.1,2953.3,2948.1,98.0,202.1,367.0,363.8,23.0,25.6,24.5,24.6,15978.4,15556.7,421.7,1237512.4,1204932.9,32579.4,1261272.6,1228067.7,33204.9
Chemical tanker,402,209,19501.1,32435.4,2008.5,2010.5,2010.4,2010.4,1544.7,2440.4,2534.3,2526.0,147.0,247.2,385.7,386.5,42.0,58.4,63.8,63.7,3079.2,2631.4,447.7,237451.4,203208.8,34242.6,242010.4,207110.4,34900.1
General cargo,283,160,19253.5,29784.3,2008.4,2008.8,2010.6,2011.0,1486.8,3632.7,4223.4,4444.1,141.0,315.6,635.3,649.7,33.0,57.5,63.8,63.3,2172.5,2091.8,80.8,167372.9,161305.9,6067.0,170586.5,164403.0,6183.5
Vehicle,221,146,73492.3,25038.1,2007.3,2007.2,2007.7,2007.6,3632.2,5928.6,5621.4,5701.8,266.0,390.2,590.0,595.9,21.0,42.6,40.8,40.5,4282.2,4157.3,124.9,331700.3,322028.2,9672.2,338069.0,328211.1,9857.9
Cruise,181,46,2373.9,285.7,1994.8,1995.2,2000.4,1997.7,449.9,695.0,698.7,701.2,47.0,59.2,88.5,91.9,8.0,10.3,15.5,20.6,702.5,626.3,76.2,53937.0,48115.0,5821.9,54972.5,49038.8,5933.7
Oil tanker,147,101,25952.6,47776.8,2008.9,2008.9,2009.4,2009.5,2706.7,3333.6,3449.1,3465.2,277.0,389.5,484.8,484.0,52.0,74.1,74.4,74.1,3024.4,2539.0,485.4,233979.5,196529.7,37449.8,238471.9,200303.1,38168.9
Liquefied gas tanker,94,56,28091.4,24354.7,2010.6,2011.1,2009.1,2009.6,3999.2,4610.3,4513.4,4420.3,307.0,324.9,410.7,415.8,32.5,89.5,199.8,168.7,3397.8,2939.0,458.8,215860.2,186362.6,29497.6,220004.7,189940.8,30064.0
Refrigerated bulk,77,45,3699.2,3969.2,1992.1,1992.6,1992.4,1992.3,4627.6,4163.3,4019.3,4049.0,287.0,313.0,326.6,322.2,74.0,77.2,75.9,76.7,1540.7,1375.4,165.3,117596.0,105181.7,12414.3,119853.9,107201.2,12652.7
Miscellaneous - fishing,58,34,722.1,508.4,1990.7,1991.1,1989.1,1988.6,1150.7,3417.4,4696.5,5037.0,206.0,750.1,1592.6,1770.7,23.0,397.6,276.0,213.5,247.6,222.6,25.1,18792.0,16910.8,1881.2,19152.8,17235.5,1917.3
Ferry-pax only,33,3,87.9,11.3,2011.4,1999.3,2009.3,2010.4,451.1,618.5,626.9,587.0,50.0,76.8,188.1,161.4,6.0,10.3,58.2,38.1,35.0,32.0,2.9,2624.7,2406.0,218.7,2675.1,2452.2,222.9
Service - other,32,12,418.4,164.0,2001.1,2002.2,2001.0,2002.1,937.7,3546.6,2365.6,1989.3,102.5,625.4,1054.3,1026.6,22.0,152.0,262.0,265.4,201.8,175.3,26.5,15227.5,13240.3,1987.2,15519.9,13494.5,2025.4
Ferry-RoPax,29,8,150.1,23.9,2005.6,2007.4,2006.4,2010.7,367.7,3689.2,564.4,1046.3,40.0,942.0,908.4,3744.7,7.0,35.8,10.0,8.0,58.8,55.1,3.7,4448.2,4173.4,274.8,4533.7,4253.6,280.1
Offshore,27,9,1019.8,1106.2,1999.1,1997.1,2013.9,2012.2,356.9,2167.6,4330.1,3987.0,115.0,301.6,363.8,344.1,10.0,42.1,7.5,10.0,103.6,101.7,1.9,6759.3,6616.9,142.5,6889.1,6743.9,145.2
Service - tug,24,16,7.2,7.4,2005.4,2002.1,1990.4,1983.1,262.6,842.5,666.6,995.5,113.5,239.2,439.4,462.8,8.0,171.4,291.5,208.7,26.7,22.9,3.9,2008.1,1718.7,289.4,2046.6,1751.7,295.0
Yacht,3,1,0.2,0.2,1911.0,1911.0,1911.0,1911.0,74.0,74.0,244.4,244.4,21.0,21.0,102.4,102.4,11.0,11.0,76.7,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miscellaneous - other,2,1,24.8,6.7,1989.0,1989.0,1989.0,1989.0,1920.7,1920.7,1920.7,1920.7,223.5,223.5,332.7,332.7,14.5,14.5,17.6,17.6,8.9,8.5,0.4,667.7,636.6,31.0,680.5,648.9,31.6
Other liquids tankers,2,2,374.6,525.6,2015.0,2015.0,2014.9,2014.9,6703.5,6703.5,6708.0,6703.5,579.0,579.0,582.7,582.1,38.0,38.0,35.6,36.0,33.4,32.0,1.3,2583.8,2481.6,102.1,2633.4,2529.3,104.1
