Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
San Antonio,527,261,136849.6,111214.0,2009.1,2008.4,2008.1,2008.3,2093.8,5008.9,4265.1,3640.1,161.0,333.1,476.5,419.2,23.0,37.4,31.7,29.4,11712.0,11395.4,316.6,907108.2,882624.8,24483.4,924524.7,899571.2,24953.5
Puerto Angamos,364,224,19075.8,25281.3,2008.8,2010.6,2011.3,2011.1,789.5,2042.4,1583.9,1600.5,60.0,177.2,321.2,333.8,32.0,53.0,102.4,88.1,2226.3,1895.7,330.5,166940.6,143063.9,23876.6,170145.8,145810.8,24335.1
Quintero,244,197,39048.6,50736.7,2009.8,2009.8,2009.2,2009.7,2689.2,3437.9,3635.1,3446.0,292.5,353.3,445.3,464.0,48.5,73.4,143.7,103.1,4937.8,4314.2,623.6,346966.8,303314.4,43652.4,353628.6,309138.0,44490.5
San Vicente,241,128,37912.1,54051.1,2007.9,2008.0,2006.3,2006.8,2326.6,3685.5,3434.9,3428.6,174.0,309.8,392.4,397.9,24.0,47.6,52.3,54.2,4327.7,4083.2,244.5,335082.2,316173.1,18909.1,341515.8,322243.6,19272.2
Valparaiso,227,156,56328.2,64752.9,2009.0,2007.8,2012.5,2012.4,3144.5,4504.2,4183.0,4141.5,265.0,322.6,475.7,472.8,28.0,65.4,38.5,42.1,5653.0,5439.1,213.9,436681.2,420375.9,16305.3,445065.4,428447.1,16618.4
Arturo Prat,147,47,1026.8,453.1,1987.8,1989.1,1992.3,1988.6,434.6,1285.0,825.8,1376.1,55.0,227.4,395.4,628.5,10.0,95.5,135.7,137.5,398.6,343.9,54.7,30372.1,26233.9,4138.2,30955.2,26737.6,4217.6
Arica,137,83,5373.5,5020.4,2007.9,2008.5,2008.8,2009.4,619.6,1619.2,1551.7,1273.1,54.0,198.3,423.3,378.4,43.0,56.0,50.4,58.7,718.9,639.5,79.3,55550.3,49469.2,6081.1,56616.9,50419.0,6197.9
Puerto Patache,130,124,12921.4,22326.6,2011.0,2011.4,2011.0,2011.1,2065.1,3264.2,3253.9,3247.9,281.5,344.4,524.9,522.3,38.5,63.1,76.5,76.6,1201.7,1163.9,37.8,92856.6,89981.6,2875.0,94639.5,91709.3,2930.2
Punta Arenas,127,89,7035.5,8891.3,2005.8,2005.6,2008.0,2009.6,1654.6,2818.6,2319.3,3315.8,177.0,338.0,487.7,474.0,33.0,111.3,104.0,110.5,1202.9,1059.7,143.2,89015.0,78108.9,10906.1,90724.1,79608.6,11115.5
Iquique,118,89,13245.8,5701.7,2006.8,2006.9,2007.8,2007.5,684.5,2483.2,2522.5,2105.9,53.5,176.4,474.5,418.6,31.0,67.1,43.5,46.2,946.9,876.9,70.0,73208.4,67850.8,5357.6,74614.0,69153.5,5460.5
Coronel,116,79,26925.8,35982.9,2007.0,2008.7,2009.3,2009.5,4913.9,5695.4,6566.0,6488.2,397.5,566.9,729.9,728.8,44.5,66.0,72.0,71.0,2020.6,1969.5,51.0,156314.2,152385.2,3929.0,159315.4,155311.0,4004.4
Patillos,100,91,9433.4,16072.1,2011.9,2011.9,2012.0,2011.9,3576.2,3230.0,3272.0,3272.2,324.5,302.5,349.6,350.0,58.0,71.3,79.4,79.3,916.6,885.2,31.4,70824.0,68434.0,2390.0,72183.8,69747.9,2435.9
Lirquen,86,74,16909.4,26056.0,2009.6,2009.8,2010.3,2010.8,3510.6,5098.8,4394.6,4862.7,256.0,430.6,561.7,598.9,35.5,58.8,59.9,62.0,1516.8,1476.9,39.9,117265.4,114217.4,3048.0,119516.9,116410.4,3106.5
Caldera,77,69,36146.2,68753.0,2010.2,2010.1,2012.8,2013.0,6733.2,6382.0,8254.7,8443.5,679.0,592.4,932.6,941.2,50.0,57.5,80.8,81.1,2158.7,2105.5,53.2,166991.7,162923.2,4068.5,170197.9,166051.3,4146.7
Antofagasta,68,63,2846.9,4239.8,2007.7,2008.3,2009.4,2009.9,1486.9,2420.9,2151.8,2151.0,112.0,231.5,469.4,486.4,27.0,51.2,58.5,59.4,438.4,407.8,30.6,33765.6,31458.7,2306.9,34413.9,32062.7,2351.2
Coloso,64,60,5563.4,9648.4,2012.3,2012.2,2012.8,2012.8,1490.0,2711.0,2657.8,2629.7,119.5,242.7,592.7,589.1,16.0,40.4,63.0,62.5,530.5,512.1,18.4,41087.3,39660.3,1427.0,41876.2,40421.7,1454.4
Puerto Montt,51,37,1713.5,2748.3,2006.1,2007.1,2010.4,2010.4,1896.7,2067.1,2682.8,2765.5,147.0,195.9,319.1,327.6,30.0,152.3,190.3,199.0,197.7,181.1,16.6,15254.4,13993.2,1261.2,15547.3,14261.8,1285.4
Tocopilla,50,48,5894.9,9763.1,2012.7,2012.8,2012.6,2012.4,4111.6,4548.0,4533.6,4543.1,470.5,472.8,576.3,575.3,46.0,71.8,82.0,84.1,580.5,564.0,16.5,44915.8,43641.8,1274.0,45778.2,44479.7,1298.5
Huasco,48,46,27951.7,53947.0,2010.7,2010.9,2010.3,2010.2,9353.1,6969.2,8181.1,8247.4,800.0,642.9,889.7,891.7,53.5,83.2,67.1,66.8,1676.1,1650.5,25.6,129815.5,127840.1,1975.4,132308.0,130294.6,2013.4
