Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Guayaquil,1210,177,6828.3,8168.9,2002.2,2003.1,1999.4,1999.6,125.9,635.3,517.3,488.8,13.0,104.2,204.8,207.0,25.0,81.4,34.7,35.0,1830.4,1339.7,490.7,139944.8,102816.0,37128.8,142631.7,104790.0,37841.7
La Libertad,838,65,1387.8,2201.1,1999.9,2003.6,2002.7,2002.6,142.1,308.4,230.5,230.4,14.0,70.2,82.8,79.5,44.0,70.4,88.0,88.2,1345.9,321.5,1024.3,102819.2,24664.2,78155.0,104793.3,25137.7,79655.6
Baltra,638,40,306.6,217.3,1994.1,1995.0,1992.6,1998.7,229.0,250.3,298.5,329.2,62.0,61.1,93.7,114.7,18.0,38.2,93.7,137.3,721.4,463.1,258.3,54245.4,34836.1,19409.2,55286.9,35505.0,19781.9
Baquerizo Moreno,531,38,187.2,156.6,1996.7,1995.2,1994.1,1995.9,92.0,324.6,210.2,283.0,12.0,53.8,65.8,70.3,17.0,41.6,73.8,103.0,332.4,163.9,168.5,25030.9,12369.9,12661.0,25511.5,12607.4,12904.1
Puerto Bolivar,465,110,983.3,1406.6,2003.2,2004.2,2004.6,2004.8,108.6,208.8,139.8,142.0,11.0,44.4,77.7,83.2,17.0,82.7,58.8,63.5,452.3,258.0,194.3,34585.8,19759.0,14826.8,35249.8,20138.4,15111.5
Caleta Tagus,385,26,149.7,101.5,1995.3,1995.9,1994.1,1997.2,152.1,222.3,231.0,309.1,21.0,42.2,73.0,113.4,17.0,16.5,16.7,15.8,234.1,157.6,76.5,17602.2,11853.2,5749.0,17940.2,12080.7,5859.4
Puerto Ayora,341,27,157.8,159.7,1996.8,1998.0,1996.4,1996.6,186.2,417.8,309.0,523.3,49.0,76.5,335.3,493.2,20.0,109.3,120.9,170.3,393.6,250.0,143.6,29588.6,18799.5,10789.1,30156.7,19160.5,10996.2
Esmeraldas,224,63,1951.1,3159.4,1999.7,2005.8,2003.1,2002.6,252.9,383.4,434.2,493.1,25.0,134.1,941.8,1080.2,37.5,45.9,55.6,57.1,652.6,340.9,311.8,50376.9,26274.4,24102.5,51344.2,26778.9,24565.3
Puerto Villamil,223,27,69.0,67.1,1998.4,1994.7,1996.1,1996.8,113.3,218.6,205.2,297.8,28.0,65.8,165.1,230.5,20.0,29.4,14.7,15.6,158.3,102.2,56.1,11904.6,7694.8,4209.8,12133.2,7842.6,4290.6
Posorja,191,97,1381.7,1752.4,2004.6,2003.1,2001.8,2003.3,89.6,1589.2,434.6,429.5,11.0,206.3,1275.2,1165.9,8.0,64.7,560.4,591.0,348.2,282.6,65.7,26500.4,21515.6,4984.7,27009.2,21928.7,5080.4
Seymour,133,15,25.8,5.3,1996.2,1992.9,1992.4,1990.8,99.2,161.7,135.9,119.2,25.0,56.2,43.2,39.5,8.0,10.3,14.7,15.9,51.7,35.5,16.2,3882.0,2665.0,1217.0,3956.5,2716.2,1240.4
Manta,102,43,463.6,368.8,1994.6,1995.4,1995.5,1997.7,162.2,3663.1,678.4,709.0,25.0,461.4,1236.6,1367.9,14.0,210.5,547.5,379.0,351.3,253.1,98.3,26404.2,19023.1,7381.2,26911.2,19388.3,7522.9
Duran,69,44,80.6,114.8,2000.0,2002.9,2003.2,2005.7,90.9,789.4,150.6,138.2,9.0,232.6,231.3,163.5,105.0,196.0,174.6,138.2,138.8,67.7,71.1,10455.3,5108.4,5346.8,10656.0,5206.5,5449.5
Monteverde,8,4,2.4,1.2,2000.1,1997.0,1989.2,1995.9,308.7,1191.6,476.9,252.8,133.0,589.0,595.5,478.1,33.5,22.5,27.7,37.8,6.1,5.2,0.9,458.9,393.2,65.7,467.7,400.8,66.9
Puna,4,3,7.2,9.8,1997.8,1997.3,2004.0,2006.2,382.2,1995.9,230.2,212.0,66.5,1472.2,650.1,383.9,3.5,8.2,10.7,11.5,8.7,8.5,0.2,658.9,643.4,15.5,671.5,655.8,15.7
