Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Aberdeen,2058,386,4779.6,3886.6,2005.4,2006.3,2006.3,2007.4,264.4,635.4,449.4,465.3,25.0,173.9,303.2,346.6,30.0,118.7,178.5,190.6,2764.7,1627.2,1137.4,207310.9,122074.8,85236.1,211291.2,124418.6,86872.6
Belfast,1988,421,11054.1,3776.7,2003.1,2002.3,2003.1,2003.6,145.3,398.7,344.3,288.5,11.0,49.2,2294.8,1335.2,8.0,35.2,10.8,20.2,2864.3,2405.4,458.9,219980.1,184870.6,35109.5,224203.7,188420.1,35783.6
Liverpool,1427,276,4147.6,2321.5,2003.4,2003.8,2004.8,2005.0,144.1,474.0,178.1,199.2,11.0,82.3,37.5,49.6,11.0,69.4,25.4,51.2,1273.8,957.6,316.2,97351.3,73352.7,23998.6,99220.4,74761.1,24459.4
Immingham,980,369,3334.4,4863.3,2003.9,2004.9,2007.1,2007.0,335.3,396.8,421.9,432.2,45.0,92.6,133.1,143.7,22.0,56.8,52.7,53.7,1146.8,768.0,378.8,86140.5,57699.8,28440.7,87794.4,58807.6,28986.8
Tilbury,707,379,915.8,1217.9,2002.3,2003.2,2004.2,2004.7,76.6,190.0,139.2,147.1,15.0,28.2,35.6,33.8,19.0,39.9,43.9,48.7,339.0,195.1,143.9,25560.6,14663.2,10897.4,26051.4,14944.8,11106.6
Peterhead,666,218,1389.6,1346.6,2005.1,2004.4,2007.9,2007.5,308.0,649.3,519.7,475.1,40.0,168.6,301.3,270.9,35.0,98.6,178.5,165.9,864.9,536.6,328.4,64941.4,40285.7,24655.8,66188.3,41059.2,25129.2
Purfleet,588,225,555.0,813.2,2002.5,2005.5,2005.2,2005.2,70.8,130.7,114.0,112.4,9.0,23.9,40.5,32.3,25.0,34.1,35.4,37.2,387.8,146.1,241.6,29433.5,10969.9,18463.6,29998.6,11180.6,18818.1
Thames,573,284,1682.0,2013.8,2008.2,2007.8,2009.7,2009.9,66.0,116.4,77.6,79.9,10.0,25.2,16.4,15.8,18.0,22.8,24.2,25.3,412.4,209.2,203.2,30979.6,15711.3,15268.3,31574.4,16012.9,15561.5
Heysham,530,22,2471.3,923.1,2004.3,2000.9,2004.8,2003.8,143.8,472.7,369.1,362.3,11.0,74.2,87.1,80.5,7.5,60.9,45.6,46.4,683.0,417.0,266.0,52620.0,32090.9,20529.1,53630.3,32707.1,20923.3
Dagenham,523,151,343.8,525.3,1995.3,2003.5,2001.3,2001.3,120.5,183.7,158.4,159.7,15.0,37.3,37.6,35.2,12.0,22.9,22.8,22.9,163.5,103.3,60.2,12309.6,7761.9,4547.8,12546.0,7910.9,4635.1
Teesport,507,282,2042.4,2807.1,2003.6,2004.0,2006.9,2006.5,393.6,574.9,530.1,492.8,31.0,76.2,131.1,127.7,22.0,52.7,114.9,70.5,623.1,371.9,251.2,46763.4,27924.8,18838.6,47661.2,28461.0,19200.3
Broadstairs,496,304,736.5,1076.9,2001.8,2002.8,2006.3,2006.3,84.7,200.0,131.7,140.9,11.0,23.5,37.4,39.8,14.0,40.3,30.6,31.9,282.3,145.8,136.5,21218.9,10972.6,10246.3,21626.3,11183.2,10443.1
Lerwick,469,143,880.8,519.3,1999.2,1999.8,2002.9,2003.5,264.1,758.0,354.3,384.7,31.0,214.9,275.6,340.4,16.0,78.4,71.9,71.4,516.0,401.5,114.4,38743.7,30153.6,8590.1,39487.6,30732.6,8755.0
Avonmouth,461,113,442.0,608.8,2002.6,2004.8,2006.2,2006.8,200.8,287.7,229.5,233.0,24.0,77.0,61.7,53.4,26.0,52.8,45.6,47.1,245.9,155.1,90.7,18628.8,11806.6,6822.3,18986.5,12033.2,6953.2
Grangemouth,439,138,969.3,1267.1,2005.8,2005.1,2006.6,2006.6,249.1,371.1,305.1,312.0,26.0,65.5,62.0,64.5,32.0,37.6,41.7,42.0,497.2,322.4,174.7,37326.8,24206.6,13120.3,38043.5,24671.3,13372.2
Steynton,408,121,1121.3,1603.2,2006.3,2006.2,2007.5,2007.7,198.0,267.0,197.8,191.2,35.0,101.1,71.7,76.7,25.0,56.1,39.8,42.1,586.2,293.1,293.1,44706.2,22324.2,22382.0,45564.6,22752.8,22811.7
Hatston,398,61,1828.7,363.3,1999.6,1998.1,2002.4,2000.1,132.8,262.3,303.4,227.5,11.0,46.3,41.4,44.5,4.0,16.4,22.5,36.0,563.5,437.4,126.1,42500.6,33031.0,9469.6,43316.6,33665.2,9651.4
Tranmere,396,89,1742.1,1502.3,2004.8,2004.3,2005.5,2006.6,139.7,300.3,177.6,182.7,10.0,101.0,74.9,106.3,3.0,63.3,58.1,80.5,583.2,356.0,227.2,44741.2,27271.9,17469.3,45600.2,27795.5,17804.7
Southampton,396,125,1832.6,759.2,2002.9,2003.5,2004.6,2006.4,136.6,372.6,381.6,273.0,33.0,58.1,141.6,94.1,16.0,51.3,21.5,40.7,484.4,403.2,81.2,36613.7,30410.1,6203.6,37316.7,30994.0,6322.7
Mallaig,383,29,109.6,68.4,2006.8,2001.7,1998.5,2003.6,94.1,275.8,232.8,132.3,12.0,34.7,136.8,55.1,12.0,25.5,44.9,36.1,107.0,73.5,33.5,8031.4,5514.8,2516.6,8185.6,5620.7,2564.9
Great Yarmouth,382,153,749.8,755.4,2000.7,2002.7,2004.6,2003.2,353.9,741.8,666.3,654.0,93.0,203.9,381.4,359.8,23.0,138.1,319.3,296.7,548.4,333.1,215.4,41122.1,24960.7,16161.4,41911.7,25439.9,16471.7
