Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,7165,1059,5446.1,7693.4,1997.0,2001.8,2001.8,2002.1,212.8,271.3,298.7,295.4,26.0,35.1,67.4,64.2,24.0,39.1,48.7,45.3,1853.0,1410.6,442.4,139701.8,106438.0,33263.7,142384.1,108481.7,33902.4
Service - other,6333,198,4154.1,4692.6,1997.8,1998.7,1998.2,1996.7,127.1,576.7,238.7,202.9,20.0,127.5,184.5,119.9,11.0,67.0,142.0,115.1,2751.0,1991.0,760.0,206603.4,149518.7,57084.8,210570.2,152389.4,58180.8
Offshore,4879,386,11695.2,11127.6,2006.2,2007.5,2008.7,2008.4,296.7,786.4,601.3,631.8,56.0,216.7,764.4,838.7,28.0,75.8,170.2,157.7,7909.3,5834.3,2075.0,592793.4,437220.3,155573.1,604175.0,445614.9,158560.1
Miscellaneous - fishing,4308,218,1564.3,1103.2,1998.7,1994.4,2000.1,2001.0,234.9,600.9,382.2,309.7,32.0,91.4,214.8,189.5,13.0,49.9,113.7,91.2,1865.3,1317.1,548.2,140058.6,98895.8,41162.8,142747.7,100794.6,41953.2
Service - tug,4267,281,2311.2,1580.8,2002.7,2003.1,2008.0,2007.8,157.1,396.5,435.4,433.7,53.0,226.6,368.1,354.9,29.0,64.7,132.2,130.8,2512.2,1890.1,622.2,188634.5,141917.0,46717.5,192256.2,144641.8,47614.5
Chemical tanker,3433,536,7148.1,10664.7,2005.7,2006.9,2007.0,2007.0,195.6,210.7,230.0,229.3,24.0,32.2,68.4,69.2,23.0,33.9,42.6,43.2,3709.5,1985.2,1724.3,280383.0,150153.9,130229.1,285766.3,153036.8,132729.5
Ferry-RoPax,3193,69,24955.6,4788.6,2000.8,1999.8,2001.7,2001.8,183.4,2188.9,490.2,415.6,11.0,378.8,1249.8,1256.3,4.0,107.4,30.9,31.7,8651.6,6971.6,1680.0,657933.5,530896.9,127036.5,670565.8,541090.1,129475.6
Oil tanker,2688,342,21261.9,37607.9,2004.3,2008.1,2006.8,2006.9,197.2,305.5,370.4,368.4,35.0,61.1,125.6,125.1,19.0,49.5,64.1,64.4,6347.7,3218.4,3129.2,479232.6,242679.9,236552.7,488433.9,247339.3,241094.5
Ro-Ro,2191,58,8254.0,3551.2,2002.7,2003.8,2005.4,2003.4,145.6,252.2,256.0,247.2,11.0,22.6,40.7,39.6,6.0,38.0,26.5,26.9,2380.6,1628.9,751.7,182594.0,125037.3,57556.7,186099.8,127438.0,58661.8
Container,1845,355,6118.2,6965.9,2004.4,2008.1,2007.8,2007.6,182.7,137.1,136.0,138.2,19.0,14.8,28.2,27.9,15.0,18.8,23.0,22.8,1401.1,990.1,411.0,106036.8,75054.5,30982.3,108072.7,76495.6,31577.1
Cruise,1112,86,8598.2,966.2,1983.7,1994.6,2001.7,1997.3,205.0,241.5,308.1,296.4,17.0,20.0,34.0,33.4,10.0,10.1,14.4,13.9,2424.8,1766.8,658.0,184194.2,134127.0,50067.2,187730.7,136702.2,51028.5
Bulk carrier,586,253,4939.6,8452.7,2001.5,2007.8,2002.3,2002.5,220.5,318.5,352.4,351.9,29.0,58.7,82.7,81.2,41.0,88.3,69.7,70.0,634.7,481.7,153.0,48230.5,36599.3,11631.2,49156.6,37302.0,11854.5
Liquefied gas tanker,502,112,1781.5,1903.0,2007.7,2007.5,2010.3,2010.2,343.1,375.0,429.4,437.4,42.0,52.7,88.7,89.4,24.0,36.1,49.6,49.4,719.8,445.3,274.6,54049.4,33414.1,20635.2,55087.1,34055.7,21031.4
Vehicle,397,185,4350.8,1440.8,2005.1,2006.8,2006.6,2006.1,152.3,236.4,232.4,229.2,21.0,25.3,36.8,36.2,13.0,16.9,17.8,17.8,347.3,261.2,86.1,26316.5,19787.3,6529.2,26821.8,20167.2,6654.5
Ferry-pax only,202,15,84.8,12.4,1980.8,1982.3,1995.4,1990.2,379.2,1680.7,825.0,726.8,62.5,327.6,1065.9,803.0,18.5,50.1,268.9,279.5,138.0,99.7,38.4,10412.4,7519.4,2893.0,10612.3,7663.8,2948.6
Other liquids tankers,33,2,18.1,19.8,1973.5,1980.5,1973.9,1974.4,1064.8,831.4,1646.5,1538.3,74.0,67.2,360.8,349.1,21.0,21.8,181.5,175.4,50.1,24.3,25.8,3764.5,1826.2,1938.3,3836.8,1861.3,1975.5
Refrigerated bulk,26,10,37.9,37.5,1999.3,1995.1,1994.7,1993.6,244.0,315.9,290.3,295.7,19.0,28.9,33.9,34.3,5.5,23.8,17.1,17.7,24.2,16.6,7.6,1820.5,1251.0,569.5,1855.4,1275.0,580.4
Yacht,8,2,8.4,9.0,1957.4,1964.5,1955.0,1955.0,284.1,219.8,673.0,669.1,53.5,53.5,340.9,340.7,223.5,165.0,414.5,414.3,17.9,9.3,8.6,1372.9,711.1,661.7,1399.2,724.8,674.4
