Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Belfast,2162,481,7477.3,3812.5,2003.4,2002.9,2004.8,2004.6,147.5,405.5,219.3,258.3,12.0,57.2,35.6,50.7,9.0,40.0,26.0,38.4,1987.1,1496.6,490.6,152407.4,114912.9,37494.5,155333.6,117119.2,38214.4
Aberdeen,1974,348,5517.8,4635.0,2005.4,2006.6,2006.7,2007.8,311.0,697.5,544.4,598.4,40.0,272.2,646.8,820.8,15.0,61.4,74.2,79.3,3091.4,2563.4,528.1,231858.5,192212.9,39645.6,236310.2,195903.4,40406.8
Liverpool,1589,317,5034.6,3237.8,2003.0,2002.9,2004.0,2004.0,149.5,338.1,212.9,258.7,16.0,66.2,57.5,61.2,8.0,36.0,20.2,31.2,1407.3,1129.3,278.1,107526.8,86436.6,21090.2,109591.3,88096.2,21495.2
Immingham,1014,349,2476.4,3546.3,2003.9,2004.2,2006.4,2006.5,300.6,413.8,370.9,372.7,34.0,133.5,131.5,104.0,19.0,44.1,49.4,43.2,991.2,665.0,326.2,74469.2,49945.7,24523.4,75899.0,50904.7,24994.3
Broadstairs,813,483,1264.5,1755.5,2003.8,2004.7,2007.0,2006.5,59.7,122.1,114.8,132.7,7.0,19.5,64.1,76.2,19.0,33.8,35.6,38.5,403.6,200.1,203.6,30351.4,15038.5,15312.9,30934.1,15327.2,15606.9
Peterhead,686,226,2234.3,2261.9,2005.2,2004.5,2009.3,2009.3,347.5,765.5,854.6,860.8,57.0,203.4,1474.3,1624.4,19.0,68.4,78.4,72.5,1305.1,1153.4,151.7,97990.8,86598.0,11392.8,99872.3,88260.7,11611.5
Withernsea,547,291,2651.9,4359.2,1997.1,2000.5,2005.0,2005.4,205.9,349.2,527.1,539.0,23.0,61.1,180.0,174.8,34.0,60.3,84.4,79.6,702.2,403.0,299.3,52814.3,30270.9,22543.5,53828.4,30852.1,22976.3
Heysham,532,26,2373.1,870.9,2004.3,1999.7,2004.2,2003.3,135.6,1368.4,354.7,342.1,11.0,229.8,94.8,96.0,5.0,61.4,23.0,28.5,671.7,534.4,137.4,51758.1,41183.0,10575.1,52751.9,41973.7,10778.2
Teesport,493,272,1356.1,1853.3,2003.9,2004.3,2005.7,2005.5,248.4,394.4,349.3,319.6,29.0,62.6,195.9,135.4,24.0,51.0,57.0,55.7,584.2,363.0,221.1,43879.7,27271.0,16608.7,44722.2,27794.6,16927.6
Tilbury,463,229,833.8,828.0,2000.6,2002.0,2000.8,2003.8,128.3,242.1,274.6,244.0,27.0,41.0,52.3,51.5,23.0,41.8,36.1,46.4,272.8,183.2,89.6,20514.2,13772.6,6741.6,20908.1,14037.0,6871.0
