Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United States of America,926,512,55196.0,76745.1,2007.5,2008.6,2008.2,2008.7,1683.8,1850.4,1891.6,1912.7,141.0,197.3,207.0,225.2,32.0,61.1,47.8,55.3,7643.2,6841.5,801.7,586803.5,526592.9,60210.7,598070.1,536703.4,61366.7
Panama,609,370,8333.4,12040.5,2003.6,2005.8,2009.0,2009.3,374.1,441.7,399.5,415.4,37.0,91.1,72.9,73.4,36.0,66.3,54.4,58.0,1523.6,904.7,619.0,117411.2,69811.1,47600.1,119665.5,71151.5,48514.0
Peru,568,236,36393.1,40329.4,2009.9,2009.2,2010.8,2010.9,1147.8,1225.8,1165.8,1173.5,69.0,118.7,87.3,91.4,27.0,51.7,32.7,34.9,3334.8,3067.2,267.6,258018.0,237422.2,20595.7,262971.9,241980.7,20991.2
Costa Rica,567,170,10273.1,6855.6,2003.1,2004.3,2004.8,2005.3,503.6,573.1,580.0,548.3,45.0,58.9,56.5,56.8,29.0,50.6,32.4,49.7,2378.0,1955.5,422.5,183486.2,151183.2,32303.0,187009.1,154085.9,32923.2
Ecuador,517,242,13751.9,15339.2,2007.6,2007.7,2007.6,2007.8,632.6,761.4,755.5,791.5,67.0,91.4,86.5,90.1,28.0,47.9,34.2,37.6,2009.8,1729.5,280.3,155193.7,133662.9,21530.8,158173.4,136229.2,21944.2
Mexico,433,237,41373.4,49393.9,2007.1,2008.0,2007.1,2007.8,1734.5,1790.2,1785.3,1815.4,130.0,165.8,159.4,173.6,25.0,62.3,50.3,66.0,4201.5,3998.6,202.9,325207.6,309586.0,15621.6,331451.6,315530.1,15921.5
Dominican Republic,429,144,11023.4,12395.0,2007.3,2007.2,2009.5,2008.9,627.5,647.8,634.9,631.5,44.0,64.8,51.4,52.8,20.0,39.4,22.9,24.8,1550.8,1368.8,181.9,119699.8,105783.1,13916.6,121998.0,107814.2,14183.8
Brazil,282,186,40982.1,49301.0,2008.7,2009.6,2008.4,2009.2,3021.2,3170.3,3249.2,3165.3,236.5,318.0,279.0,302.3,24.0,88.2,60.6,77.0,4178.5,4029.1,149.4,322860.4,311329.7,11530.6,329059.3,317307.3,11752.0
Jamaica,194,99,4893.6,5024.3,2007.9,2007.8,2008.4,2010.5,499.4,613.9,540.8,541.4,40.0,70.3,49.0,55.3,24.0,52.8,38.7,45.3,689.3,558.8,130.5,53302.8,43237.7,10065.1,54326.2,44067.9,10258.3
Trinidad and Tobago,167,114,4335.0,6395.9,2009.4,2009.4,2008.4,2008.9,864.2,961.7,998.0,958.9,77.0,109.6,120.3,116.3,20.0,37.9,51.2,46.5,658.3,510.2,148.1,50290.9,39148.8,11142.2,51256.5,39900.4,11356.1
Venezuela (Bolivarian Republic of),163,82,2216.1,3133.7,2005.1,2006.0,2006.8,2007.0,610.1,672.8,719.0,719.7,60.0,93.3,107.6,113.0,77.0,113.3,105.9,109.1,524.5,302.4,222.1,40307.3,23283.1,17024.2,41081.2,23730.1,17351.1
Chile,149,124,25383.2,39256.8,2011.2,2011.2,2012.2,2012.0,2521.9,3616.0,3374.8,3657.5,274.0,355.4,413.1,464.7,100.0,133.9,118.1,135.2,2106.7,1998.3,108.4,162592.6,154215.6,8377.1,165714.4,157176.5,8537.9
Guatemala,142,92,6718.5,8634.8,2005.6,2006.4,2004.9,2005.7,1253.7,1399.3,1252.2,1253.4,123.5,139.6,131.7,136.2,24.0,47.6,33.3,39.1,903.8,849.3,54.5,69913.8,65704.5,4209.3,71256.1,66966.0,4290.1
Spain,136,94,26519.9,41093.5,2006.7,2007.9,2008.1,2009.0,4324.1,4287.9,4355.4,4306.0,326.0,347.2,337.5,348.1,23.5,64.2,68.7,80.5,3106.0,3004.1,101.9,240474.9,232613.6,7861.3,245092.0,237079.8,8012.2
Aruba,118,70,1559.1,1565.2,2001.7,2003.0,2006.2,2007.2,391.8,461.9,438.1,474.7,39.0,86.6,75.7,111.7,15.5,42.0,40.0,61.6,282.7,223.2,59.5,21800.6,17220.0,4580.6,22219.2,17550.7,4668.6
Curaçao,109,34,1733.5,724.3,2000.0,2004.1,1995.1,2004.4,448.6,509.0,454.0,460.4,36.0,80.7,48.9,83.5,11.0,24.9,18.8,35.5,350.3,278.4,71.9,27049.6,21524.7,5524.8,27568.9,21938.0,5630.9
Honduras,83,40,2021.1,2238.5,2001.3,2004.0,2000.6,2002.2,1057.3,1051.7,1071.8,1074.6,82.0,112.8,99.3,99.7,16.0,55.0,32.4,35.4,358.5,327.8,30.8,27715.7,25351.5,2364.1,28247.8,25838.3,2409.5
United Kingdom of Great Britain and Northern Ireland,77,37,8297.2,11528.0,2005.4,2006.8,2005.7,2006.1,4274.7,4343.2,4296.9,4298.6,269.0,346.7,303.2,311.9,19.0,104.1,27.2,29.0,1340.7,1321.2,19.5,103598.8,102129.5,1469.3,105587.9,104090.4,1497.5
Turkey,72,55,37734.2,72951.8,2010.8,2011.0,2010.7,2010.6,5954.9,5982.7,6000.8,5999.2,540.5,548.2,553.6,553.7,87.0,76.1,80.0,80.1,2169.3,2108.7,60.6,168017.6,163337.7,4679.9,171243.6,166473.8,4769.8
Puerto Rico,72,54,1824.2,2418.2,2007.2,2007.4,2007.1,2006.7,779.8,821.2,912.1,934.5,69.5,83.2,136.1,153.8,21.5,51.5,29.0,32.1,238.6,199.4,39.1,18297.4,15357.9,2939.5,18648.7,15652.7,2995.9
Netherlands,70,62,17612.7,31982.6,2010.0,2010.0,2010.8,2010.7,4496.4,4404.6,4235.6,4228.8,415.5,407.0,432.2,438.3,58.0,62.7,71.6,74.5,1307.6,1253.9,53.7,100888.0,96786.8,4101.2,102825.0,98645.1,4180.0
Cuba,61,19,1750.9,1647.9,2007.5,2006.2,2007.8,2007.7,1109.7,1073.7,1201.0,1226.9,73.0,98.3,86.7,91.7,33.0,23.7,31.4,36.9,310.5,269.3,41.2,23960.4,20796.0,3164.4,24420.4,21195.2,3225.2
Guadeloupe,60,17,1842.5,2321.8,2008.2,2007.1,2008.5,2008.3,1098.9,1021.0,1096.8,1092.4,70.5,79.9,75.3,75.9,15.5,44.6,22.9,25.3,295.5,276.7,18.8,22859.3,21418.3,1441.0,23298.2,21829.5,1468.7
Nicaragua,59,17,310.0,406.4,1995.6,2003.7,2008.2,2007.0,197.7,864.9,820.8,819.5,25.0,92.9,126.9,124.3,14.0,118.3,89.2,109.1,65.0,40.2,24.8,5002.6,3091.9,1910.6,5098.6,3151.3,1947.3
Canada,44,25,4148.3,6919.9,1998.1,2001.8,1997.2,1997.3,2443.4,2508.7,2460.8,2460.6,221.5,247.5,231.7,232.0,44.5,69.5,65.4,65.8,373.6,342.8,30.9,28698.7,26380.2,2318.4,29249.7,26886.7,2363.0
French Polynesia,43,17,5862.4,6851.0,2008.5,2007.3,2008.0,2008.8,4849.5,4776.9,4806.6,4838.6,302.0,305.1,306.6,307.9,13.0,14.0,14.5,14.8,1018.2,1010.0,8.2,78872.7,78237.5,635.2,80387.1,79739.7,647.4
Gibraltar,43,43,10701.3,20235.5,2010.7,2010.7,2011.2,2011.2,4061.2,4127.4,4035.9,4027.1,388.0,407.2,396.2,394.1,11.0,11.4,12.4,12.4,661.8,658.4,3.4,51229.7,50964.5,265.2,52213.3,51943.0,270.3
New Zealand,37,15,10172.1,11875.5,2006.7,2006.4,2006.6,2006.9,6899.8,6917.7,6913.5,6908.7,439.0,455.9,451.3,448.8,15.0,17.4,18.4,18.1,1556.9,1546.8,10.1,120599.7,119819.2,780.4,122915.2,122119.8,795.4
China,36,30,22717.5,40408.4,2010.1,2010.5,2011.8,2012.1,9230.2,9047.0,10412.5,11128.3,808.5,795.4,1183.9,1221.5,23.5,68.0,72.8,74.5,1503.5,1478.3,25.2,116451.4,114499.6,1951.8,118687.3,116698.0,1989.3
Saint Lucia,33,28,1507.6,2695.1,2005.7,2006.0,2007.8,2007.7,1032.8,1048.4,1062.0,1070.2,112.0,128.1,127.7,129.9,36.0,48.6,55.1,56.6,240.7,154.3,86.5,18636.6,11939.5,6697.1,18994.4,12168.7,6825.7
Virgin Islands (U.S.),32,8,186.5,258.5,2013.3,2009.9,2009.7,2008.7,875.8,835.5,870.5,867.5,99.5,121.1,165.4,187.3,35.5,43.6,51.7,55.1,69.2,50.2,19.0,5282.6,3858.7,1423.9,5384.0,3932.8,1451.2
Italy,28,24,6923.3,12683.0,2008.4,2008.2,2009.0,2009.1,5398.3,5665.9,5772.5,5762.2,470.0,477.8,525.7,528.4,65.0,113.0,116.3,116.7,595.4,560.4,35.1,46089.7,43381.2,2708.5,46974.6,44214.1,2760.5
"Bonaire, Sint Eustatius and Saba",24,24,701.3,1204.2,2005.7,2005.7,2008.3,2008.6,789.1,757.5,803.3,816.8,76.0,78.3,85.2,86.8,32.0,54.7,60.1,60.8,103.1,63.6,39.5,7974.8,4916.0,3058.8,8127.9,5010.4,3117.5
Guyana,22,18,200.5,287.2,2005.8,2006.3,2010.1,2010.3,1256.5,1249.7,1232.0,1235.2,141.5,147.8,123.2,123.8,47.0,51.9,57.6,58.5,34.2,31.5,2.7,2614.2,2412.0,202.2,2664.4,2458.3,206.1
Bahamas,22,21,1307.6,1792.6,2006.0,2006.3,2005.7,2007.4,1198.4,1169.1,1176.6,1231.3,102.0,115.5,118.3,133.7,11.5,34.3,40.0,25.6,203.4,155.9,47.5,15754.8,12075.4,3679.3,16057.3,12307.3,3750.0
Portugal,21,20,7441.7,14357.8,2011.7,2011.8,2011.7,2011.7,3787.1,3816.3,3812.3,3812.1,356.0,382.5,384.4,384.3,89.0,94.9,94.8,94.8,415.9,404.6,11.3,32216.1,31338.4,877.8,32834.7,31940.1,894.6
Sint Maarten (Dutch part),18,2,76.7,114.5,2014.3,2012.5,2014.7,2014.9,867.4,964.4,887.3,886.5,98.5,103.2,109.6,109.3,26.5,25.8,25.0,25.1,18.1,17.2,0.9,1391.6,1321.0,70.6,1418.3,1346.4,71.9
France,17,17,3293.9,6086.5,2010.2,2010.2,2011.5,2011.5,4381.2,4117.0,4232.9,4232.7,433.0,391.6,423.9,424.2,116.0,226.9,128.2,127.1,259.2,243.3,15.9,20034.9,18818.4,1216.5,20419.6,19179.7,1239.9
Israel,16,6,9115.3,17926.9,2011.1,2010.5,2011.1,2011.1,6128.5,6126.6,6159.5,6159.3,556.0,609.6,584.4,583.7,146.5,156.8,165.7,165.6,487.9,471.0,16.9,37793.2,36480.8,1312.4,38518.8,37181.3,1337.6
Singapore,16,16,10380.8,19685.2,2006.6,2006.6,2010.0,2010.0,11805.8,10434.9,11348.0,11586.5,1044.0,945.3,1054.4,1053.8,11.5,18.8,16.8,16.8,725.7,718.6,7.1,56194.1,55643.4,550.7,57273.0,56711.8,561.2
Malaysia,14,6,7486.0,14376.6,2007.9,2007.7,2008.2,2008.1,296.3,11203.6,7818.5,9004.7,37.5,1027.3,1196.4,1204.0,14.0,14.8,15.4,15.3,413.0,409.5,3.5,31992.5,31719.6,272.8,32606.7,32328.6,278.1
Cayman Islands,14,11,633.3,69.6,2001.1,2001.3,2006.2,2003.6,694.4,758.4,765.9,752.1,40.5,57.3,51.9,58.3,8.0,24.5,8.5,20.3,130.7,120.4,10.3,10114.8,9321.9,793.0,10309.0,9500.8,808.2
Japan,13,12,4852.6,8138.9,2009.4,2009.2,2009.6,2010.5,8556.1,8593.3,8587.0,8608.7,804.0,790.4,809.1,832.8,54.0,52.6,51.4,53.3,364.9,359.5,5.4,28266.7,27846.9,419.8,28809.4,28381.6,427.9
Suriname,13,12,164.9,255.3,2005.8,2005.4,2010.0,2010.0,1495.2,1808.3,1643.9,1653.3,163.0,193.1,205.4,206.9,97.0,353.3,136.1,136.8,40.3,26.7,13.6,3075.9,2053.8,1022.0,3134.9,2093.2,1041.7
Uruguay,12,12,2297.1,4161.8,2012.8,2012.8,2012.7,2012.6,5013.2,5027.7,5013.5,5009.5,460.5,456.2,455.4,455.4,7.5,30.4,29.1,28.1,174.9,170.9,4.0,13542.3,13235.4,306.9,13802.3,13489.5,312.8
Greece,12,10,4482.3,8574.1,2005.8,2003.6,2014.2,2014.3,5560.6,5031.5,5632.2,5633.0,504.5,455.4,504.2,504.2,4.0,8.3,9.7,9.7,249.4,248.6,0.8,19316.1,19256.7,59.4,19686.9,19626.4,60.5
Sweden,12,12,1690.9,2502.2,2008.1,2008.1,2008.5,2008.4,4923.2,4925.4,4772.9,4685.0,423.0,408.7,376.2,380.6,8.0,22.4,15.1,13.9,157.6,155.7,1.9,12132.1,11991.3,140.8,12365.1,12221.6,143.5
Indonesia,11,11,12607.3,24274.2,2010.5,2010.5,2011.6,2011.6,11964.5,10531.9,11713.7,11886.2,1044.0,968.1,1140.0,1139.4,12.0,42.3,47.3,46.7,746.8,742.1,4.8,57850.0,57481.6,368.4,58960.7,58585.3,375.4
Martinique,11,8,232.2,336.1,2007.0,2006.1,2007.8,2007.7,930.5,986.3,1006.1,989.5,83.0,92.9,92.7,92.5,45.0,40.1,36.8,38.4,37.2,33.3,3.9,2858.1,2565.9,292.1,2912.9,2615.2,297.8
"Korea, Republic of",10,10,9640.6,17346.0,2007.3,2007.3,2006.7,2006.0,14276.7,13187.6,13870.4,14117.2,1295.0,1172.8,1265.1,1306.8,369.5,365.6,434.7,464.6,554.0,528.0,25.9,42908.3,40901.4,2006.9,43732.2,41686.7,2045.5
Poland,9,9,2899.3,5321.0,2011.0,2011.0,2010.6,2010.5,5396.6,5470.7,5471.5,5474.8,516.0,597.3,579.5,578.6,90.0,104.1,108.2,108.4,217.5,211.7,5.8,16729.1,16294.6,434.6,17050.3,16607.4,442.9
Morocco,9,9,942.3,1193.4,2006.2,2006.2,2005.4,2005.9,3948.9,3716.9,3397.1,3980.0,296.0,277.9,282.7,289.8,16.0,62.0,43.3,50.8,181.2,171.6,9.7,13998.3,13261.7,736.6,14267.1,13516.3,750.8
Haiti,8,8,62.1,98.2,1994.2,1994.2,2002.8,2002.6,628.6,712.8,812.2,813.0,84.0,145.0,96.4,97.9,14.0,40.9,22.1,22.6,11.9,10.4,1.5,912.4,799.5,112.9,929.9,814.9,115.1
French Guiana,8,6,113.7,156.6,2009.6,2009.8,2009.5,2009.5,1627.3,1624.6,1632.5,1632.2,175.5,207.2,188.5,189.7,112.0,113.3,126.3,126.0,27.5,20.5,7.0,2099.7,1571.5,528.2,2140.0,1601.6,538.3
Malta,7,7,2488.8,4582.3,2012.6,2012.6,2012.9,2013.2,5106.1,5222.2,5153.9,5127.5,479.0,459.3,472.5,476.4,14.0,12.6,13.9,14.0,178.3,177.6,0.7,13813.9,13757.4,56.5,14079.1,14021.6,57.6
India,7,7,6599.3,12646.0,2013.6,2013.6,2014.1,2014.2,11522.1,10340.2,10861.2,11157.1,988.0,891.0,954.1,959.4,63.0,80.9,70.4,70.0,404.8,391.7,13.1,31342.0,30326.4,1015.6,31943.8,30908.7,1035.1
South Africa,7,7,3578.6,6864.3,2006.4,2006.4,2002.3,2002.0,6979.0,8949.2,9741.2,9852.6,639.0,867.6,1344.4,1364.9,15.0,57.0,48.6,48.1,216.8,214.9,1.9,16791.0,16644.9,146.1,17113.4,16964.5,148.9
Belgium,7,4,1068.4,1160.0,2008.1,2008.2,2008.1,2008.1,4972.5,4947.7,5159.0,5154.1,305.0,357.5,347.7,349.6,13.0,7.2,25.7,25.6,164.9,162.7,2.2,12740.7,12571.8,168.9,12985.4,12813.2,172.1
Mauritius,6,6,3580.8,6759.3,2007.7,2007.7,2007.3,2007.3,8466.7,8475.5,8476.4,8477.2,798.0,822.5,831.9,831.7,12.5,16.8,17.8,17.9,193.1,190.1,3.0,14958.6,14726.9,231.7,15245.8,15009.6,236.2
Denmark,6,6,846.6,1436.7,2009.0,2009.0,2010.2,2010.4,4908.7,4895.4,4878.1,4876.3,429.0,430.8,436.2,437.2,5.0,7.5,4.3,4.2,79.5,79.3,0.2,6115.4,6098.6,16.8,6232.8,6215.7,17.1
Germany,5,5,1097.8,1114.4,2006.2,2006.2,2008.5,2008.6,4650.2,3842.2,4481.4,4463.9,268.0,277.6,340.4,407.0,15.0,26.4,46.3,73.3,79.2,78.2,1.0,6104.0,6029.5,74.5,6221.2,6145.3,76.0
United Arab Emirates,5,4,1628.7,3088.5,1989.0,1996.8,2010.5,2010.5,383.4,4603.3,8955.7,8973.3,172.0,452.9,810.7,810.7,24.0,223.9,417.1,416.5,128.7,112.0,16.7,9971.5,8674.1,1297.3,10162.9,8840.7,1322.2
Saint Vincent and the Grenadines,5,4,11.6,16.2,1995.0,1995.5,1995.0,1995.0,913.7,921.9,919.0,918.7,138.0,149.4,151.7,151.9,98.0,98.5,95.0,94.6,3.1,2.8,0.3,232.9,206.9,26.0,237.3,210.9,26.5
Gabon,4,4,248.9,351.0,2006.5,2006.5,2009.2,2009.4,5124.2,5119.2,5138.7,5141.7,403.0,420.0,405.0,406.5,62.5,73.2,83.6,85.7,47.4,46.3,1.1,3661.1,3578.1,83.1,3731.4,3646.8,84.6
Belize,4,4,180.1,67.1,2010.8,2010.8,2011.4,2009.0,1044.2,1126.3,1053.1,1089.5,84.0,106.2,74.5,99.9,123.5,200.8,59.3,229.6,37.8,35.0,2.8,2920.4,2706.3,214.1,2976.5,2758.3,218.2
Norway,3,3,206.8,267.4,2012.7,2012.7,2012.7,2012.7,4895.7,4854.6,4857.9,4841.9,390.0,385.7,384.9,385.7,52.0,37.0,37.8,38.1,36.0,35.3,0.7,2769.3,2717.1,52.2,2822.5,2769.3,53.2
El Salvador,3,3,66.4,114.6,2014.7,2014.7,2014.8,2014.8,995.2,1079.8,1046.8,1047.2,73.0,86.0,84.4,84.5,47.0,104.7,143.3,144.4,12.1,9.0,3.1,931.5,694.1,237.4,949.4,707.4,242.0
Finland,3,3,119.6,170.0,2001.3,2001.3,2001.4,2001.4,5698.5,5713.8,5711.5,5714.0,483.0,474.7,475.8,476.3,63.0,61.0,60.1,60.9,28.7,27.6,1.1,2194.8,2108.9,85.8,2236.9,2149.4,87.5
Ireland,3,3,1108.7,2156.9,2012.3,2012.3,2012.3,2012.2,3895.7,3991.3,3991.5,3990.4,466.0,446.0,448.6,447.6,272.0,191.3,195.4,193.0,47.1,44.0,3.1,3646.1,3403.8,242.2,3716.1,3469.2,246.9
Qatar,2,2,0.3,0.4,1970.5,1970.5,1970.0,1969.4,254.2,254.2,161.4,165.9,68.5,68.5,69.4,70.4,60.5,60.5,61.2,62.0,0.4,0.3,0.1,30.0,24.5,5.5,30.6,25.0,5.6
Slovenia,2,2,783.6,1479.7,2013.0,2013.0,2013.7,2013.8,5612.1,5612.1,5631.1,5632.2,757.0,757.0,867.8,873.7,29.0,29.0,19.1,18.6,54.0,53.7,0.3,4186.4,4159.6,26.9,4266.8,4239.4,27.4
Viet Nam,2,1,38.6,37.6,2009.0,2009.0,2009.0,2009.0,7621.1,7621.1,7621.1,7621.1,1551.5,1551.5,1358.8,1358.8,1684.5,1684.5,1775.7,1775.7,24.9,11.1,13.8,1873.2,835.5,1037.7,1909.2,851.6,1057.6
Monaco,2,1,15.3,26.4,2018.0,2018.0,2018.0,2018.0,813.0,813.0,813.0,813.0,76.0,76.0,75.9,75.9,4.0,4.0,4.0,4.0,2.9,2.8,0.1,220.7,212.2,8.6,225.0,216.3,8.7
Côte d'Ivoire,2,2,558.0,1027.7,2010.0,2010.0,2010.1,2010.1,4594.1,4594.1,4594.2,4594.1,409.5,409.5,408.9,409.2,174.5,174.5,171.9,173.0,42.1,38.4,3.7,3260.9,2971.3,289.5,3323.5,3028.4,295.1
