Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,1023,332,3938.7,4523.5,1982.7,1986.3,1987.0,1988.2,637.2,1001.8,1090.0,1008.3,81.0,120.5,246.8,233.3,74.0,112.3,125.5,122.2,1052.1,822.0,230.0,80106.4,62746.3,17360.1,81644.4,63951.0,17693.4
Container,932,181,76472.6,85339.4,2004.4,2005.5,2011.9,2011.9,307.9,1341.9,1776.5,1734.0,34.5,93.0,248.6,248.7,15.0,20.1,20.7,20.6,7783.9,7542.7,241.2,602490.4,583968.0,18522.4,614058.2,595180.2,18878.1
Chemical tanker,237,143,5517.6,8787.1,2005.9,2006.3,2008.2,2008.3,762.0,1181.4,1122.8,1131.1,79.0,122.9,184.0,185.7,36.0,65.4,86.7,87.8,1178.5,868.6,309.9,91091.8,67153.6,23938.2,92840.7,68443.0,24397.8
Bulk carrier,187,127,4624.7,7768.0,2000.9,2002.0,2006.0,2006.0,842.7,1390.1,1411.4,1415.1,88.0,155.4,255.7,256.9,78.0,105.5,101.1,101.9,538.0,459.4,78.6,41542.6,35519.9,6022.7,42340.2,36201.9,6138.4
Vehicle,151,90,21418.2,7235.4,2006.3,2008.1,2008.6,2008.2,1505.0,2971.2,2699.3,2681.0,97.0,204.3,316.0,315.5,5.0,5.8,5.3,5.3,1225.4,1209.8,15.6,94885.7,93691.4,1194.3,96707.6,95490.3,1217.3
Ro-Ro,128,16,928.8,557.5,1983.8,1996.1,1993.2,1992.3,621.0,1017.5,810.1,780.2,41.0,92.8,104.9,106.4,70.0,48.8,127.3,122.1,310.4,132.1,178.3,23668.9,10151.9,13516.9,24123.3,10346.8,13776.5
Oil tanker,66,46,3319.8,5656.1,2004.8,2004.9,2005.5,2005.5,1039.0,1828.3,2081.1,2115.7,116.0,196.6,333.4,337.6,31.5,47.5,55.7,56.0,538.6,422.1,116.4,41642.8,32632.8,9009.9,42442.3,33259.4,9182.9
Liquefied gas tanker,53,15,287.4,326.1,2005.5,2006.9,2007.3,2007.2,658.8,815.3,781.6,777.7,90.0,109.3,129.1,129.2,22.0,26.9,23.8,23.7,101.1,82.5,18.6,7723.0,6323.2,1399.9,7871.3,6444.6,1426.7
Cruise,17,2,75.0,11.9,1988.2,1982.0,1988.5,1988.4,423.1,353.6,555.7,545.1,34.0,24.0,60.3,59.9,3.0,12.5,64.2,63.9,26.3,13.8,12.5,1982.7,1038.3,944.3,2020.7,1058.3,962.5
Service - tug,6,6,11.1,8.9,1992.0,1992.0,2004.1,2002.0,1421.1,3488.2,2284.1,2016.3,214.5,1434.5,4696.9,4178.7,12.5,466.2,65.1,47.4,27.6,24.1,3.5,2073.3,1813.8,259.4,2113.1,1848.6,264.4
Offshore,5,2,1.4,1.8,1986.4,1997.5,1990.1,1988.5,202.8,250.9,232.1,246.1,33.0,72.2,145.0,153.2,13.0,11.2,12.1,12.3,3.2,3.0,0.2,237.8,224.0,13.8,242.3,228.3,14.1
Service - other,3,2,11.6,5.0,1990.7,1990.0,1990.4,1990.5,638.1,873.7,853.5,864.4,118.0,121.8,147.0,148.0,34.0,49.2,37.4,37.5,3.3,2.8,0.5,250.7,209.7,41.1,255.5,213.7,41.9
Refrigerated bulk,1,1,10.2,11.6,1994.0,1994.0,1994.0,1994.0,998.3,998.3,998.3,998.3,63.0,63.0,63.0,63.0,578.0,578.0,578.0,578.0,19.3,3.8,15.5,1450.8,287.3,1163.5,1478.7,292.8,1185.9
