Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,538,72,7959.1,9976.3,1998.9,2002.0,1999.7,1999.5,951.7,972.0,1013.2,1013.0,83.0,93.6,110.7,110.9,15.0,18.4,31.7,32.6,1711.9,1529.4,182.5,131263.5,117447.0,13816.5,133783.8,119702.0,14081.8
Oil tanker,190,33,5544.7,8724.1,2006.7,2006.0,2008.4,2007.7,1072.2,1392.0,1637.6,1762.1,107.0,285.6,704.1,812.8,31.0,75.9,64.0,63.2,914.9,700.3,214.6,70511.1,54073.0,16438.2,71865.0,55111.2,16753.8
Chemical tanker,147,54,1517.4,2264.6,2008.6,2009.2,2009.4,2009.3,1067.7,1360.0,1299.5,1289.9,118.0,167.3,206.4,202.3,28.0,38.3,65.5,64.2,457.7,350.8,107.0,34982.0,26888.2,8093.8,35653.6,27404.5,8249.2
General cargo,109,72,1072.4,1453.7,2001.7,2003.3,2001.9,2002.3,940.8,1261.9,1084.6,1091.0,95.0,173.0,231.7,230.3,46.0,100.0,107.1,111.0,262.2,206.8,55.4,20044.2,15859.1,4185.1,20429.1,16163.6,4265.4
Bulk carrier,94,84,4244.7,7177.9,2007.0,2007.6,2008.7,2008.7,1180.3,1897.3,1893.3,1875.4,145.0,228.4,357.1,354.9,49.5,187.2,172.3,161.9,431.0,375.7,55.3,33294.9,29065.8,4229.1,33934.1,29623.8,4310.3
Service - tug,51,17,123.8,124.4,2009.7,2006.9,2007.5,2007.2,968.4,1682.9,1432.9,1547.9,205.0,485.1,1037.6,1111.9,44.0,269.7,148.4,149.9,93.2,84.3,8.9,7020.4,6353.0,667.5,7155.2,6475.0,680.3
Vehicle,36,18,2134.8,671.5,2005.9,2006.7,2005.8,2005.9,1085.0,2032.3,1630.7,1606.5,78.0,121.0,143.3,145.1,17.5,52.6,99.7,91.0,163.1,138.0,25.2,12611.5,10667.4,1944.2,12853.7,10872.2,1981.5
Offshore,25,11,127.3,128.0,2011.8,2010.7,2014.2,2014.4,2100.9,5457.9,1810.4,1781.0,432.0,1083.0,934.2,910.0,52.0,781.5,308.6,261.3,116.6,87.9,28.7,8797.9,6641.4,2156.6,8966.9,6768.9,2198.0
Service - other,10,8,95.1,115.7,2007.2,2005.0,2002.2,1990.9,3580.3,3386.2,2538.5,3438.8,584.5,693.0,953.3,1405.2,80.5,216.4,219.8,168.2,42.7,39.4,3.3,3218.3,2967.2,251.2,3280.1,3024.1,256.0
Cruise,8,6,174.2,19.0,2003.1,2001.3,2003.7,2002.3,608.9,634.3,654.0,650.5,54.0,53.9,55.5,55.3,11.5,12.8,12.2,12.4,41.0,36.9,4.2,3164.9,2841.6,323.4,3225.7,2896.1,329.6
Liquefied gas tanker,5,5,33.8,33.3,1998.2,1998.2,2000.1,2000.6,1111.0,1517.4,1457.0,1424.4,103.0,151.8,190.1,181.5,73.0,61.2,69.7,67.6,11.5,6.7,4.8,877.4,513.6,363.8,894.2,523.4,370.8
Ro-Ro,1,1,9.8,8.0,2000.0,2000.0,2000.0,2000.0,1108.8,1108.8,1108.8,1108.8,97.0,97.0,97.0,97.0,6.0,6.0,6.0,6.0,2.6,2.5,0.1,197.6,193.4,4.2,201.4,197.2,4.3
