Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Singapore,8283,3039,115744.4,176145.2,2006.4,2007.7,2007.9,2008.3,570.3,915.4,897.3,931.8,55.0,138.1,190.0,193.7,15.0,55.7,68.0,70.7,17935.6,14296.5,3639.1,1373550.0,1095474.8,278075.2,1399922.2,1116508.0,283414.2
Malaysia,5267,2205,75265.5,116496.2,2005.2,2006.3,2006.9,2007.5,518.3,933.8,921.2,968.1,54.0,122.4,236.3,257.4,20.0,74.0,101.9,98.2,11543.0,8659.6,2883.3,886678.0,665978.8,220699.2,903702.2,678765.6,224936.7
China,3401,2398,369165.7,658111.0,2007.5,2008.2,2008.9,2009.0,2286.8,2503.1,2612.3,2637.9,223.0,275.4,486.4,503.5,58.0,90.5,98.5,98.9,30908.5,27831.4,3077.1,2375268.1,2138786.0,236482.1,2420873.3,2179850.7,241022.6
Australia,976,650,85970.4,138362.3,2008.1,2009.5,2009.7,2009.9,1791.5,2621.4,2871.5,2955.5,173.5,280.0,500.8,523.1,46.0,89.4,96.9,103.1,8138.7,7547.8,590.9,621592.2,576057.8,45534.4,633526.8,587118.1,46408.6
Japan,968,613,108490.9,158573.0,2007.2,2008.8,2007.1,2008.9,2927.5,3179.1,3048.5,3041.5,261.0,309.6,320.4,329.9,46.0,73.5,64.8,72.6,9886.4,9256.8,629.5,726509.7,678299.1,48210.6,740458.7,691322.5,49136.2
Philippines,878,571,33988.4,51153.9,2007.2,2007.9,2008.4,2008.6,1356.6,1601.4,1551.3,1545.5,115.0,156.0,232.9,245.8,55.0,112.2,143.8,163.7,3920.0,3259.3,660.7,302603.7,251832.7,50771.1,308413.7,256667.8,51745.9
Thailand,868,606,39460.5,60857.6,2006.0,2007.4,2009.1,2009.1,1466.3,1810.2,1675.9,1760.6,135.0,179.3,198.2,209.2,49.0,117.5,127.0,136.8,4433.6,3544.0,889.6,341811.4,273268.9,68542.6,348374.2,278515.6,69858.6
India,848,711,76109.4,136141.0,2008.3,2008.7,2008.6,2008.6,2413.5,2550.3,2821.9,2845.1,217.5,254.2,445.4,455.7,68.0,100.0,106.4,107.9,7108.0,6334.2,773.7,549288.4,489918.1,59370.3,559834.8,499324.5,60510.3
Viet Nam,791,495,19148.7,29892.4,2006.0,2006.7,2007.6,2007.8,1291.5,1709.9,1526.5,1551.1,135.0,215.2,225.2,231.3,53.0,142.9,128.4,136.2,2600.7,2153.6,447.1,200113.9,165975.7,34138.2,203956.1,169162.4,34793.7
"Korea, Republic of",594,407,73393.8,123316.0,2005.7,2006.9,2007.5,2007.6,2968.1,3362.8,3436.3,3469.2,263.0,314.9,436.9,459.7,44.0,95.9,111.4,118.8,6800.2,6110.3,689.9,521277.8,468311.1,52966.6,531286.3,477302.7,53983.6
"Taiwan, Province of China",574,389,47900.6,73355.5,2006.9,2008.2,2009.1,2009.3,2003.8,2460.8,2649.4,2550.6,155.0,236.0,561.7,579.3,30.0,69.3,68.4,72.5,5023.3,4607.7,415.6,373175.5,341256.9,31918.7,380340.5,347809.0,32531.5
United Arab Emirates,471,411,166194.5,308607.3,2008.2,2008.4,2008.0,2008.0,3508.6,3634.1,3616.1,3614.2,317.0,355.3,361.2,362.1,36.0,74.6,69.2,69.7,9065.6,8495.0,570.6,699715.3,655534.8,44180.5,713149.9,668121.0,45028.8
Hong Kong,260,193,15750.9,24240.2,2006.3,2007.0,2006.8,2007.0,1948.1,2129.0,2008.2,2018.3,164.5,225.8,230.1,238.9,8.0,35.6,51.1,57.3,1748.8,1664.7,84.1,134344.5,127864.8,6479.7,136923.9,130319.8,6604.1
Sri Lanka,246,185,17382.3,30536.1,2006.1,2008.4,2008.8,2009.0,1514.3,1716.5,1705.5,1715.5,137.5,193.0,209.3,213.0,13.5,35.2,40.8,40.7,1323.1,1243.5,79.6,102084.0,95991.0,6093.1,104044.0,97834.0,6210.0
Bangladesh,221,148,6742.9,11164.7,2004.8,2005.5,2003.8,2003.6,1666.1,1860.8,1936.5,1941.1,152.0,202.1,350.2,372.4,72.0,129.7,149.3,152.3,1031.0,853.5,177.4,79318.1,65807.4,13510.7,80841.0,67070.9,13770.1
Brazil,197,178,170457.5,325179.3,2007.7,2008.6,2007.8,2007.9,9075.0,9050.8,9232.1,9260.5,787.0,805.6,817.1,817.2,72.0,117.7,107.8,107.7,8239.8,7988.9,250.9,638211.9,618805.2,19406.7,650465.6,630686.3,19779.3
Saudi Arabia,148,129,58303.3,108120.0,2008.9,2009.5,2009.4,2009.4,3998.1,3998.4,3963.0,3952.8,345.5,361.8,369.3,371.1,42.0,53.8,48.5,48.5,2936.9,2704.5,232.4,227404.4,209414.6,17989.7,231770.5,213435.4,18335.1
South Africa,124,120,37309.3,68548.5,2008.2,2008.4,2008.5,2008.6,4952.6,5452.7,5670.5,5711.5,435.0,490.6,562.5,568.9,35.0,60.7,51.9,51.0,2465.9,2397.4,68.5,190806.2,185512.6,5293.6,194469.7,189074.4,5395.2
Timor-Leste,116,31,551.3,761.3,2002.8,2001.7,2002.5,2002.9,826.2,1275.9,689.3,675.9,82.5,345.2,173.4,161.9,41.5,84.4,59.1,60.4,217.5,192.0,25.5,16522.5,14601.5,1921.0,16839.7,14881.8,1957.9
United States of America,110,97,58823.1,106592.4,2007.5,2008.8,2010.6,2010.6,7880.3,8779.1,9081.2,9082.0,674.5,764.2,896.9,893.6,62.0,98.2,109.9,111.5,4545.8,4178.6,367.2,350369.3,322787.7,27581.6,357096.4,328985.2,28111.1
Papua New Guinea,86,53,3089.8,3967.5,2004.0,2004.4,2006.1,2006.0,2508.4,2206.6,2421.3,2460.6,185.5,246.7,200.6,206.5,48.5,88.8,98.4,93.1,622.5,575.1,47.5,47953.4,44339.4,3614.0,48874.1,45190.7,3683.4
Iraq,86,75,41510.6,79707.5,2009.9,2010.1,2010.5,2010.5,3941.4,4026.0,3931.8,3969.9,356.0,383.8,392.4,393.0,70.5,79.0,82.3,82.4,1974.0,1712.0,261.9,152906.3,132615.6,20290.7,155842.1,135161.8,20680.3
Myanmar,84,40,813.1,1194.0,2002.5,2003.4,2004.5,2004.2,1266.8,1859.8,1533.0,1514.2,142.0,190.4,247.9,236.8,47.5,138.2,161.7,150.2,244.6,178.1,66.6,18710.9,13682.2,5028.7,19070.2,13944.9,5125.3
Brunei Darussalam,79,56,2431.9,3252.5,2009.8,2007.6,2009.5,2006.9,1018.5,1259.9,1249.9,1385.3,99.0,189.4,222.1,288.4,28.0,81.9,42.3,54.4,221.0,196.5,24.6,17041.0,15155.9,1885.2,17368.2,15446.9,1921.4
Angola,71,66,80688.9,154950.8,2011.3,2011.2,2011.6,2011.6,7565.9,8137.7,8190.4,8198.5,707.0,786.2,984.2,986.9,30.0,40.7,36.3,36.3,3386.4,3289.7,96.6,262300.2,254813.8,7486.4,267336.4,259706.3,7630.1
Pakistan,70,59,6250.3,10373.8,2007.6,2008.6,2008.6,2008.8,3151.9,3461.4,3463.0,3469.0,350.0,384.2,410.6,413.5,65.0,87.0,91.1,92.1,834.3,759.0,75.3,64596.7,58767.9,5828.8,65837.0,59896.2,5940.7
Spain,64,60,20139.0,36166.7,2010.8,2011.5,2011.2,2011.2,7206.3,7647.4,8816.7,9135.1,653.5,686.0,869.7,888.1,18.0,35.8,28.2,27.7,1711.7,1668.1,43.6,132251.7,128883.5,3368.2,134790.9,131358.0,3432.9
New Zealand,60,52,6450.3,10497.9,2010.2,2010.2,2011.0,2010.9,4855.5,4627.6,4852.9,4856.1,436.0,500.5,464.6,465.3,124.0,185.8,116.7,116.0,682.4,646.1,36.3,52720.5,49955.5,2765.0,53732.7,50914.6,2818.1
Nigeria,52,49,38691.3,72485.3,2008.8,2008.7,2009.2,2009.1,8310.7,7929.1,8437.9,8485.6,695.0,699.7,805.3,812.4,44.0,55.4,49.6,49.5,2218.6,2129.7,88.9,170374.3,163505.5,6868.8,173645.5,166644.8,7000.7
Netherlands,49,47,12884.0,21629.2,2012.0,2012.1,2010.9,2011.2,8471.0,8462.4,8741.2,8630.5,744.0,749.4,834.0,814.0,74.0,88.1,121.1,111.9,1569.4,1489.9,79.5,120972.7,114853.3,6119.4,123295.3,117058.5,6236.9
Qatar,49,48,16979.1,28795.4,2010.8,2010.8,2010.1,2010.5,3796.6,3995.7,4040.0,3918.7,313.0,341.7,351.9,338.8,36.0,58.5,60.6,54.0,1221.9,1088.0,133.9,90463.3,80089.4,10373.9,92200.2,81627.1,10573.1
Russian Federation,48,42,7587.5,13842.7,2005.8,2005.3,2007.0,2006.9,4195.0,4243.5,5094.2,5122.1,461.0,465.9,627.8,630.0,56.0,110.2,81.8,78.5,639.6,596.6,43.0,49471.6,46168.6,3303.0,50421.4,47055.0,3366.4
Italy,48,44,8482.4,13862.2,2008.0,2008.9,2010.0,2010.2,6561.7,6522.6,6725.2,6738.6,564.5,578.6,603.1,611.6,49.5,76.6,87.8,94.1,951.9,884.4,67.5,73683.7,68461.8,5221.9,75098.4,69776.3,5322.1
Oman,46,45,14787.8,25306.2,2009.1,2009.2,2009.4,2010.1,3308.9,3573.0,3669.8,3513.1,298.0,322.8,385.0,363.9,63.0,68.9,74.2,80.2,1057.1,886.3,170.8,77191.5,63959.6,13232.0,78673.6,65187.6,13486.0
Kuwait,45,44,19816.0,36569.3,2010.0,2009.9,2009.0,2008.9,3965.8,4319.7,4152.6,4143.5,346.0,392.9,404.7,406.0,44.0,54.3,49.0,48.5,1048.2,990.7,57.5,81178.3,76728.6,4449.7,82737.0,78201.8,4535.1
Turkey,40,35,7695.7,13103.9,2004.3,2006.2,2007.4,2007.1,5730.7,4981.5,5562.7,5599.8,470.5,441.7,522.1,534.2,33.5,61.3,72.3,78.6,629.5,599.6,29.8,48739.0,46432.5,2306.5,49674.7,47324.0,2350.7
