Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Pulau Sambu,3561,2416,907272.5,1707291.9,2008.3,2008.6,2009.6,2009.7,2353.1,3034.4,4231.8,4304.1,223.0,319.2,654.8,660.5,43.0,88.8,83.4,83.2,52366.6,47227.1,5139.5,4051936.4,3655377.5,396558.9,4129733.5,3725560.7,404172.8
Batu Ampar,1579,957,209270.5,386423.2,2007.1,2007.8,2009.4,2009.5,1270.1,2798.7,3956.7,4051.5,117.0,289.4,592.0,601.4,36.0,102.1,110.0,110.9,13289.6,12017.1,1272.5,1026103.6,928147.3,97956.4,1045804.8,945967.7,99837.1
Jakarta,1520,628,48513.4,58670.1,2005.0,2006.4,2007.8,2007.9,730.5,1512.9,1220.4,1223.9,68.0,167.4,165.5,168.7,19.0,65.1,49.3,48.9,7006.6,6351.8,654.8,539233.2,489079.8,50153.4,549586.5,498470.2,51116.3
Nipah,1399,734,75951.7,114790.7,2004.6,2005.4,2008.0,2008.2,426.7,1928.9,2482.2,2481.3,72.0,224.7,494.0,472.0,32.0,98.0,84.9,89.8,8987.2,7386.2,1601.0,668912.1,546024.5,122887.7,681755.2,556508.1,125247.1
Tanjung Santan,1348,1032,114848.0,206558.5,2008.8,2009.3,2008.5,2008.4,1685.8,2191.0,2325.3,2325.7,162.0,218.2,375.6,377.4,48.0,82.8,115.1,115.9,9115.0,8278.4,836.6,703382.4,638728.0,64654.4,716887.3,650991.5,65895.8
Dumai,1328,755,45342.7,75247.3,2006.5,2007.4,2009.0,2009.0,1133.9,2204.4,2228.9,2247.4,120.0,222.5,471.0,473.3,27.5,55.5,86.1,88.8,7466.8,6491.1,975.7,575559.0,500859.2,74699.8,586609.7,510475.7,76134.1
Surabaya,1167,456,38848.6,54111.7,2004.7,2006.4,2006.1,2006.2,1189.9,1767.6,1528.3,1575.3,101.0,187.2,187.8,200.2,21.0,72.0,49.6,54.4,5685.7,5204.2,481.5,438810.4,402083.0,36727.5,447235.6,409803.0,37432.6
Taboneo,1028,832,97633.7,178151.1,2008.9,2009.1,2009.1,2009.0,2097.6,2347.7,2422.2,2429.6,199.5,237.7,431.4,437.9,62.0,86.4,102.2,102.2,7543.4,6924.2,619.2,584025.7,536136.6,47889.1,595239.0,546430.4,48808.6
Belawan,960,402,11346.3,17366.2,2003.6,2005.4,2006.7,2007.4,356.6,1130.7,832.7,902.3,35.0,131.7,353.8,388.4,16.0,46.6,55.5,57.8,2031.5,1657.9,373.7,156219.8,127756.7,28463.2,159219.2,130209.6,29009.6
New Priok Port,841,299,32020.7,27805.5,2005.7,2005.9,2005.8,2006.7,640.1,1392.9,1182.1,1152.2,58.0,137.8,147.7,158.8,15.0,45.5,23.3,28.0,4069.1,3794.4,274.6,314711.3,293642.1,21069.2,320753.7,299280.0,21473.7
Bontang,770,541,74955.0,103557.6,2007.0,2008.3,2007.4,2008.2,1664.8,2066.1,2314.2,2158.2,158.5,211.8,290.5,288.1,45.0,84.8,72.7,79.5,7044.1,6502.8,541.2,493510.5,451977.5,41533.0,502985.9,460655.5,42330.5
Gresik,663,427,25841.7,40473.0,2006.7,2007.4,2008.6,2008.9,1364.8,1970.9,1997.7,2058.5,132.0,209.6,322.8,346.7,26.0,72.3,76.3,81.8,3204.7,2909.1,295.7,247403.1,224796.1,22607.0,252153.2,229112.2,23041.0
Sekupang,513,204,1494.6,2220.6,2003.4,2005.6,2003.5,2003.4,370.5,1150.0,1485.0,1726.5,44.0,312.2,453.3,445.6,19.0,192.1,224.9,165.2,649.8,482.5,167.3,49071.3,36424.0,12647.3,50013.5,37123.4,12890.1
Ciwandan,480,299,17399.4,27029.4,2007.0,2008.5,2009.7,2009.8,1330.0,2362.9,2905.9,2932.3,138.5,227.0,503.7,495.9,26.0,57.7,83.9,84.9,2481.9,2211.6,270.3,191015.5,170506.3,20509.2,194683.0,173780.0,20903.0
Muntok,436,361,16060.3,28080.2,2008.7,2008.7,2009.0,2009.0,1029.6,1530.1,1645.0,1662.1,114.5,170.2,369.3,378.8,34.5,85.7,107.0,107.5,1456.4,1244.2,212.3,112538.1,96177.8,16360.4,114698.9,98024.4,16674.5
Panjang,405,273,19754.2,33218.9,2007.0,2007.5,2009.0,2009.1,1518.6,2601.8,2720.2,2822.0,137.0,261.0,484.1,496.8,22.0,64.4,78.6,80.3,2231.1,2063.8,167.3,172157.5,159383.8,12773.7,175462.9,162444.0,13018.9
Kotabaru,398,332,25025.1,43265.1,2007.0,2008.2,2007.9,2007.8,2137.9,2164.1,2087.0,2163.3,206.0,253.7,263.4,265.7,61.0,91.1,99.9,103.3,2287.6,2049.9,237.7,176958.7,158608.3,18350.4,180356.3,161653.5,18702.8
Balikpapan,386,294,29350.9,53914.1,2006.8,2007.8,2008.1,2008.1,1350.1,2048.3,2338.2,2362.6,154.0,209.4,428.5,430.4,26.0,103.1,108.1,108.3,2605.9,2240.5,365.3,201478.2,173277.5,28200.7,205346.6,176604.5,28742.1
Telukbayur,349,199,9859.2,15755.7,2003.5,2006.3,2006.3,2006.2,1507.4,2412.4,2111.1,2130.5,151.0,238.2,308.8,312.1,41.0,88.6,143.9,147.8,1522.9,1279.1,243.9,116955.7,98365.1,18590.6,119201.2,100253.7,18947.5
Tanjunguban,338,252,10780.6,15482.1,2005.7,2007.2,2008.4,2008.1,679.9,1715.5,2487.0,2391.6,98.0,201.1,478.8,490.9,27.5,79.0,73.3,77.5,1582.8,1379.3,203.4,121907.7,106382.5,15525.1,124248.3,108425.1,15823.2
Tanjungbalai,322,80,1039.4,1669.5,2008.5,2007.9,2009.4,2009.7,73.6,661.7,1334.9,1383.1,29.0,90.1,195.4,198.2,16.0,42.7,75.6,76.2,175.3,141.1,34.2,13496.5,10875.0,2621.5,13755.6,11083.8,2671.8
Tanjung Arang  (Bunyu),322,260,18875.8,33866.1,2007.5,2009.0,2008.8,2008.7,1433.2,1897.7,1882.3,1942.6,136.0,202.6,306.5,306.4,41.5,91.1,123.3,122.1,1480.1,1287.8,192.3,114466.4,99627.0,14839.4,116664.2,101539.8,15124.4
