Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,7239,3962,826204.3,1522402.5,2008.9,2009.4,2008.9,2008.9,1935.4,2472.1,2763.0,2786.7,197.0,257.0,461.3,465.4,63.0,90.0,108.2,108.2,57736.8,53427.5,4309.3,4470487.2,4137334.5,333152.7,4556320.6,4216771.3,339549.2
Oil tanker,3921,1570,857018.7,1624868.4,2006.1,2007.6,2009.6,2009.6,1342.8,2965.6,3942.7,4011.7,156.0,301.5,651.3,656.3,34.0,73.6,78.7,78.6,52791.3,45258.7,7532.6,4083427.7,3502675.1,580752.6,4161829.5,3569926.5,591903.0
Chemical tanker,3648,1148,95097.1,154080.9,2006.8,2008.4,2008.7,2008.7,1124.9,2090.6,2035.1,2055.3,120.0,198.2,405.8,409.9,27.0,42.9,67.6,67.8,18091.2,15499.2,2592.0,1393263.0,1195363.8,197899.3,1420013.7,1218314.7,201698.9
Container,3221,554,100623.2,124264.1,2005.0,2005.9,2006.7,2006.6,711.1,1173.6,1108.4,1108.8,59.0,93.3,125.7,125.7,17.0,34.0,29.4,28.9,14714.4,13608.6,1105.8,1137432.2,1052602.7,84829.6,1159270.9,1072812.6,86458.3
General cargo,2932,967,51800.1,68487.4,2005.1,2005.2,2006.2,2006.5,1283.7,2008.4,2149.6,2129.4,141.0,224.2,422.0,423.4,29.0,71.7,91.8,92.8,8910.7,8106.2,804.5,684106.8,623415.8,60691.0,697241.7,635385.4,61856.3
Service - tug,2119,445,801.5,695.5,2007.8,2009.2,2009.7,2009.5,125.8,827.0,839.4,875.1,41.0,325.8,667.5,672.3,16.0,162.0,281.1,286.7,905.9,708.0,197.9,68125.0,53264.1,14861.0,69433.0,54286.7,15146.3
Ferry-pax only,1235,89,427.3,108.9,2002.0,2002.3,1999.9,1999.5,439.6,1459.0,556.6,589.3,27.0,104.1,639.3,375.1,17.0,81.0,66.5,75.9,637.2,459.7,177.5,47843.0,34512.3,13330.7,48761.6,35174.9,13586.7
Liquefied gas tanker,1141,372,91868.1,82658.2,2004.6,2007.0,2006.0,2007.0,1592.9,2600.6,3118.4,3014.4,142.0,225.6,413.1,411.7,29.0,80.5,64.5,68.6,12232.4,10735.8,1496.6,842183.7,728974.6,113209.1,858353.6,742971.0,115382.7
Vehicle,365,129,26263.7,8536.3,2003.6,2004.9,2005.6,2005.6,812.1,2227.5,1621.8,1621.7,59.0,152.8,205.8,204.2,10.0,18.1,17.7,17.9,1838.1,1771.5,66.5,142306.4,137168.5,5137.9,145038.7,139802.1,5236.6
Ro-Ro,356,37,373.5,324.5,2010.1,2009.1,1998.4,2000.5,46.0,605.6,348.0,335.1,11.0,365.4,307.2,353.0,1.0,56.8,153.5,228.2,495.2,360.0,135.2,37336.9,27163.3,10173.7,38053.8,27684.8,10369.0
Service - other,281,111,2980.4,3034.8,2005.4,2005.2,2002.6,2000.8,269.4,2245.7,1127.6,883.3,43.0,332.3,575.6,569.1,32.0,247.9,681.0,446.4,813.2,581.4,231.8,61999.5,44357.4,17642.1,63189.8,45209.0,17980.8
Offshore,202,111,4197.1,5885.7,2007.2,2006.9,2007.0,2005.4,628.0,1696.0,2011.4,2354.8,127.0,290.3,376.0,410.4,54.5,340.9,199.3,152.1,725.9,556.3,169.6,53892.9,41129.1,12763.8,54927.7,41918.8,13008.9
Cruise,104,48,5939.7,625.1,2002.1,2000.7,2004.9,2004.2,910.5,983.3,814.5,832.6,61.0,82.3,73.1,73.1,10.5,18.7,20.5,21.3,1225.7,1082.3,143.4,94844.5,83747.2,11097.3,96665.5,85355.2,11310.3
Ferry-RoPax,98,18,308.0,88.8,1993.6,1992.8,1989.7,1992.0,333.0,1221.7,1804.1,1721.3,36.0,155.0,354.8,406.0,18.0,35.9,57.1,75.4,139.8,112.7,27.1,10495.4,8462.8,2032.6,10696.9,8625.3,2071.6
Miscellaneous - fishing,80,31,159.4,115.4,2000.6,2000.0,2002.5,2001.9,435.5,4012.1,1361.1,1789.5,67.0,497.5,879.0,1074.0,19.0,133.2,336.4,315.2,125.4,101.6,23.8,9414.0,7624.6,1789.3,9594.7,7771.0,1823.7
Refrigerated bulk,40,30,697.7,713.9,1992.0,1992.6,1994.5,1993.9,2145.2,4509.8,3719.0,3594.3,181.5,684.6,1164.5,1106.2,91.5,222.5,275.6,282.5,507.9,386.5,121.3,38437.5,29305.9,9131.6,39175.5,29868.6,9306.9
Other liquids tankers,5,4,451.6,550.8,2013.0,2012.8,2010.7,2011.0,220.5,3826.4,7487.3,7267.0,104.0,261.9,492.7,491.8,97.0,128.6,213.9,204.9,81.0,69.9,11.1,6259.6,5412.8,846.8,6379.8,5516.7,863.1
