Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Puerto Cortes,1328,317,16725.5,22194.3,2006.5,2007.6,2006.5,2006.7,770.2,877.6,670.1,674.0,55.0,123.2,118.0,123.7,20.0,63.1,49.8,53.2,3211.4,2745.4,466.0,246755.1,211283.6,35471.5,251492.8,215340.3,36152.6
Roatan,390,56,19491.3,1953.4,2006.5,2004.2,2008.3,2007.6,294.1,556.9,525.7,554.8,18.0,45.7,58.2,65.7,9.0,14.9,16.0,19.8,3845.6,3326.4,519.2,296516.5,256516.2,40000.4,302209.7,261441.3,40768.4
Amapala,187,128,3680.2,4427.4,2008.4,2009.2,2009.9,2010.2,250.0,784.2,525.6,823.2,23.0,78.6,151.2,191.6,24.0,49.2,73.1,88.3,439.7,348.8,91.0,33922.0,26938.5,6983.5,34573.3,27455.7,7117.6
Puerto Castillas,112,32,2497.0,2928.0,1995.1,2005.4,1998.3,2000.9,914.9,2012.2,1298.5,1482.7,54.0,171.7,196.1,244.6,17.0,39.4,34.3,40.7,568.5,529.4,39.1,43685.5,40705.5,2980.0,44524.2,41487.1,3037.2
Omoa,40,24,1442.8,1721.0,2011.7,2010.0,2013.2,2012.8,1112.6,1059.5,1128.9,1132.3,88.0,114.6,153.8,159.4,44.5,54.6,80.8,78.2,220.6,174.6,45.9,16943.7,13449.2,3494.5,17269.0,13707.4,3561.6
Tela,11,10,88.9,150.7,2010.7,2011.2,2009.2,2009.1,180.2,265.6,272.8,272.6,35.0,56.2,78.4,78.0,20.0,34.0,28.1,28.0,20.1,11.4,8.7,1554.9,880.8,674.1,1584.7,897.7,687.1
Trujillo,6,4,187.8,15.9,1995.8,1996.2,1995.3,1995.5,587.2,503.4,540.6,525.4,38.0,32.8,37.8,37.4,9.5,9.2,9.3,9.3,46.4,39.8,6.7,3596.7,3081.1,515.6,3665.8,3140.2,525.5
La Ceiba,2,2,5.4,1.0,1987.5,1987.5,2002.0,1983.4,2044.5,2044.5,457.2,875.8,27.0,27.0,35.2,24.7,284.5,284.5,79.9,341.9,3.4,1.4,2.1,260.4,106.4,154.0,265.4,108.5,156.9
Guanaja,1,1,0.8,1.6,1976.0,1976.0,1976.0,1976.0,1686.4,1686.4,1686.4,1686.4,276.0,276.0,276.0,276.0,251.0,251.0,251.0,251.0,1.8,0.9,0.9,134.1,64.7,69.4,136.7,66.0,70.7
Utila,1,1,4.1,5.1,2006.0,2006.0,2006.0,2006.0,628.3,628.3,628.3,628.3,54.0,54.0,54.0,54.0,34.0,34.0,34.0,34.0,0.6,0.5,0.1,49.0,40.1,8.9,50.0,40.8,9.1
