Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,1134,95,13001.6,15447.7,2005.0,2006.0,2004.8,2005.3,754.8,605.6,638.3,623.5,48.0,47.8,74.1,73.1,17.0,28.9,31.2,31.4,2729.8,2400.0,329.8,209873.9,184755.5,25118.4,213903.4,188302.8,25600.7
Cruise,342,48,19561.8,1835.5,2006.9,2005.2,2008.2,2007.9,296.6,484.3,525.6,551.3,18.0,33.9,57.5,58.7,8.0,9.0,15.8,18.7,3847.3,3328.6,518.7,296717.5,256740.0,39977.5,302414.5,261669.4,40745.1
Chemical tanker,155,106,3329.9,5411.8,2010.3,2009.9,2009.4,2009.5,537.3,1228.7,970.7,957.5,74.0,130.6,255.3,252.8,30.0,40.9,50.2,50.1,604.3,486.0,118.3,46565.5,37499.1,9066.4,47459.5,38219.1,9240.5
General cargo,138,72,1576.9,2331.6,2007.2,2006.8,2005.1,2005.0,932.7,1210.7,1127.9,1139.4,87.0,136.3,178.0,179.4,37.5,82.5,85.4,85.5,300.8,256.1,44.6,22972.8,19618.3,3354.4,23413.8,19995.0,3418.8
Bulk carrier,116,105,3407.3,5666.2,2009.4,2009.8,2008.9,2008.9,978.8,1128.8,1103.4,1105.8,103.0,153.5,235.0,236.0,74.5,103.6,119.6,119.5,356.2,311.7,44.5,27386.4,24004.2,3382.2,27912.2,24465.1,3447.2
Vehicle,88,68,1346.8,443.8,2007.8,2008.5,2008.5,2008.3,177.9,280.6,267.4,268.1,15.5,28.4,47.1,47.5,11.0,22.6,33.4,34.2,89.3,69.4,19.9,6916.5,5375.7,1540.8,7049.3,5478.9,1570.4
Liquefied gas tanker,49,19,1434.6,1646.3,2008.8,2009.7,2013.1,2013.0,1102.6,1350.4,1186.3,1191.0,85.0,138.6,146.9,148.2,42.0,64.0,83.2,83.2,244.6,193.8,50.8,18773.1,14915.3,3857.8,19133.6,15201.7,3931.9
Oil tanker,31,20,203.7,334.6,2003.1,2006.2,2004.5,2004.1,522.3,433.0,309.4,292.4,65.0,72.6,76.5,74.5,25.0,62.8,97.3,98.3,75.3,34.0,41.2,5795.0,2625.9,3169.1,5906.3,2676.3,3230.0
Refrigerated bulk,8,6,207.2,221.1,1994.5,1995.3,1992.1,1992.1,73.8,921.4,2082.9,2095.8,6.5,55.3,302.6,302.6,29.0,25.7,33.0,33.1,78.2,72.1,6.1,5980.0,5518.9,461.1,6094.8,5624.8,470.0
Service - tug,6,5,4.2,2.1,1989.7,1993.0,1996.8,1991.4,1302.5,2964.7,2415.0,2260.3,153.0,1377.8,3749.6,2998.6,98.0,171.5,140.5,200.7,16.9,14.7,2.2,1268.6,1101.0,167.5,1292.9,1122.2,170.8
Offshore,4,2,23.3,42.5,1993.5,1993.5,2003.5,2003.4,255.2,304.0,61.9,62.2,42.0,50.8,13.2,13.7,79.5,88.8,86.7,86.9,1.5,0.8,0.7,112.1,61.7,50.5,114.3,62.9,51.4
Miscellaneous - fishing,2,2,0.4,0.4,1989.5,1989.5,1987.1,1987.5,456.6,456.6,233.3,239.5,69.5,69.5,55.7,57.7,22.5,22.5,26.4,25.8,0.7,0.7,0.1,56.2,50.3,5.9,57.3,51.3,6.0
Service - other,2,2,18.7,12.0,1993.5,1993.5,1992.7,1993.5,1523.9,1523.9,1585.4,1125.4,121.0,121.0,148.1,120.4,340.5,340.5,153.6,344.6,9.2,7.7,1.5,695.5,579.2,116.3,708.8,590.3,118.5
Ferry-RoPax,2,1,6.3,0.5,2007.0,2007.0,2007.0,2007.0,271.3,271.3,271.3,271.3,25.5,25.5,31.7,31.7,9.5,9.5,9.3,9.3,2.0,1.7,0.3,152.4,132.6,19.8,155.3,135.1,20.2
Ro-Ro,1,1,1.2,2.3,1966.0,1966.0,1966.0,1966.0,896.3,896.3,896.3,896.3,90.0,90.0,90.0,90.0,83.0,83.0,83.0,83.0,2.0,1.2,0.9,152.6,88.5,64.0,155.5,90.2,65.3
