Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Barrio Caacupe Mi,84,20,54.4,95.4,1992.1,1996.6,1998.0,1998.5,27.2,66.6,110.5,125.4,9.0,83.1,55.4,56.5,34.0,72.2,101.3,96.2,33.0,10.2,22.8,2511.8,780.2,1731.6,2560.0,795.1,1764.8
San Antonio,45,17,755.4,1388.3,1996.9,1996.7,1999.0,1999.0,107.6,209.6,303.3,304.3,44.0,117.2,109.3,108.0,17.0,18.9,261.4,262.1,201.3,83.0,118.3,15568.3,6414.4,9154.0,15867.2,6537.5,9329.7
Villeta,36,10,365.3,673.3,1996.0,1995.6,1998.9,1999.0,49.3,80.8,138.9,139.6,29.0,133.4,129.8,129.9,13.0,12.4,31.3,31.4,109.6,78.1,31.5,8483.7,6046.3,2437.4,8646.6,6162.4,2484.2
Concepcion,30,8,5.5,5.0,2000.1,2005.1,2008.7,2008.6,125.7,121.9,186.8,171.9,20.0,25.1,100.3,91.6,4.5,16.4,8.9,12.1,5.4,4.4,1.1,406.6,327.6,79.0,414.4,333.9,80.5
Puerto Antequera,27,9,3.0,2.9,2003.0,2006.1,2004.6,2003.3,96.3,96.6,94.8,92.1,19.0,23.2,24.2,22.3,6.0,28.7,26.3,22.8,2.9,2.3,0.6,220.8,172.4,48.4,225.1,175.7,49.3
Asuncion,23,11,66.8,120.1,2005.5,2001.4,1999.5,1999.2,164.9,131.4,203.0,205.9,32.0,31.3,23.9,23.6,18.0,47.0,48.5,48.1,9.4,5.0,4.4,718.0,381.9,336.1,731.8,389.2,342.6
Puerto Sara,22,11,142.7,262.7,1993.1,1994.3,1998.9,1998.9,24.9,33.5,149.5,151.8,19.5,68.9,258.8,259.4,12.0,8.9,25.5,25.6,69.5,58.3,11.1,5371.5,4511.4,860.1,5474.6,4598.1,876.6
Calera Cue,15,4,4.3,3.7,2002.9,2003.8,2011.6,2012.4,159.4,326.7,305.0,298.5,38.0,68.1,128.3,139.4,8.0,6.5,6.9,6.5,3.9,3.8,0.1,291.6,283.1,8.5,297.2,288.5,8.7
Puerto Guarani,10,5,5.7,4.7,2005.9,2006.0,2013.5,2013.8,486.4,484.2,574.7,545.5,76.5,72.3,113.0,111.2,5.0,23.4,22.9,22.2,4.6,3.9,0.7,346.3,294.3,52.0,353.0,300.0,53.0
Colonia Mariano Roque Alonso,5,3,7.8,14.1,1993.8,1994.7,1999.0,1999.0,49.3,76.4,50.0,49.6,21.0,25.7,21.2,21.1,7.0,59.8,10.7,8.3,1.8,1.0,0.8,139.0,77.2,61.8,141.7,78.7,63.0
Puerto La Victoria,4,3,0.7,0.5,1992.8,2000.0,2008.3,2009.4,158.2,186.7,194.4,200.1,30.5,110.0,127.6,130.7,3.0,3.7,4.0,4.0,0.7,0.7,0.0,55.6,54.9,0.7,56.7,56.0,0.7
Fuerte Olimpo,3,3,2.6,2.1,1999.7,1999.7,2010.6,2011.3,692.5,789.0,881.9,897.3,135.0,147.0,136.3,135.6,12.0,28.7,44.7,45.2,2.4,1.8,0.6,183.2,137.5,45.7,186.7,140.1,46.6
