Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Port Melbourne,2184,555,50104.8,44106.0,2005.0,2007.3,2006.6,2006.4,555.3,751.4,631.3,653.4,37.0,66.9,65.0,67.4,21.0,34.4,32.8,40.9,6055.9,5324.2,731.7,466171.8,409794.8,56377.0,475122.3,417662.9,57459.4
Chermside,959,482,29126.3,29349.1,2007.1,2007.9,2006.8,2007.1,550.7,715.0,689.8,732.5,42.0,108.4,101.7,127.0,24.0,48.0,38.5,50.3,3519.9,2979.4,540.5,272219.8,230564.8,41655.0,277446.4,234991.7,42454.8
Devonport,937,54,5359.8,2501.1,2001.7,2007.6,2001.6,2003.3,238.9,449.5,260.6,302.0,16.0,110.7,20.0,36.3,10.0,60.8,14.6,26.2,1470.8,1285.9,184.8,111039.5,96964.7,14074.9,113171.5,98826.4,14345.1
Botany,904,297,29330.7,34664.4,2007.9,2008.1,2006.9,2007.1,592.9,738.9,794.7,774.7,45.0,95.9,88.1,87.8,32.0,36.6,36.6,36.3,4211.2,3701.1,510.2,325764.1,286397.1,39366.9,332018.7,291896.0,40122.8
Adelaide,898,385,31788.0,29926.3,2006.7,2007.9,2007.5,2008.1,538.5,827.1,792.4,771.1,50.0,78.0,75.2,78.6,21.0,42.9,24.8,32.0,3673.6,3301.3,372.2,284356.8,255615.4,28741.4,289816.5,260523.3,29293.2
Port Kembla,636,418,20747.2,18642.2,2007.5,2008.2,2007.7,2008.0,575.7,701.5,700.6,928.8,40.0,99.6,162.9,297.2,21.0,55.7,75.8,139.4,1661.1,1463.3,197.8,128430.8,113230.1,15200.7,130896.7,115404.1,15492.6
Melbourne,600,64,6520.0,1412.9,2000.2,2004.5,2000.0,2003.0,239.2,805.4,334.7,312.3,12.0,139.8,38.7,64.3,11.0,57.2,16.4,34.0,1811.2,1561.6,249.6,139706.2,120587.7,19118.5,142388.6,122903.0,19485.6
Newcastle,591,401,19767.9,35215.8,2008.6,2010.0,2009.2,2009.2,582.6,878.8,1039.0,1135.7,68.0,114.2,499.6,526.0,34.0,58.0,151.4,158.2,1785.0,1452.1,332.9,137813.0,112260.5,25552.5,140459.0,114415.9,26043.1
Withnell Bay,505,99,9892.2,14283.2,2011.1,2010.2,2011.3,2010.9,222.1,1536.3,2061.4,2300.8,57.0,237.8,485.1,484.4,22.0,44.1,47.7,41.0,1232.0,1101.0,131.1,89486.5,79481.0,10005.5,91204.6,81007.0,10197.6
Cairns,463,110,2976.5,1894.4,2003.7,2006.9,2003.3,2007.9,541.6,768.6,590.3,592.8,62.0,138.3,71.3,81.5,37.0,147.7,33.1,42.7,967.2,732.1,235.1,74005.7,56153.7,17852.0,75426.6,57231.8,18194.8
Burnie,432,86,3153.7,2707.8,2001.0,2007.5,2003.3,2007.2,225.2,685.7,323.1,418.9,15.5,137.9,51.3,74.1,9.0,58.3,32.6,50.3,725.2,617.4,107.7,56085.1,47777.6,8307.5,57161.9,48694.9,8467.0
Port Adelaide,426,77,1694.6,2634.9,1991.2,2009.0,2006.2,2007.1,48.8,670.9,411.5,461.0,7.0,75.9,87.4,89.1,10.0,95.1,95.7,99.0,254.3,206.0,48.3,19542.0,15878.8,3663.2,19917.2,16183.7,3733.6
Fremantle,420,198,28502.3,24587.2,2005.6,2006.5,2006.3,2006.4,1384.1,1340.5,1344.6,1340.6,96.0,122.8,111.5,107.7,26.0,48.2,25.8,29.9,2943.9,2734.7,209.2,227752.1,211663.4,16088.6,232124.9,215727.4,16397.5
Gladstone,419,210,24748.3,37524.3,2007.0,2009.8,2010.1,2010.1,771.9,1390.4,1472.6,1305.5,131.0,202.3,502.6,458.7,46.0,59.8,45.4,48.0,2521.0,2385.7,135.3,183200.4,172840.9,10359.5,186717.8,176159.4,10558.4
Geelong,347,185,3593.5,5796.1,2011.4,2010.6,2010.4,2010.6,532.1,687.2,597.9,596.7,58.0,102.1,120.7,118.0,38.0,68.5,77.1,78.2,744.4,490.4,254.0,57214.7,37698.6,19516.0,58313.2,38422.4,19890.8
Weipa,333,59,11722.8,20817.1,2007.1,2008.8,2010.3,2010.4,1207.7,1469.3,1346.5,1359.6,98.0,241.8,197.9,200.4,25.0,65.8,30.8,30.3,1023.1,966.0,57.1,78994.9,74642.5,4352.4,80511.6,76075.7,4436.0
