Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Port Hedland,2614,965,935824.4,1803232.5,2011.7,2011.2,2012.0,2011.9,3705.5,3634.9,3752.4,3755.0,348.0,369.5,431.2,431.5,66.0,84.4,87.4,87.4,50835.5,49192.4,1643.0,3937554.7,3810350.4,127204.4,4013155.8,3883509.1,129646.7
Newcastle,1662,929,416248.5,772855.6,2009.7,2010.3,2009.6,2009.6,4504.8,4649.9,4786.0,4806.5,413.0,451.9,510.2,512.2,70.0,91.7,98.1,98.3,28176.3,26999.7,1176.6,2182321.0,2091243.1,91077.9,2224221.6,2131395.0,92826.6
Chermside,1117,452,169896.3,203002.9,2007.8,2008.3,2007.7,2008.2,3867.2,3460.2,3405.1,3506.4,233.0,274.6,309.0,336.3,19.0,44.2,34.4,39.0,18352.0,17786.6,565.4,1421158.5,1377470.1,43688.4,1448444.7,1403917.6,44527.2
Hay Point,995,787,303826.0,575308.5,2010.9,2010.9,2010.9,2010.8,4118.3,5057.0,5193.9,5212.4,399.0,522.4,711.0,715.8,51.0,85.7,100.8,101.2,20565.7,19916.9,648.9,1592666.1,1542465.2,50201.0,1623245.3,1572080.5,51164.8
Port Walcott,978,402,367797.4,711457.9,2010.9,2010.4,2011.1,2011.1,3706.4,3744.5,3792.9,3790.5,345.5,374.3,407.8,407.3,69.0,88.7,98.7,98.8,20506.7,19738.9,767.8,1588457.2,1528989.1,59468.1,1618955.6,1558345.7,60609.9
Gladstone,923,639,315146.0,446881.7,2011.6,2011.1,2011.7,2011.3,4294.8,4681.8,4751.8,4749.7,360.0,427.8,448.4,485.7,42.0,90.7,85.9,100.9,28486.1,27599.9,886.2,1923713.5,1857522.7,66190.8,1960648.8,1893187.1,67461.6
Dampier,914,529,283555.6,535882.0,2010.2,2010.2,2010.3,2010.2,3678.7,3514.6,3633.0,3629.6,344.5,353.6,371.5,373.1,60.0,95.4,93.9,94.9,17220.7,16575.6,645.1,1314420.7,1264529.8,49890.9,1339657.6,1288808.8,50848.8
Fremantle,472,192,58109.4,49173.8,2006.5,2006.6,2005.7,2006.1,2374.1,3069.3,2704.3,2549.1,159.0,222.9,214.8,194.8,22.0,33.3,28.8,29.5,6607.2,6414.8,192.4,511056.5,496299.2,14757.3,520868.8,505828.2,15040.6
Port Melbourne,425,216,53669.5,33476.6,2007.5,2007.4,2007.1,2007.4,1752.2,3628.6,3391.8,2767.7,134.0,270.7,320.0,302.2,17.0,33.8,30.5,38.0,4633.5,4482.9,150.6,358636.7,347023.4,11613.3,365522.5,353686.3,11836.3
Withnell Bay,408,152,137933.1,110568.8,2006.3,2009.1,2005.6,2006.5,3628.8,3176.8,3784.4,3652.3,245.0,276.8,303.4,308.4,24.0,99.2,32.5,39.8,14588.6,14067.3,521.3,907912.2,868102.5,39809.7,925344.1,884770.0,40574.1
Darwin,385,147,33841.1,23130.9,2005.5,2006.7,2007.5,2008.1,1839.7,2390.1,2927.0,2900.6,152.0,269.5,256.4,268.8,27.0,44.3,31.2,37.2,3981.6,3835.8,145.8,266766.3,255731.1,11035.2,271888.2,260641.1,11247.1
Kwinana,331,270,46308.1,80059.3,2011.2,2011.1,2011.7,2011.7,4021.9,4191.3,4207.7,4237.8,361.0,388.5,486.4,491.4,46.0,79.6,85.4,86.6,4456.1,4131.0,325.1,344908.1,319795.0,25113.2,351530.4,325935.0,25595.3
Bunbury,305,254,50104.7,85318.7,2011.6,2011.6,2011.7,2011.9,4588.6,5023.5,5098.9,5151.3,428.0,490.0,565.1,573.8,72.0,100.2,107.7,109.6,4355.6,4187.7,167.9,337146.0,324201.2,12944.8,343619.2,330425.9,13193.3
Geraldton,289,256,41488.5,75169.7,2010.5,2010.6,2010.8,2010.8,3840.8,3899.7,3969.4,3986.7,356.0,372.4,413.8,413.3,45.0,73.0,72.9,73.0,3450.6,3314.2,136.4,267143.9,256601.4,10542.5,272273.1,261528.1,10745.0
Abbot Point,285,263,65965.3,123400.7,2010.5,2010.5,2010.3,2010.2,4045.4,4422.7,4355.2,4355.2,381.0,431.7,472.7,472.9,70.0,121.7,137.7,138.5,4884.9,4661.7,223.2,378379.8,361096.1,17283.7,385644.7,368029.2,17615.5
Townsville,280,172,17411.3,24060.2,2008.3,2009.4,2010.0,2010.7,3461.1,3610.0,3515.6,3589.1,269.0,316.8,347.7,364.1,32.0,86.3,74.2,80.9,2500.6,2376.1,124.5,193141.2,183645.1,9496.0,196849.5,187171.1,9678.4
