Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,3835,961,149484.1,270532.3,2005.0,2010.7,2009.9,2010.0,551.5,1243.4,1271.5,1321.5,66.0,149.7,480.6,496.9,43.0,92.0,118.8,120.8,12072.6,10794.4,1278.2,934384.0,835766.4,98617.6,952324.2,851813.1,100511.1
Ro-Ro,3312,27,6370.0,3561.3,2007.5,2008.5,2003.9,2002.4,225.3,465.9,237.0,243.0,17.0,166.4,32.2,46.6,9.0,32.4,20.0,26.8,2866.9,2174.0,692.9,214107.6,161645.7,52462.0,218218.5,164749.3,53469.2
Container,2851,278,111204.4,127213.8,2006.6,2006.7,2006.5,2006.6,585.0,615.2,784.2,776.0,43.0,49.5,74.8,74.1,27.0,28.8,30.6,30.5,14070.8,12715.9,1354.9,1089502.9,984787.8,104715.1,1110421.3,1003695.7,106725.6
General cargo,1506,235,15419.8,20525.7,2002.3,2008.2,2003.0,2003.4,509.7,919.3,795.9,767.5,52.5,96.0,135.4,127.8,42.0,73.6,77.4,79.4,2800.6,2340.3,460.4,214606.3,180024.7,34581.6,218726.7,183481.2,35245.6
Service - tug,1402,104,1935.1,1225.5,2009.3,2006.6,2011.6,2011.2,232.5,1614.3,723.6,754.5,65.5,847.4,1250.9,1205.9,26.0,198.9,439.6,451.5,1459.3,1142.4,316.9,109629.5,85830.5,23799.0,111734.4,87478.4,24256.0
Vehicle,1239,240,55190.2,19496.8,2007.4,2007.1,2007.6,2007.3,572.3,657.9,754.9,762.8,40.0,46.4,72.1,72.8,12.0,13.7,13.9,14.2,3408.4,3229.3,179.1,264022.0,250149.5,13872.6,269091.3,254952.4,14138.9
Chemical tanker,1103,165,17323.5,28531.7,2012.1,2011.3,2012.2,2012.2,598.8,622.8,850.2,847.8,54.0,61.0,221.5,220.9,27.0,34.7,56.4,56.6,3194.3,2384.9,809.4,245969.1,183894.1,62075.0,250691.7,187424.9,63266.8
Cruise,1045,56,32448.0,3395.0,1998.4,1999.8,2000.1,1999.2,525.4,522.0,597.7,593.2,38.0,38.3,51.8,51.6,10.0,11.7,14.8,15.4,7662.8,6697.2,965.6,592563.4,518040.5,74522.8,603940.6,527986.9,75953.7
Oil tanker,868,217,26619.2,46551.2,2009.9,2009.7,2009.1,2009.1,534.7,1031.0,1131.6,1150.1,58.0,133.6,352.8,355.5,29.0,47.7,68.7,65.4,4079.4,2839.6,1239.8,314648.5,219008.7,95639.8,320689.7,223213.6,97476.1
Ferry-RoPax,847,4,6139.9,1129.7,1998.0,1989.0,1998.0,1998.0,239.3,323.2,247.7,247.3,12.0,119.2,13.0,13.0,11.0,23.5,9.4,9.3,1905.8,1735.0,170.7,146850.8,133977.9,12872.9,149670.3,136550.3,13120.0
Offshore,559,41,1807.9,1757.5,2009.6,2009.2,2009.8,2009.0,238.0,1229.8,569.3,585.3,57.0,406.1,889.4,993.0,24.0,83.4,156.3,144.0,930.6,745.1,185.5,69990.2,56036.9,13953.4,71334.0,57112.8,14221.3
Service - other,489,37,1177.4,774.0,2008.8,2007.2,2007.7,2002.6,607.4,2741.8,1288.8,1329.9,81.0,265.2,735.2,640.3,41.0,199.6,344.7,201.7,800.5,540.3,260.2,60252.2,40708.9,19543.3,61409.0,41490.5,19918.5
Liquefied gas tanker,398,63,36040.6,29607.4,2009.0,2011.5,2012.4,2012.3,547.0,2748.1,2553.1,2416.9,58.0,248.1,627.5,606.8,23.0,36.3,80.7,79.9,4146.6,3691.6,455.0,261979.4,230794.1,31185.3,267009.4,235225.3,31784.1
Ferry-pax only,78,4,22.0,8.4,1993.0,1970.5,1990.0,1976.3,879.6,1444.2,1187.8,1341.8,48.5,209.8,209.7,322.3,36.0,332.5,342.6,611.8,44.9,21.6,23.3,3373.1,1624.0,1749.1,3437.9,1655.2,1782.7
Miscellaneous - fishing,41,2,35.3,33.5,1997.1,1997.5,2010.9,2012.5,159.9,168.8,442.2,444.6,17.0,31.0,3359.7,3523.6,19.0,44.0,67.9,54.7,34.8,24.8,10.0,2611.4,1861.6,749.8,2661.6,1897.4,764.2
