Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United Arab Emirates,132,59,3139.6,4103.9,1992.6,1992.6,1997.1,1996.6,1976.3,1879.4,2097.9,2077.1,190.0,320.6,228.4,239.7,135.5,207.4,125.6,134.9,768.7,557.6,211.1,58945.8,42999.5,15946.3,60077.5,43825.0,16252.5
Saudi Arabia,76,26,628.7,800.3,1990.5,1984.5,1998.6,1999.7,791.5,943.6,860.0,867.6,77.0,108.9,100.8,102.8,46.0,41.0,60.5,63.1,151.6,120.4,31.2,11561.2,9220.4,2340.8,11783.2,9397.4,2385.8
Kenya,66,24,680.2,854.2,1993.2,1995.2,1995.6,1995.8,531.7,717.8,648.3,653.0,55.0,94.8,92.8,91.4,47.5,204.4,62.6,57.7,168.7,125.9,42.8,12978.8,9719.8,3259.0,13228.0,9906.4,3321.5
Oman,62,28,667.2,945.8,1993.8,1991.0,1995.2,1994.9,767.3,1163.0,1067.9,1107.6,129.0,223.9,253.8,266.7,160.5,232.3,185.3,192.3,227.1,122.9,104.2,17317.0,9416.4,7900.6,17649.4,9597.2,8052.3
Yemen,43,14,87.8,127.0,1978.7,1992.8,1992.7,1993.0,169.9,709.4,669.6,652.9,27.0,193.0,288.0,283.8,65.0,129.6,136.3,135.9,42.2,24.8,17.4,3190.9,1884.1,1306.9,3252.2,1920.2,1332.0
Djibouti,36,21,130.3,194.0,1997.5,1994.5,1997.1,1996.6,163.8,350.0,264.1,277.7,15.0,82.2,198.5,211.0,76.0,110.4,163.5,169.4,59.6,28.7,30.9,4551.0,2202.5,2348.6,4638.4,2244.7,2393.6
Egypt,29,14,266.4,363.2,1988.6,1987.9,1988.8,1989.3,1463.5,1531.1,1532.9,1533.2,257.0,316.9,296.1,293.8,203.0,215.7,258.7,265.4,93.8,64.3,29.6,7127.2,4905.7,2221.5,7264.0,4999.9,2264.1
India,19,8,208.1,326.9,1988.3,1989.9,1989.3,1989.5,1502.2,2243.9,1793.2,1801.0,169.0,236.4,217.2,219.6,243.0,237.2,194.2,192.9,54.7,38.3,16.4,4180.0,2944.5,1235.5,4260.2,3001.0,1259.2
"Tanzania, United Republic of",17,9,346.4,453.8,1992.1,1991.6,1992.9,1992.9,716.9,970.2,825.3,824.1,80.0,67.9,104.1,104.6,46.0,927.0,314.1,292.2,67.4,56.5,11.0,5214.5,4373.2,841.3,5314.7,4457.2,857.5
Eritrea,11,4,149.6,214.1,2001.1,1999.0,2001.9,2001.7,1227.4,715.7,905.7,873.8,163.0,93.4,163.7,161.1,55.0,59.0,71.1,71.0,36.5,29.0,7.5,2779.9,2215.7,564.3,2833.3,2258.2,575.1
Iran (Islamic Republic of),7,5,69.0,110.0,1988.0,1988.4,1987.7,1987.7,2170.2,1906.5,1997.9,2019.7,264.0,247.9,257.0,256.0,186.0,200.4,195.3,192.6,15.0,11.0,4.0,1146.5,848.0,298.4,1168.5,864.3,304.2
Sudan,6,6,42.4,60.7,1989.7,1989.7,1999.5,2000.8,796.8,864.4,921.9,910.8,115.5,120.5,116.1,112.1,74.0,109.0,97.3,99.3,9.4,7.8,1.6,719.3,600.0,119.2,733.1,611.6,121.5
South Africa,2,2,87.1,143.5,1998.5,1998.5,1998.1,1998.0,2632.4,2632.4,2612.0,2615.6,243.5,243.5,249.3,249.7,376.5,376.5,384.8,385.3,17.4,13.8,3.6,1334.3,1065.7,268.6,1359.9,1086.1,273.8
Turkey,2,2,41.2,68.2,2014.0,2014.0,2014.0,2014.0,2240.8,2240.8,2389.5,2392.4,223.5,223.5,212.3,212.1,619.5,619.5,171.5,164.1,8.4,7.3,1.1,642.9,557.4,85.5,655.3,568.1,87.2
