Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Pasir Panjang Terminal,4368,435,2074.4,2781.0,2008.2,2007.6,2007.4,2007.6,58.2,339.3,171.8,160.4,28.0,143.0,538.4,491.3,10.0,60.7,68.7,56.4,2152.7,1481.6,671.1,162619.6,112053.7,50565.9,165741.9,114205.1,51536.8
Pasir Panjang Wharves,4232,421,2407.6,3274.2,2007.5,2006.9,2005.1,2005.1,57.0,445.5,205.2,195.2,30.0,140.0,281.1,282.9,10.0,38.0,129.5,122.1,2303.3,1530.1,773.2,173810.5,115596.7,58213.8,177147.6,117816.1,59331.5
Pulau Sebarok,4082,694,8231.2,11555.9,2007.9,2007.7,2007.9,2007.5,64.3,574.9,455.1,411.7,36.0,161.1,766.6,646.1,9.0,57.1,182.0,199.8,4063.6,2640.2,1423.4,306863.1,198754.7,108108.4,312754.8,202570.8,110184.1
Pulau Ayer Chawan,3734,746,6653.5,9058.2,2008.3,2008.1,2008.5,2008.3,61.1,315.6,304.6,267.5,35.0,129.5,356.8,343.6,14.0,44.8,93.9,106.6,3903.1,2565.3,1337.8,297418.0,195039.6,102378.4,303128.5,198784.4,104344.1
Pulau Bukom,2693,604,3393.2,5282.6,2008.4,2008.1,2006.4,2006.2,61.2,420.3,282.5,284.5,38.0,151.2,382.6,381.3,13.0,72.1,152.4,154.8,2825.0,1764.6,1060.4,214342.6,133902.5,80440.1,218458.0,136473.4,81984.6
Bukit Merah Estate,2377,292,1597.4,2149.3,2007.2,2006.3,2007.2,2006.7,45.8,345.4,201.3,188.1,29.0,137.6,317.3,306.2,7.0,45.5,53.5,47.9,1233.5,915.2,318.3,93290.9,69282.7,24008.3,95082.1,70612.9,24469.2
Singapore,2182,523,3017.9,4883.3,2008.2,2007.8,2007.3,2007.3,65.0,330.8,259.4,258.3,38.0,125.5,289.2,283.2,13.0,78.1,150.7,156.5,2352.6,1391.2,961.3,178867.2,105795.6,73071.7,182301.5,107826.9,74474.6
Tuas,1627,423,2225.7,3323.6,2007.2,2007.2,2007.3,2007.5,87.5,611.2,419.7,416.9,47.0,263.6,568.0,511.6,11.0,161.1,654.3,696.5,1743.4,922.6,820.7,132556.5,69923.1,62633.4,135101.6,71265.6,63836.0
Changi,710,319,2392.1,3725.6,2007.6,2007.5,2006.1,2006.4,86.1,620.4,667.7,692.5,38.0,167.2,688.9,715.4,17.0,90.2,141.7,115.7,845.5,609.8,235.8,64375.8,46513.2,17862.6,65611.8,47406.3,18205.5
Jurong/Singapore,482,167,172.0,201.1,2004.8,2007.0,2008.3,2007.7,52.3,192.0,129.6,102.7,39.0,141.0,366.6,303.7,6.0,80.1,46.6,38.1,219.5,179.2,40.4,16547.5,13506.3,3041.2,16865.2,13765.6,3099.6
Sembawang,106,78,335.7,519.5,2009.1,2008.7,2011.5,2012.2,155.8,325.9,297.4,329.9,50.0,143.8,116.8,105.4,55.0,217.8,240.2,165.9,246.7,73.0,173.6,18879.7,5531.1,13348.6,19242.2,5637.3,13604.9
