Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United States of America,405,104,8693.5,4155.7,1996.5,2001.7,2009.3,2007.8,675.3,1098.1,754.4,1014.0,84.0,126.4,68.5,121.5,26.0,111.0,31.1,81.8,1468.8,1281.8,187.1,112925.0,98661.2,14263.8,115093.2,100555.5,14537.7
Dominican Republic,336,82,2009.0,2364.3,2000.6,2002.2,2005.2,2005.1,464.5,487.4,511.5,512.2,37.0,52.1,54.2,56.9,18.0,41.9,24.7,28.3,445.0,376.7,68.3,34202.2,29017.0,5185.2,34858.9,29574.1,5284.7
Jamaica,234,57,942.6,1126.6,2006.4,2007.6,2006.5,2007.1,299.3,395.3,332.3,341.4,28.0,36.8,42.5,45.5,18.0,36.2,27.1,32.1,219.5,166.0,53.5,16839.8,12774.9,4064.9,17163.2,13020.2,4143.0
Puerto Rico,64,15,5996.2,577.3,2010.7,2004.3,2011.9,2010.8,376.1,549.0,507.2,518.9,21.0,32.6,43.4,45.8,7.0,14.4,14.9,17.2,835.8,731.8,104.0,64398.5,56360.5,8038.0,65635.0,57442.7,8192.3
Cuba,31,19,99.9,113.4,1991.9,1994.1,2004.4,2005.1,259.8,571.8,478.2,566.1,52.0,94.4,145.7,176.8,28.0,42.5,37.2,44.0,32.3,22.4,9.9,2463.7,1717.4,746.3,2511.0,1750.4,760.6
Bahamas,20,18,715.2,544.0,2006.0,2006.5,2006.3,2009.4,735.8,787.9,688.6,876.1,92.5,125.6,100.2,172.8,32.0,58.7,38.4,73.1,122.8,96.7,26.1,9504.1,7481.2,2022.9,9686.5,7624.8,2061.7
Gibraltar,19,19,1713.2,2692.3,2009.9,2009.9,2010.1,2010.1,3817.7,3930.5,3957.7,3965.7,307.0,346.4,377.0,381.5,83.0,111.0,107.8,106.8,208.1,200.6,7.5,16096.7,15524.0,572.7,16405.8,15822.1,583.7
Venezuela (Bolivarian Republic of),13,7,1087.8,1918.4,1999.0,1998.7,2003.9,2003.9,936.7,3903.4,5623.8,5890.4,91.0,311.6,860.3,856.3,91.0,140.1,291.9,284.7,119.5,93.9,25.5,9239.6,7269.5,1970.1,9417.0,7409.0,2008.0
"Bonaire, Sint Eustatius and Saba",13,8,153.1,256.6,2007.3,2007.4,2008.7,2008.8,866.6,998.9,1103.0,1109.7,94.0,173.1,174.2,177.5,69.0,78.4,72.9,72.3,45.1,32.8,12.3,3474.0,2530.1,943.8,3540.7,2578.7,961.9
Panama,11,9,73.6,106.4,1997.5,2002.3,2003.4,2003.3,854.8,825.2,818.3,810.1,77.0,89.4,85.3,82.3,20.0,100.3,91.5,88.1,19.6,14.6,5.0,1504.0,1127.3,376.7,1532.8,1148.9,383.9
Iraq,10,1,9.6,6.4,1971.0,1971.0,1971.0,1971.0,317.8,317.8,307.5,307.5,45.5,45.5,52.2,52.2,51.0,51.0,51.3,51.3,6.8,2.7,4.1,508.9,200.7,308.2,518.7,204.5,314.2
Colombia,8,8,62.1,98.2,1994.2,1994.2,2002.8,2002.6,628.6,712.8,812.2,813.0,84.0,145.0,96.4,97.9,14.0,40.9,22.1,22.6,11.9,10.4,1.5,912.4,799.5,112.9,929.9,814.9,115.1
Spain,8,8,580.9,901.0,2003.5,2003.5,2001.9,2001.8,3862.2,3754.5,3746.0,3748.8,314.5,331.1,339.7,339.7,52.0,83.2,76.7,78.9,70.6,68.2,2.4,5443.9,5265.7,178.2,5548.4,5366.8,181.6
United Arab Emirates,6,1,6.3,4.2,1971.0,1971.0,1971.0,1971.0,321.5,321.5,334.9,334.9,56.5,56.5,61.8,61.8,49.0,49.0,110.4,110.4,6.9,1.8,5.1,516.8,132.0,384.8,526.7,134.6,392.2
Mexico,6,6,137.4,201.3,2008.5,2008.5,2008.9,2008.8,1493.6,1674.5,1600.5,1619.2,128.0,147.3,148.5,152.5,58.5,99.5,108.4,106.8,23.2,20.2,3.1,1784.7,1555.4,229.3,1819.0,1585.3,233.7
Curaçao,6,6,59.2,91.7,2004.5,2004.5,2008.6,2009.0,685.4,681.8,692.8,694.2,63.5,72.7,60.5,60.1,84.0,67.3,71.1,75.1,13.4,8.6,4.8,1031.4,658.7,372.7,1051.2,671.4,379.9
Virgin Islands (U.S.),6,6,125.6,191.8,2008.7,2008.7,2009.4,2009.5,836.0,1898.2,1155.4,1127.4,121.0,190.8,282.1,271.4,33.5,91.5,156.2,149.5,28.4,23.5,4.9,2178.7,1805.0,373.7,2220.5,1839.7,380.8
Sint Maarten (Dutch part),6,3,1189.9,104.5,2000.5,1991.7,2009.3,2009.0,840.0,830.2,1051.8,1049.7,48.0,170.7,72.5,74.7,7.0,18.2,5.9,6.1,146.9,138.9,8.0,11305.3,10683.3,622.0,11522.3,10888.4,633.9
Guyana,5,5,25.7,36.8,1993.0,1993.0,2001.2,2000.8,1480.8,1463.7,1442.9,1445.8,267.0,558.6,299.2,290.8,96.0,102.2,102.9,105.9,8.7,7.5,1.2,662.5,574.3,88.2,675.2,585.3,89.9
Trinidad and Tobago,5,5,48.8,76.1,2003.2,2003.2,2006.3,2006.5,1069.0,1093.9,1115.4,1117.2,92.0,129.2,121.5,118.9,77.0,77.0,70.6,69.8,12.1,10.5,1.7,927.2,802.2,125.0,945.0,817.6,127.4
Brazil,4,4,245.2,408.8,2006.5,2006.5,2005.6,2005.6,3602.7,3535.6,3353.0,3317.1,263.5,261.5,253.4,251.1,58.0,58.2,58.8,58.7,42.7,40.1,2.6,3301.4,3103.4,198.1,3364.8,3162.9,201.9
Saint Kitts and Nevis,4,4,9.0,3.8,2004.8,2004.8,1997.0,1997.5,897.8,887.5,844.7,847.3,254.0,244.0,111.9,120.5,40.0,32.5,3.7,5.6,3.2,3.1,0.1,239.5,233.1,6.4,244.1,237.6,6.5
Aruba,3,3,15.0,20.2,2000.7,2000.7,2001.9,2001.8,590.3,566.8,585.3,584.8,50.0,58.0,51.5,51.7,6.0,5.3,6.0,6.0,3.9,3.8,0.1,302.8,295.8,7.0,308.6,301.5,7.1
Grenada,3,1,29.1,11.8,1996.0,1996.0,1996.0,1996.0,984.9,984.9,985.7,985.7,113.0,113.0,106.7,106.7,4.0,4.0,4.3,4.3,3.9,3.8,0.1,299.9,290.8,9.1,305.6,296.3,9.3
Antigua and Barbuda,3,3,157.5,256.9,2007.7,2007.7,2007.9,2008.0,1932.7,1792.7,1814.9,1802.9,68.0,148.3,158.2,159.9,56.0,80.3,100.8,99.4,20.3,11.4,8.9,1575.9,882.7,693.2,1606.2,899.7,706.5
Canada,3,3,160.6,259.7,2011.0,2011.0,2011.2,2011.3,2718.8,2563.2,2572.3,2578.4,225.0,363.3,388.5,390.2,161.0,163.7,164.7,164.7,21.2,20.1,1.1,1623.2,1536.3,86.9,1654.4,1565.8,88.6
Netherlands,2,2,141.6,209.2,2005.5,2005.5,2003.0,2002.3,4575.3,4575.3,4500.1,4479.9,324.5,324.5,317.6,315.5,82.5,82.5,108.3,115.9,33.5,30.0,3.6,2589.5,2313.4,276.1,2639.2,2357.8,281.4
