Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,1537,704,2817.8,3942.7,1992.2,1995.5,1999.0,1998.8,225.2,410.0,479.4,472.8,43.0,75.7,199.4,195.6,31.0,59.8,90.8,89.4,803.9,606.4,197.5,61088.8,46223.4,14865.4,62261.7,47110.9,15150.8
Bulk carrier,413,313,7439.5,12329.7,2003.0,2005.5,2008.7,2008.6,366.8,900.6,953.0,961.0,49.0,128.5,306.6,307.9,34.0,71.0,79.5,79.5,859.6,765.6,94.0,66319.8,59139.3,7180.5,67593.1,60274.8,7318.3
Chemical tanker,350,173,1362.3,2141.1,2003.1,2006.9,2006.7,2006.7,223.9,432.7,387.3,387.2,32.0,78.7,156.6,160.1,23.0,39.9,53.3,51.8,566.3,375.5,190.8,43227.3,28781.5,14445.7,44057.3,29334.2,14723.1
Container,339,42,1600.2,1980.8,2000.5,2000.8,2000.1,1999.9,236.2,366.3,304.7,302.5,29.0,44.1,63.0,62.5,20.0,44.8,23.3,23.3,462.9,357.2,105.6,35368.2,27399.4,7968.8,36047.2,27925.5,8121.8
Oil tanker,168,88,3149.3,5696.5,2007.6,2007.4,2007.8,2007.8,483.1,523.2,554.1,558.9,76.0,146.3,173.4,174.8,28.0,80.3,53.8,54.1,655.9,433.6,222.3,50520.7,33453.1,17067.6,51490.7,34095.4,17395.3
Ro-Ro,101,6,516.7,376.5,1985.7,1986.8,1982.6,1982.7,452.6,486.5,482.4,477.4,67.0,74.8,128.4,123.9,31.0,36.2,35.6,36.9,228.8,185.7,43.1,17583.3,14274.2,3309.1,17920.9,14548.3,3372.6
Liquefied gas tanker,46,13,148.9,157.7,2002.5,2005.5,2008.5,2008.3,329.2,434.4,369.8,372.1,36.0,41.4,47.5,48.1,28.5,39.0,49.3,50.1,55.2,29.7,25.5,4197.9,2273.5,1924.5,4278.5,2317.1,1961.4
Ferry-RoPax,44,1,397.5,202.4,1994.0,1994.0,1994.0,1994.0,634.0,634.0,627.4,627.4,52.0,52.0,53.7,53.7,21.0,21.0,21.2,21.2,89.8,76.5,13.3,6874.0,5875.7,998.3,7006.0,5988.5,1017.4
Offshore,40,12,120.1,139.7,2009.4,2010.9,2009.1,2007.5,394.9,883.7,849.8,833.4,74.5,144.4,517.4,510.2,21.5,184.2,219.5,254.3,74.6,52.9,21.7,5650.1,4024.3,1625.8,5758.6,4101.6,1657.1
Service - tug,39,21,11.2,8.2,1997.2,1996.3,2000.4,2003.1,256.5,445.4,478.0,505.3,71.0,210.1,499.5,430.0,9.0,115.6,144.5,157.1,26.8,24.6,2.1,2010.2,1850.9,159.3,2048.8,1886.4,162.4
Service - other,13,12,28.9,28.5,1989.0,1989.6,1987.5,1983.6,598.1,1467.2,942.2,1032.3,51.0,287.5,185.7,104.2,23.0,209.8,488.1,639.5,20.7,12.1,8.6,1555.2,910.9,644.2,1585.0,928.4,656.6
Miscellaneous - fishing,4,2,2.1,2.3,1986.2,1984.5,1985.5,1987.1,180.6,179.6,189.0,196.9,30.5,42.5,38.7,32.6,41.0,41.0,44.3,57.6,1.1,0.8,0.4,86.5,58.6,27.9,88.2,59.7,28.4
Vehicle,3,3,29.7,7.9,2006.7,2006.7,2006.1,2006.1,370.2,344.1,321.4,307.7,37.0,32.3,40.1,39.4,5.0,23.7,12.2,13.3,2.8,2.2,0.6,212.7,165.7,46.9,216.7,168.9,47.8
Refrigerated bulk,1,1,1.4,1.4,1998.0,1998.0,1998.0,1998.0,142.5,142.5,142.5,142.5,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,0.8,0.5,0.3,64.0,40.2,23.8,65.2,41.0,24.3
