Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Burgas,1349,673,6187.1,9398.8,1998.1,2001.1,2004.3,2005.2,205.6,370.3,376.3,373.8,35.0,56.3,94.5,94.5,54.0,104.3,117.1,115.2,2155.5,982.3,1173.2,165108.3,75424.7,89683.6,168278.4,76872.9,91405.5
Varna East,797,557,3291.9,5048.6,1998.1,2000.2,2003.3,2003.7,203.3,454.1,492.1,495.9,28.0,79.1,246.5,234.3,70.0,157.7,396.1,421.8,1142.0,481.5,660.5,87227.0,36879.6,50347.4,88901.7,37587.7,51314.0
Ignatievo,585,274,1977.0,2508.0,1996.7,1998.4,2000.3,2001.8,221.0,417.8,356.2,354.2,41.0,96.2,127.3,128.9,36.0,139.8,128.9,138.4,764.5,493.8,270.7,58426.7,37828.6,20598.1,59548.5,38554.9,20993.5
Balchik,257,195,354.2,511.9,1990.0,1991.1,1993.7,1993.9,221.9,360.6,355.8,357.3,30.0,55.0,73.7,73.8,41.0,53.9,72.2,70.2,110.4,70.8,39.5,8369.7,5388.1,2981.6,8530.4,5491.5,3038.9
Akhtopol,62,52,154.3,246.1,1994.4,1995.4,1995.7,1995.8,228.8,317.8,308.3,303.3,34.0,55.4,85.1,83.7,28.0,59.6,76.0,77.6,35.7,23.6,12.1,2715.7,1799.9,915.8,2767.8,1834.4,933.4
Nessebar,23,21,32.9,49.6,1988.8,1988.7,1999.4,1999.8,232.3,264.8,192.3,175.8,32.0,46.7,80.7,80.0,27.0,33.1,26.5,25.1,8.2,6.4,1.7,620.3,489.0,131.3,632.2,498.4,133.9
Nikopol,13,6,8.0,10.5,1966.1,1966.7,1965.6,1965.5,341.9,363.9,371.7,370.8,65.0,84.9,97.4,97.4,14.0,16.9,25.2,24.2,1.8,1.4,0.4,134.5,105.3,29.2,137.1,107.3,29.8
Sozopol,4,4,11.0,12.8,2003.0,2003.0,1995.4,1991.5,229.7,2815.6,221.7,179.6,338.5,501.0,354.4,132.7,81.5,82.8,150.0,148.8,11.0,9.5,1.5,826.2,710.9,115.3,842.1,724.6,117.5
Kuklen,2,2,20.0,24.7,2012.5,2012.5,2009.3,2009.5,826.4,826.4,969.5,948.2,1311.0,1311.0,427.3,485.5,433.0,433.0,126.9,147.1,11.8,9.4,2.4,894.8,714.2,180.6,911.9,727.9,184.1
Oryakhovo,1,1,0.5,0.6,1967.0,1967.0,1967.0,1967.0,312.1,312.1,312.1,312.1,84.0,84.0,84.0,84.0,141.0,141.0,141.0,141.0,0.2,0.1,0.1,12.3,7.5,4.8,12.5,7.7,4.9
Gurkovo,1,1,3.2,3.4,2013.0,2013.0,2013.0,2013.0,662.4,662.4,662.4,662.4,89.0,89.0,89.0,89.0,381.0,381.0,381.0,381.0,1.4,0.5,1.0,109.7,37.3,72.4,111.8,38.1,73.8
