Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,27688,2614,1996024.9,2184334.9,2007.2,2008.1,2010.5,2010.3,762.6,1453.3,1619.6,1586.4,64.0,115.0,297.9,293.3,14.0,27.6,28.4,28.3,200139.1,190236.8,9902.3,15476101.5,14715939.8,760161.7,15773242.6,14998485.9,774756.8
Bulk carrier,19282,6604,3882001.0,7278391.8,2009.0,2009.6,2009.6,2009.6,2811.3,3242.8,3862.5,3903.5,291.0,340.2,594.5,598.0,69.0,105.1,101.1,100.9,245935.7,234455.6,11480.1,19044831.7,18157117.8,887713.8,19410492.4,18505734.5,904757.9
General cargo,10618,2099,154548.3,215942.9,2003.2,2004.4,2006.4,2006.6,925.5,1757.3,1883.7,1868.4,107.0,201.9,408.5,409.2,32.0,73.4,88.0,86.5,25061.4,22853.1,2208.3,1922649.5,1756322.7,166326.9,1959564.4,1790044.1,169520.4
Chemical tanker,8327,1600,157196.8,253804.8,2007.2,2007.9,2008.5,2008.5,927.8,1855.7,1884.4,1904.6,98.0,196.0,360.9,363.4,24.0,49.3,63.1,63.6,31556.1,27374.9,4181.2,2427521.5,2108549.4,318972.1,2474129.9,2149033.6,325096.4
Oil tanker,4209,1574,1551813.8,2958667.3,2008.2,2007.7,2010.4,2010.5,1871.9,4095.2,5298.5,5400.9,201.0,427.8,827.7,831.6,52.0,104.9,92.7,92.6,103694.9,91673.7,12021.2,8027269.8,7097802.0,929467.8,8181393.4,7234079.8,947313.6
Liquefied gas tanker,3631,727,446275.1,398666.2,2007.2,2008.7,2011.1,2010.9,1232.3,3451.6,4297.7,4195.0,123.0,266.7,434.7,433.5,26.0,46.0,59.8,60.1,54188.1,51052.1,3136.0,3668975.2,3437840.5,231134.7,3739419.5,3503847.0,235572.5
Vehicle,1515,457,170384.7,58269.5,2005.0,2007.0,2006.7,2006.4,1056.7,2524.2,2355.6,2344.1,85.0,183.7,372.0,368.3,14.0,41.0,56.0,56.3,10773.7,10268.8,504.9,833821.3,794871.9,38949.4,849830.7,810133.4,39697.2
Ferry-pax only,1168,77,477.0,42.6,2005.6,2003.6,2001.5,2001.3,312.9,1170.4,775.3,751.5,16.0,89.9,384.5,375.3,8.0,44.7,95.0,102.5,610.4,500.4,110.0,45826.9,37567.7,8259.1,46706.8,38289.0,8417.7
Ferry-RoPax,1125,29,9683.9,2798.5,2006.2,2000.9,2002.2,2004.0,251.1,1318.3,424.5,400.3,16.0,79.0,30.9,27.5,11.0,206.8,252.1,253.8,2725.8,1554.3,1171.5,208858.0,119406.4,89451.6,212868.0,121699.0,91169.1
Cruise,673,43,53451.4,4675.0,2006.2,2001.9,2008.4,2007.2,555.3,661.9,740.4,746.8,38.0,42.7,52.1,56.6,9.0,19.2,46.7,47.4,8876.8,6284.2,2592.6,687564.7,486743.2,200821.5,700765.9,496088.7,204677.3
Refrigerated bulk,539,199,8709.8,9480.8,1991.4,1991.3,1990.9,1991.0,1047.1,3428.4,2883.0,2851.0,99.0,464.6,1531.8,1499.7,62.0,146.4,165.6,164.4,5513.7,4383.2,1130.5,417654.7,332731.2,84923.5,425673.7,339119.6,86554.0
Service - tug,449,115,530.0,457.1,2007.7,2006.6,2009.1,2008.2,649.8,1229.4,1128.0,1178.2,96.0,269.8,458.6,475.1,22.0,86.7,273.7,304.4,465.2,353.4,111.8,35108.9,26658.9,8450.0,35782.9,27170.7,8612.2
Ro-Ro,318,23,2273.0,1087.9,1997.1,1997.6,1998.5,1998.8,421.6,1213.0,520.2,579.2,32.5,110.3,131.5,163.3,7.0,53.5,30.4,38.9,522.5,453.9,68.7,40386.5,35097.3,5289.2,41161.9,35771.1,5390.8
Service - other,253,91,3852.3,3005.4,2001.5,2002.5,2004.7,2005.1,596.5,2976.5,2297.9,1812.0,69.0,540.2,2075.9,2343.0,20.0,281.7,393.0,331.4,1041.1,915.3,125.8,79582.6,70057.0,9525.6,81110.6,71402.1,9708.5
Miscellaneous - fishing,244,110,2169.9,1357.8,1993.9,1992.9,1995.0,1992.4,934.2,4225.5,4961.2,4608.1,86.0,678.2,3510.1,3465.3,37.5,289.2,244.6,236.8,768.2,679.4,88.8,58186.2,51519.5,6666.7,59303.3,52508.7,6794.7
Offshore,147,60,8190.7,11090.6,2009.1,2007.6,2007.6,2005.3,474.9,1552.8,3109.4,3137.1,85.0,284.0,449.6,441.3,25.0,90.2,67.6,71.5,717.4,667.1,50.3,50451.7,46648.8,3802.8,51420.3,47544.5,3875.9
Other liquids tankers,26,4,131.6,144.9,2003.2,2007.0,2007.1,2007.5,1075.3,1070.6,1266.2,1219.7,82.5,103.9,217.0,211.3,23.0,19.4,14.1,13.9,62.3,56.7,5.6,4824.8,4391.2,433.6,4917.4,4475.5,441.9
