Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,443,178,27600.7,35040.8,2007.0,2007.4,2008.6,2008.6,190.2,1377.7,1514.3,1547.6,41.0,117.7,399.2,400.5,20.0,21.8,22.3,22.3,4085.9,3913.3,172.6,316487.6,303124.8,13362.8,322564.2,308944.8,13619.4
Ro-Ro,107,25,4788.6,2460.4,2012.0,2009.8,2011.9,2011.7,452.7,781.8,760.7,803.9,30.0,53.9,115.7,120.0,14.0,17.4,20.5,20.3,445.5,416.3,29.2,34501.6,32236.8,2264.9,35164.1,32855.7,2308.4
Bulk carrier,94,88,11783.6,19982.8,2007.3,2007.6,2007.8,2007.7,4091.5,4811.1,4485.4,4434.6,406.0,454.7,648.3,646.9,217.5,281.5,282.1,282.7,1198.2,1116.4,81.8,92705.0,86397.1,6307.9,94484.9,88055.9,6429.1
Vehicle,89,42,12659.8,3817.9,2007.2,2007.8,2009.6,2009.3,4198.6,2863.5,2693.0,2455.3,270.0,178.8,289.9,287.3,15.0,18.0,17.0,17.4,873.7,857.9,15.8,67557.9,66332.8,1225.0,68855.0,67606.4,1248.5
Chemical tanker,83,57,825.5,1316.7,2006.8,2006.5,2008.1,2008.1,268.5,611.3,595.1,594.0,99.0,154.8,207.9,205.9,59.0,74.8,72.0,72.2,290.1,204.7,85.5,22254.9,15712.2,6542.7,22682.2,16013.9,6668.3
General cargo,52,34,858.7,1227.3,2002.9,2004.0,2008.9,2009.1,549.0,1528.7,1669.5,1711.9,81.5,162.0,370.4,389.5,78.0,106.1,206.6,214.2,149.3,127.2,22.1,11456.9,9796.5,1660.4,11676.9,9984.6,1692.3
Refrigerated bulk,50,29,190.7,214.7,1988.9,1989.7,1986.6,1986.7,256.4,738.2,689.0,684.4,39.5,95.6,258.3,255.3,92.5,111.4,118.7,117.4,182.0,98.2,83.9,13749.4,7450.4,6298.9,14013.3,7593.5,6419.9
Liquefied gas tanker,40,15,521.1,611.5,2011.9,2011.9,2010.7,2010.6,293.2,1192.8,874.2,894.3,51.5,128.3,263.6,266.9,42.5,47.3,47.4,47.2,116.0,93.3,22.7,8880.0,7173.2,1706.7,9050.5,7311.0,1739.5
Oil tanker,31,22,200.0,326.8,2002.2,2002.5,2003.5,2003.4,247.3,479.7,319.5,318.5,76.0,163.6,176.4,175.8,72.0,206.9,163.6,164.5,169.7,70.8,98.9,13093.5,5471.2,7622.3,13344.9,5576.2,7768.7
Offshore,11,4,88.4,158.6,1997.1,1990.0,2003.2,2003.5,106.6,785.7,67.1,66.4,20.0,182.4,33.5,29.0,35.0,27.1,83.9,84.6,2.9,2.7,0.2,215.7,201.6,14.2,219.9,205.4,14.4
Service - tug,10,6,3.9,3.2,1995.4,1994.0,1988.6,1987.3,281.6,1470.9,1413.9,1467.2,54.0,1276.8,2804.1,2915.9,69.0,280.0,256.9,196.6,16.9,14.8,2.1,1269.6,1109.1,160.5,1294.0,1130.4,163.6
Miscellaneous - fishing,10,5,12.8,15.1,1983.9,1981.6,1981.4,1981.2,529.1,1014.9,1320.6,1353.8,207.5,171.7,234.7,235.1,0.5,21.6,99.1,102.2,8.0,7.5,0.6,611.1,567.6,43.5,622.8,578.5,44.3
Service - other,6,5,19.6,29.5,2005.0,2003.8,2005.7,2006.7,643.7,978.9,769.9,734.1,205.5,243.8,292.5,271.8,31.5,95.8,95.0,77.6,9.2,8.3,0.9,693.9,626.0,67.8,707.2,638.1,69.1
Ferry-pax only,2,1,1.4,0.2,1969.0,1969.0,1969.0,1969.0,607.9,607.9,607.9,607.9,73.5,73.5,74.0,74.0,405.5,405.5,418.2,418.2,1.6,0.3,1.4,122.5,18.8,103.7,124.9,19.2,105.7
Cruise,1,1,2.4,0.2,1998.0,1998.0,1998.0,1998.0,79.9,79.9,79.9,79.9,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,1.1,0.8,0.4,86.3,59.1,27.2,87.9,60.2,27.7
