Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,213,7,64.0,94.4,2003.3,2000.7,2005.5,2005.1,129.4,322.9,141.7,141.4,19.0,41.9,22.0,21.9,4.0,20.0,12.6,12.9,20.7,18.8,1.9,1555.8,1414.8,141.0,1585.6,1441.9,143.7
Ro-Ro,126,2,189.2,94.5,1996.3,1997.0,1996.2,1996.3,136.8,133.8,142.0,141.1,12.0,11.5,14.1,14.3,1.0,1.0,1.4,1.4,60.8,58.3,2.5,4564.3,4375.2,189.1,4651.9,4459.2,192.7
Ferry-RoPax,88,3,230.3,45.9,2000.6,2002.0,2000.7,2000.0,140.3,225.7,238.6,170.3,11.0,17.3,244.6,114.9,1.0,7.2,12.8,6.2,129.1,114.9,14.2,9694.4,8627.3,1067.1,9880.5,8792.9,1087.6
Bulk carrier,37,1,14.3,18.3,1982.0,1982.0,1982.0,1982.0,406.3,406.3,442.9,442.9,48.0,48.0,72.6,72.6,21.0,21.0,22.7,22.7,13.1,11.3,1.8,987.0,849.8,137.2,1005.9,866.1,139.8
Ferry-pax only,34,2,5.4,0.5,2002.6,2001.5,2001.1,2000.9,254.9,338.7,457.9,462.9,27.0,25.5,53.5,52.6,32.0,33.0,105.6,106.0,10.5,4.2,6.3,790.9,316.3,474.6,806.1,322.4,483.7
Oil tanker,18,6,21.6,27.5,2005.3,2002.5,2005.0,2004.4,449.3,440.0,435.8,434.6,50.0,55.2,58.4,58.3,11.0,9.9,9.8,9.7,11.0,9.3,1.6,823.3,700.2,123.1,839.1,713.6,125.5
Cruise,11,9,65.8,8.3,1987.1,1984.4,1994.7,1994.3,242.7,318.2,317.6,328.4,18.0,28.6,35.9,39.5,6.0,9.0,4.3,4.1,21.3,18.3,3.0,1613.9,1386.6,227.3,1644.9,1413.2,231.7
Liquefied gas tanker,5,2,1.8,1.7,1994.6,1994.0,1994.9,1994.9,35.4,55.9,150.9,152.1,14.0,17.8,56.9,57.0,10.0,13.5,10.9,10.8,2.6,1.8,0.8,198.0,136.3,61.7,201.8,138.9,62.9
Chemical tanker,2,2,3.4,4.3,2006.5,2006.5,2006.6,2006.6,472.9,472.9,478.7,471.3,61.5,61.5,66.5,63.8,15.5,15.5,16.7,16.1,1.8,1.5,0.3,133.1,109.7,23.3,135.6,111.9,23.8
Service - tug,1,1,0.0,0.0,1964.0,1964.0,1964.0,1964.0,138.0,138.0,138.0,138.0,15.0,15.0,15.0,15.0,25.0,25.0,25.0,25.0,0.2,0.2,0.0,16.8,15.1,1.7,17.1,15.4,1.7
Service - other,1,1,1.4,0.5,2015.0,2015.0,2015.0,2015.0,635.1,635.1,635.1,635.1,80.0,80.0,80.0,80.0,7.0,7.0,7.0,7.0,0.4,0.4,0.0,31.5,29.0,2.5,32.1,29.5,2.6
