Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Sint Maarten (Dutch part),222,43,741.2,114.8,1996.2,1997.0,2004.4,2003.6,77.8,101.9,128.4,103.5,12.0,18.0,15.2,14.7,8.0,10.8,8.2,9.6,168.4,114.2,54.2,12978.4,8802.0,4176.4,13227.6,8971.0,4256.6
Antigua and Barbuda,139,48,467.8,81.3,1997.9,2000.5,2005.6,2002.2,77.1,100.1,123.3,94.5,10.0,13.8,14.3,12.8,9.0,11.1,9.2,10.2,133.1,82.9,50.2,10268.2,6409.0,3859.2,10465.4,6532.0,3933.3
Virgin Islands (U.S.),96,27,1041.6,121.4,1996.3,1999.1,2008.7,2005.1,154.3,172.9,180.0,175.7,16.0,17.1,14.6,15.4,7.0,11.9,8.8,10.2,182.7,130.4,52.3,14055.9,10013.4,4042.5,14325.8,10205.6,4120.1
Virgin Islands (British),93,32,235.5,52.9,1987.6,1992.4,1998.1,1994.4,163.2,161.0,168.0,177.7,19.0,20.2,19.5,24.1,6.0,9.4,8.2,9.3,73.8,56.0,17.8,5676.6,4306.1,1370.4,5785.5,4388.8,1396.8
Saint Lucia,89,22,1374.7,175.3,1999.3,2004.4,2000.1,2000.4,227.6,245.0,234.9,237.1,16.0,19.8,16.7,17.8,8.0,8.2,8.0,7.7,366.0,299.5,66.5,28335.2,23190.8,5144.4,28879.2,23636.0,5243.2
Dominican Republic,58,25,1751.5,237.6,2004.8,2003.8,2006.8,2005.7,444.0,487.1,439.3,447.1,31.0,67.3,29.1,38.0,7.0,15.6,6.5,7.0,349.2,315.9,33.3,26945.3,24365.5,2579.8,27462.7,24833.3,2629.4
Puerto Rico,47,18,1019.5,100.6,2001.1,1998.9,2005.2,2004.6,234.4,243.6,243.2,240.4,15.0,32.4,15.1,15.3,8.0,9.6,8.2,8.2,240.0,203.0,37.0,18348.8,15483.7,2865.1,18701.1,15781.0,2920.1
Saint Martin (French part),42,13,14.3,17.3,1987.4,1986.0,1997.7,1999.8,83.8,85.1,121.2,126.3,10.0,12.3,24.9,26.3,13.0,10.2,40.3,47.4,17.7,8.6,9.1,1330.8,646.1,684.8,1356.4,658.5,697.9
Anguilla,39,15,17.9,16.3,1992.3,1988.0,1997.4,2001.6,88.0,91.1,108.8,115.9,15.0,20.3,22.2,18.5,12.0,10.7,20.2,23.3,18.9,10.7,8.2,1435.7,813.9,621.8,1463.3,829.6,633.7
Montserrat,34,13,8.5,4.8,1980.8,1983.8,1992.2,1998.2,51.6,105.3,78.8,101.1,7.0,12.5,16.7,22.3,9.5,22.6,18.8,25.8,9.7,4.7,5.0,735.2,354.0,381.1,749.3,360.8,388.4
