Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Santos,1622,1138,369718.6,562843.8,2008.8,2009.6,2010.1,2010.1,5020.2,5628.1,5474.9,5999.0,396.5,478.9,555.5,600.7,75.0,147.5,118.5,133.3,33570.6,32000.5,1570.1,2598052.7,2476879.6,121173.1,2647935.3,2524435.7,123499.6
Rio Grande,1111,690,129025.6,212378.4,2008.8,2009.0,2009.6,2009.8,626.4,4482.9,2529.5,3128.4,58.0,396.1,597.1,628.9,35.0,92.9,114.4,117.9,10266.4,9648.0,618.5,794275.1,746565.5,47709.6,809525.2,760899.6,48625.6
Tubarao,773,694,425868.3,818110.2,2011.0,2011.0,2011.0,2011.0,8234.3,6883.7,7639.3,7687.9,669.0,602.4,699.7,701.0,209.0,265.4,234.6,233.6,21576.1,20329.6,1246.6,1670802.4,1574302.1,96500.3,1702881.8,1604528.7,98353.1
Paranagua,773,683,151338.5,264756.6,2009.6,2009.9,2009.8,2009.8,5658.9,5810.8,5739.4,6270.5,653.0,681.0,860.7,886.2,87.0,112.1,109.6,111.4,12874.3,12238.4,635.9,996114.6,947030.7,49083.9,1015240.0,965213.7,50026.3
Rio De Janeiro,459,318,100566.7,123650.5,2009.1,2008.5,2012.5,2012.7,4058.5,3796.4,4765.6,4949.8,290.0,371.6,444.7,465.8,22.0,71.0,32.8,37.4,10389.7,9937.7,452.1,794949.0,760094.9,34854.2,810212.1,774688.7,35523.4
Santana,458,338,53407.9,89282.3,2008.4,2009.3,2009.9,2010.3,3203.2,3617.4,3423.1,3583.4,259.0,313.9,405.6,414.2,5.0,19.4,22.3,19.7,4546.3,4493.7,52.6,351820.6,347765.4,4055.2,358575.6,354442.5,4133.1
Vila Do Conde,440,336,43381.1,73299.6,2006.4,2008.1,2009.4,2010.2,3084.2,3743.3,3792.6,4001.5,298.5,421.0,543.6,561.5,85.5,138.7,143.9,143.5,4113.1,3855.9,257.2,317797.7,298043.2,19754.5,323899.4,303765.7,20133.8
Itaqui,436,362,384995.7,741449.5,2008.7,2009.2,2007.6,2007.8,9651.3,7566.1,8767.6,8801.6,824.5,750.0,881.2,881.9,35.0,42.6,36.7,36.6,17153.3,16955.8,197.5,1328437.0,1313144.1,15292.9,1353943.0,1338356.5,15586.5
Ponta Da Madeira,431,332,464132.4,904120.2,2009.9,2010.2,2009.7,2009.9,9651.5,7911.2,8911.9,8933.6,734.0,655.1,778.6,779.3,123.0,150.8,141.5,141.7,19080.9,18658.4,422.5,1477907.5,1445184.6,32722.9,1506283.3,1472932.1,33351.2
Itaguai,386,316,271258.5,488532.5,2010.8,2010.5,2011.3,2011.0,8885.6,7777.0,8293.4,8293.6,757.0,737.2,762.8,783.9,52.0,72.5,61.2,64.0,14640.2,14459.7,180.5,1133859.0,1119891.7,13967.2,1155629.1,1141393.7,14235.4
Sao Luis,286,267,40261.2,70841.4,2010.0,2010.2,2011.0,2011.2,3655.3,4375.8,4744.5,4833.5,402.5,481.8,648.8,664.3,61.0,76.1,78.1,77.8,3713.8,3568.6,145.2,286894.5,275754.5,11140.1,292402.9,281049.0,11354.0
Aratu,284,245,40699.3,65761.7,2009.8,2010.2,2010.4,2010.9,4322.2,4773.1,5074.9,5378.7,411.5,518.1,653.0,694.5,60.0,89.8,94.0,97.8,4426.7,4138.5,288.2,341288.8,319164.0,22124.9,347841.6,325291.9,22549.7
Ilha Guaiba,225,176,207135.4,387714.0,2006.4,2008.5,2005.0,2005.3,8943.7,8343.9,8604.1,8606.6,739.0,747.3,770.4,772.6,116.0,129.8,132.4,132.6,9120.4,8928.7,191.7,706456.3,691609.3,14847.1,720020.3,704888.2,15132.1
Suape,186,75,40018.8,40863.9,2009.2,2008.9,2010.1,2010.2,3041.2,3232.9,3137.1,3171.0,185.5,227.1,199.6,200.3,15.0,49.6,21.8,24.0,4231.3,4152.9,78.4,327679.0,321620.5,6058.5,333970.5,327795.7,6174.8
Niteroi,179,164,45021.3,82412.6,2009.0,2008.8,2010.3,2010.4,3793.1,4269.9,4689.6,4868.3,355.0,429.7,653.0,659.5,21.0,66.3,42.0,39.1,3314.2,3091.1,223.1,256151.7,238935.8,17216.0,261069.8,243523.3,17546.5
Salvador,168,118,27853.5,36806.2,2009.9,2008.9,2011.8,2011.6,3524.2,3911.9,3829.4,4077.0,214.5,343.7,348.9,402.1,16.0,86.8,53.6,64.6,2916.5,2804.6,112.0,223696.0,215072.1,8623.9,227991.0,219201.5,8789.5
Sao Francisco Do Sul,166,158,39064.3,70006.2,2010.1,2010.4,2010.8,2010.8,7128.3,6529.5,6905.6,7021.9,716.5,706.9,847.3,855.9,77.0,102.6,97.6,96.2,3144.7,3057.9,86.8,243211.5,236570.3,6641.2,247881.1,241112.4,6768.7
Pecem,161,143,21847.2,33326.5,2011.1,2010.9,2011.5,2011.6,2630.7,3386.8,3475.2,3419.1,262.0,317.5,406.9,403.1,122.0,158.8,175.2,194.9,1990.5,1829.0,161.5,148804.4,136323.1,12481.3,151661.4,138940.5,12720.9
Vitoria,152,121,19025.7,15713.8,2007.0,2007.9,2006.1,2007.8,3814.6,3733.7,3625.7,3650.1,256.0,322.3,319.1,387.2,54.5,79.8,54.4,84.1,1849.4,1785.6,63.8,142931.8,138069.5,4862.3,145676.1,140720.4,4955.7
Itapoa,145,48,15650.3,22693.8,2012.6,2011.9,2012.2,2012.2,1078.0,3431.0,1731.8,2105.4,80.0,299.5,411.2,492.4,22.0,60.7,54.7,60.9,1364.5,1286.7,77.8,104285.7,98263.9,6021.7,106288.0,100150.6,6137.4
Navegantes,145,60,13143.4,14886.0,2009.4,2008.7,2009.2,2009.2,888.6,2608.7,1551.1,1547.5,102.0,200.8,232.4,234.0,19.0,45.2,27.4,27.3,1613.2,1521.2,92.1,124574.7,117569.9,7004.8,126966.6,119827.3,7139.3
Sao Vicente,140,122,26976.6,46993.2,2011.1,2010.6,2011.3,2011.2,5610.5,6113.3,6269.4,6512.9,746.0,765.7,821.9,836.6,82.5,122.9,116.4,118.5,2333.6,2251.3,82.3,180443.8,174114.6,6329.3,183908.4,177457.6,6450.8
Porto De Suape,130,110,19018.1,28646.9,2009.5,2009.8,2010.1,2010.0,4348.0,4210.8,4263.2,4267.7,362.0,387.2,414.2,422.4,52.0,82.5,98.8,96.7,2598.2,2254.4,343.9,200869.5,174257.5,26612.0,204726.2,177603.2,27122.9
Imbituba,130,92,14599.0,22721.2,2012.2,2011.2,2011.7,2011.3,3303.4,3969.6,2016.4,2440.6,285.0,371.3,443.9,483.7,59.5,132.1,130.3,142.9,1245.4,1177.1,68.3,96338.4,91083.6,5254.8,98188.1,92832.4,5355.7
Porto De Mucuripe,109,86,6955.0,9829.5,2008.2,2008.5,2009.1,2009.1,2826.0,3088.7,2829.9,2970.1,258.0,284.1,283.4,299.8,92.0,146.5,285.8,170.7,940.9,849.3,91.6,72534.1,65531.5,7002.7,73926.8,66789.7,7137.1
Portocel,97,59,12893.4,19060.4,2003.6,2003.7,2005.1,2005.1,4194.0,3742.9,3972.9,3943.4,336.0,318.2,413.6,412.8,78.0,85.7,93.4,93.6,1155.1,1098.4,56.7,88951.2,84689.7,4261.4,90659.0,86315.8,4343.2
Alumar,95,79,7190.2,12170.8,2010.6,2010.9,2010.2,2010.0,2931.8,2729.7,2896.7,2913.6,412.0,459.0,500.5,501.8,54.0,62.0,65.3,65.4,759.2,723.4,35.9,58654.8,55894.4,2760.3,59780.9,56967.6,2813.3
Sao Sebastiao,88,76,15581.6,27125.0,2002.3,2003.9,2009.1,2009.8,4062.9,4295.2,5009.8,5434.8,332.0,381.1,591.1,615.5,101.5,119.6,101.7,99.4,1576.9,1401.3,175.6,121938.2,108375.1,13563.1,124279.4,110455.9,13823.5
Recife,80,75,9927.1,13801.1,2008.0,2008.1,2008.2,2008.4,3691.3,4239.1,4074.0,4486.3,322.5,381.7,448.7,469.3,76.5,104.9,101.5,110.6,1146.7,1099.4,47.4,88363.6,84778.6,3585.0,90060.1,86406.3,3653.8
Angra Dos Reis,72,42,31547.2,60028.9,2012.5,2011.5,2010.8,2010.7,1103.6,4483.3,4037.0,4212.4,243.5,457.5,679.4,686.9,57.0,64.2,54.5,53.5,1622.0,1497.4,124.6,125483.9,115832.4,9651.5,127893.2,118056.4,9836.8
Maceio,68,65,5098.6,8270.9,2008.6,2008.5,2009.5,2009.5,3268.7,3428.9,3525.6,3540.8,337.0,330.2,348.9,350.2,72.5,97.4,83.7,82.4,662.5,625.9,36.6,51126.5,48327.9,2798.5,52108.1,49255.8,2852.2
Gebig,67,51,69994.3,135528.7,2010.9,2010.6,2010.7,2010.7,8626.5,8397.1,8299.8,8310.5,750.0,794.8,938.0,939.4,101.0,107.7,121.8,122.2,4338.0,3633.7,704.3,335883.2,281322.9,54560.3,342332.2,286724.3,55607.9
Tramandai,67,55,13740.8,24216.0,2008.9,2010.0,2008.0,2008.0,4788.3,4421.9,4672.1,4699.1,405.0,382.5,450.0,452.0,124.0,169.3,150.4,148.1,1369.2,1200.6,168.6,106030.6,92975.3,13055.4,108066.4,94760.4,13306.0
Madre De Deus,66,58,13861.3,18611.1,2008.6,2008.9,2010.1,2008.6,4011.8,4310.4,4704.4,4684.8,355.0,429.4,498.0,529.1,44.0,57.4,48.8,49.8,1683.6,1573.5,110.1,120136.4,111618.3,8518.1,122443.0,113761.4,8681.6
Macapa,66,64,7200.6,12485.8,2009.5,2009.5,2009.7,2009.8,3172.8,3269.6,3275.0,3381.2,258.5,305.4,414.9,431.0,24.0,54.2,46.3,46.1,614.9,590.1,24.8,47563.0,45653.6,1909.4,48476.2,46530.1,1946.1
Sepetiba,63,61,13403.2,24593.2,2012.0,2012.0,2012.2,2012.1,4853.8,5290.5,5465.3,5500.3,525.0,559.6,661.1,664.2,92.0,100.7,100.5,100.2,1080.2,1041.0,39.2,83544.2,80507.8,3036.4,85148.2,82053.5,3094.7
