Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,5716,3684,2466079.6,4664933.9,2010.1,2010.4,2009.3,2009.3,5575.7,6286.4,7810.7,7931.7,610.0,626.1,901.0,906.3,23.0,69.7,75.3,75.5,144952.6,142596.1,2356.5,11223008.0,11041589.2,181418.8,11438489.7,11253587.7,184902.0
Container,1564,246,313292.6,355907.4,2010.0,2009.9,2011.9,2012.0,2992.1,3162.4,2925.6,2925.2,174.0,207.7,317.6,319.6,19.0,24.1,22.5,22.6,31829.1,31206.7,622.4,2464710.9,2416705.9,48005.0,2512033.4,2463106.7,48926.7
General cargo,920,441,111641.2,160445.2,2003.6,2005.9,2005.3,2005.8,4563.5,4729.5,5364.9,5430.3,384.0,432.5,625.5,632.4,29.5,56.8,45.6,44.8,12619.9,12309.3,310.6,972404.9,949056.4,23348.5,991075.1,967278.3,23796.8
Chemical tanker,916,536,74785.8,123364.2,2009.7,2010.0,2010.3,2010.3,3558.0,3703.4,3732.6,3739.1,302.0,344.3,463.8,465.0,33.5,52.4,61.8,61.8,11080.0,10116.6,963.4,855880.4,782275.7,73604.7,872313.3,797295.4,75017.9
Oil tanker,526,335,250305.5,474408.8,2010.0,2009.5,2010.8,2010.8,4671.4,5909.6,6279.0,6380.9,475.5,596.8,819.5,826.3,40.0,68.5,79.5,79.6,18979.8,17234.3,1745.4,1468622.7,1334306.5,134316.2,1496820.3,1359925.2,136895.1
Vehicle,259,88,28767.3,9516.2,2007.3,2007.9,2006.9,2006.7,1041.1,2031.9,1974.0,2026.3,84.0,138.0,202.8,206.8,13.0,22.0,22.2,22.3,1882.1,1830.2,52.0,145790.1,141765.7,4024.4,148589.3,144487.6,4101.7
Liquefied gas tanker,175,81,28677.6,27570.5,2011.3,2011.0,2011.8,2011.6,3502.1,4249.7,4001.8,4009.3,264.0,392.2,409.6,431.1,34.0,58.3,43.9,46.5,3551.1,3362.4,188.7,247442.1,233218.9,14223.3,252193.0,237696.7,14496.4
Cruise,99,41,8817.7,905.8,2005.0,2002.8,2007.1,2006.4,1093.5,1402.5,1208.5,1211.1,64.0,91.1,84.6,85.3,9.0,14.8,12.4,12.3,1985.7,1885.0,100.6,153732.8,145947.3,7785.5,156684.5,148749.5,7935.0
Other liquids tankers,74,12,9712.4,12013.8,2002.8,2004.9,2003.7,2003.3,5485.4,4892.6,5469.3,5434.7,380.5,344.0,404.7,399.3,80.0,90.2,104.0,103.5,2096.2,1961.4,134.8,161766.0,151570.9,10195.1,164871.9,154481.0,10390.8
Ro-Ro,67,10,7199.7,3426.3,2000.5,2000.1,2000.5,2000.5,2500.6,2087.0,1920.6,1925.0,161.0,167.4,188.4,189.2,32.0,35.6,32.0,31.9,754.0,723.1,30.9,58389.8,56000.5,2389.3,59510.8,57075.7,2435.2
Service - tug,40,24,338.6,274.7,2005.0,2006.4,2007.8,2007.3,1987.3,4172.8,3151.4,3109.1,316.0,780.4,964.0,992.6,23.5,179.5,139.9,149.5,229.6,222.3,7.3,17363.6,16815.5,548.2,17697.0,17138.3,558.7
Service - other,36,31,710.0,547.9,2004.2,2003.7,2005.1,2005.0,2941.9,3888.7,3173.1,3171.7,400.0,706.3,790.9,808.9,78.0,309.9,332.3,483.2,283.1,259.6,23.5,21494.8,19719.4,1775.4,21907.5,20098.1,1809.5
Refrigerated bulk,25,17,832.0,912.5,1993.1,1992.9,1993.3,1993.2,4653.9,4081.2,4062.9,4069.8,326.0,302.8,345.6,345.6,59.0,84.8,83.1,83.8,339.5,299.5,39.9,25894.9,22891.8,3003.1,26392.1,23331.4,3060.7
Offshore,20,17,731.2,937.2,2005.1,2003.7,2003.5,2006.1,2188.3,2097.7,1307.7,1276.7,214.0,281.9,318.1,311.6,16.0,284.4,300.8,271.6,130.2,115.8,14.4,9912.3,8833.5,1078.8,10102.6,9003.1,1099.5
Miscellaneous - fishing,19,12,93.1,69.8,1997.5,1999.2,1995.5,1992.7,3083.6,3492.0,3122.6,3414.7,369.0,406.8,599.1,570.0,33.0,119.3,185.1,188.3,67.3,61.9,5.3,5063.7,4662.5,401.2,5160.9,4752.0,408.9
Ferry-RoPax,16,1,15.4,3.9,2009.0,2009.0,2009.0,2009.0,71.5,71.5,966.5,966.5,6.5,6.5,1239.1,1239.1,8.0,8.0,2.7,2.7,22.8,22.1,0.7,1714.0,1659.0,55.1,1747.0,1690.8,56.1
