Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,5830,241,141183.2,164678.2,2010.7,2010.0,2010.8,2010.9,253.4,324.9,396.2,400.2,29.0,32.5,60.3,60.9,18.0,22.1,23.6,23.8,16745.5,14380.6,2364.9,1296741.3,1113775.6,182965.7,1321638.7,1135160.1,186478.6
Bulk carrier,3186,1298,72670.0,127852.7,2010.1,2010.9,2009.8,2009.7,514.5,612.5,677.0,674.9,74.0,136.9,174.0,173.5,67.0,108.8,103.5,102.5,7804.1,6405.4,1398.7,603752.4,495788.6,107963.7,615344.4,505307.8,110036.6
Chemical tanker,2543,373,45399.5,74830.0,2007.7,2009.5,2007.7,2007.7,688.9,749.9,837.4,838.5,78.0,105.8,164.2,164.6,44.0,71.7,66.6,66.5,10505.8,7597.2,2908.6,811482.1,587514.6,223967.5,827062.5,598794.9,228267.7
Service - tug,2105,152,2212.5,1670.0,2008.6,2009.1,2009.9,2009.4,209.9,890.4,1115.8,1153.6,78.0,620.4,1244.6,1210.2,29.0,169.9,447.6,455.5,2123.8,1689.5,434.3,159888.7,127242.6,32646.1,162958.5,129685.6,33272.9
Oil tanker,2039,174,86653.6,150756.7,2006.1,2007.1,2009.3,2009.5,614.7,674.4,852.2,851.1,107.0,135.7,330.4,342.1,47.0,74.1,96.1,95.9,15533.0,9489.3,6043.7,1201714.8,734379.7,467335.1,1224787.7,748479.8,476307.9
Offshore,1846,207,9776.0,10258.7,2009.9,2009.6,2011.7,2011.4,732.7,1413.0,1271.5,1293.4,224.0,570.4,1329.4,1295.3,35.0,141.4,388.7,369.1,6202.8,4833.1,1369.7,466345.9,363403.1,102942.9,475299.8,370380.4,104919.4
Liquefied gas tanker,1206,51,8064.5,8473.7,2009.9,2010.7,2010.3,2009.8,456.0,988.2,729.5,744.3,63.0,109.6,132.9,136.3,37.0,74.1,116.7,123.7,2872.7,1782.0,1090.7,217512.2,135250.7,82261.5,221688.4,137847.5,83841.0
General cargo,883,305,13343.3,19734.9,2006.2,2007.0,2006.7,2006.8,547.1,601.9,655.5,654.3,62.0,88.9,123.1,122.6,60.0,80.7,86.2,86.0,1999.8,1584.0,415.8,153076.8,121853.1,31223.6,156015.8,124192.7,31823.1
Cruise,488,40,13931.7,1353.2,2003.8,2003.2,2006.9,2005.8,268.8,357.1,333.2,333.8,17.0,28.7,33.8,34.2,9.0,12.2,11.5,11.6,3001.2,2522.4,478.8,232419.5,195341.3,37078.2,236882.0,199091.9,37790.1
Vehicle,398,72,11215.6,3543.2,2006.9,2007.8,2007.7,2007.4,371.1,420.9,505.6,503.9,32.0,36.5,54.5,54.4,14.5,15.1,20.9,20.5,742.0,667.1,74.8,57473.7,51678.8,5794.9,58577.2,52671.0,5906.2
Service - other,202,34,2227.6,2589.2,1999.7,2002.0,2002.6,2001.7,596.0,3412.0,2187.7,2400.4,115.0,589.4,1355.9,1344.7,41.0,253.0,478.9,482.2,599.4,454.2,145.1,45651.9,34673.2,10978.7,46528.4,35338.9,11189.5
Ro-Ro,140,9,2102.3,997.3,2000.5,2000.8,2000.5,2000.5,241.7,244.8,264.9,264.7,23.0,23.6,29.7,29.6,12.5,12.3,18.3,18.2,237.6,204.0,33.6,18408.0,15802.4,2605.5,18761.4,16105.8,2655.6
Ferry-RoPax,20,2,30.3,12.1,2009.4,2009.5,2009.4,2009.6,412.8,476.2,1609.6,1634.1,35.0,65.2,1274.2,1503.4,9.0,11.0,21.0,14.7,46.2,42.3,3.8,3467.5,3178.6,288.9,3534.1,3239.6,294.5
Miscellaneous - fishing,13,1,28.6,11.1,2014.0,2014.0,2014.0,2014.0,1085.5,1085.5,1360.1,1360.1,280.0,280.0,498.6,498.6,30.0,30.0,33.5,33.5,13.3,12.1,1.2,1000.4,909.3,91.1,1019.6,926.7,92.9
Ferry-pax only,8,1,17.5,1.1,2003.0,2003.0,2003.0,2003.0,594.7,594.7,3154.9,3154.9,161.0,161.0,2690.2,2690.2,23.5,23.5,17.9,17.9,13.6,13.1,0.5,1020.9,983.1,37.8,1040.5,1002.0,38.5
Other liquids tankers,8,3,148.3,205.7,2014.8,2014.7,2014.6,2014.6,473.7,387.7,678.8,690.0,59.5,64.8,167.6,168.9,65.5,49.7,85.8,86.2,26.9,17.8,9.1,2085.8,1380.5,705.3,2125.9,1407.0,718.9
Refrigerated bulk,6,6,21.2,23.7,1991.7,1991.7,1991.4,1991.2,404.2,422.9,423.9,424.9,38.0,106.2,122.9,127.0,202.5,152.5,153.1,157.7,34.1,15.6,18.6,2571.8,1177.9,1393.8,2621.1,1200.5,1420.6
