Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Santos,1910,1258,419378.9,645365.3,2009.2,2009.9,2010.6,2010.5,4571.4,5795.2,5096.5,5821.1,423.0,597.9,689.3,755.3,20.5,69.1,57.9,62.3,39108.6,38050.6,1058.0,3026769.7,2945595.6,81174.1,3084883.7,3002151.0,82732.7
Paranagua,956,736,160048.5,271319.7,2010.0,2010.0,2009.9,2009.9,3910.4,5151.9,3747.2,4584.1,359.5,472.8,651.8,687.9,18.0,59.3,41.7,41.0,13610.2,13167.5,442.6,1053347.5,1019337.4,34010.1,1073571.7,1038908.7,34663.1
Tubarao,810,732,399988.3,766783.7,2010.8,2010.9,2010.5,2010.4,5288.3,5883.6,7237.2,7309.6,553.0,602.9,833.7,837.3,31.0,71.5,92.1,93.2,22635.0,22211.3,423.7,1751996.3,1719422.5,32573.8,1785634.6,1752435.4,33199.3
Rio Grande,769,616,121050.2,207312.4,2008.8,2008.9,2010.0,2010.0,3706.6,4886.6,5135.8,5596.9,348.0,504.6,782.9,799.8,20.0,71.1,47.4,47.2,10739.1,10363.3,375.8,830893.5,802079.0,28814.5,846846.6,817478.9,29367.8
Rio De Janeiro,504,357,83426.5,111177.9,2008.2,2008.0,2009.6,2010.0,3904.4,3797.6,3921.1,4392.3,268.0,338.3,407.5,463.7,26.0,65.5,48.4,54.2,9555.6,9172.9,382.7,733280.1,703952.4,29327.7,747359.1,717468.3,29890.8
Vila Do Conde,471,344,58385.5,95337.1,2006.0,2008.3,2008.7,2009.9,3557.6,4634.6,4587.0,4761.3,325.0,424.2,563.6,588.4,25.0,67.8,58.0,56.5,5766.5,5610.2,156.3,445603.3,433663.9,11939.5,454158.9,441990.2,12168.7
Itaqui,443,368,443853.6,856597.7,2008.9,2009.3,2007.9,2008.0,9763.6,8337.3,9966.8,10008.9,932.0,795.3,1041.5,1043.3,40.0,61.8,82.5,82.8,21039.7,20718.7,321.0,1629314.4,1604603.4,24711.1,1660597.3,1635411.7,25185.5
Itaguai,410,298,298274.5,525793.9,2011.0,2010.4,2011.4,2011.1,8862.7,8079.3,8116.6,8343.8,794.5,748.1,790.1,823.6,17.0,43.1,39.4,41.4,17163.4,17014.4,149.0,1329321.0,1317819.3,11501.8,1354844.0,1343121.4,11722.6
Ponta Da Madeira,366,286,460395.7,898832.5,2009.9,2010.0,2009.6,2009.7,9768.3,8862.1,10152.5,10175.2,947.0,847.7,1033.2,1033.2,57.5,73.2,95.2,95.5,20940.9,20706.5,234.4,1621785.5,1603674.3,18111.2,1652923.8,1634464.9,18459.0
Aratu,274,226,38576.9,65989.2,2009.4,2009.7,2010.4,2010.4,4334.5,4960.4,5348.2,5575.5,346.5,437.7,598.5,620.1,17.0,38.7,33.7,33.3,4109.0,3948.4,160.6,316439.5,304245.7,12193.8,322515.2,310087.2,12428.0
Navegantes,214,80,11271.3,13079.5,2009.8,2007.7,2011.1,2011.3,735.4,1771.3,879.5,882.0,60.0,130.8,126.9,131.1,23.0,31.7,24.4,24.2,1255.5,1168.4,87.1,96987.2,90296.8,6690.4,98849.4,92030.5,6818.9
