Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Runavik,144,54,882.3,549.0,1996.1,1993.3,1994.6,1997.1,530.6,2849.8,2841.2,1973.2,135.5,561.3,1755.8,1742.4,24.0,198.2,272.8,230.9,247.2,190.7,56.5,18686.8,14437.6,4249.2,19045.6,14714.8,4330.8
Torshavn,121,48,934.8,318.4,1991.0,1991.7,2002.0,1998.5,1091.7,2363.3,2974.2,1493.5,221.0,457.6,864.7,762.4,33.0,232.2,159.2,222.0,392.6,314.9,77.7,29905.6,24008.4,5897.3,30479.8,24469.3,6010.5
Fuglafjordur,106,41,825.5,516.4,1989.4,1993.7,1995.4,1996.8,704.9,3097.9,3480.8,2647.4,124.0,602.1,1419.7,1430.5,39.0,277.8,526.4,476.2,246.2,187.4,58.8,18658.9,14209.8,4449.2,19017.2,14482.6,4534.6
Toftir,99,33,104.8,97.4,1987.3,1987.9,1994.1,1995.3,326.8,1586.4,760.2,679.7,45.0,384.2,517.8,405.6,33.0,177.5,288.0,261.4,92.1,63.2,28.9,6923.7,4746.6,2177.1,7056.6,4837.8,2218.9
Klaksvik,83,42,281.2,187.2,1989.1,1986.2,1995.3,1996.9,750.6,2477.6,2074.0,1527.5,160.0,606.9,739.5,647.6,15.0,165.9,852.9,600.3,133.6,97.4,36.2,10053.2,7331.8,2721.4,10246.2,7472.6,2773.6
Lopra,70,31,58.1,51.6,1992.9,1989.9,1992.4,1993.0,493.0,1166.7,860.6,761.2,51.5,149.5,136.5,109.8,41.5,314.1,479.2,373.5,53.5,21.2,32.2,4019.7,1596.7,2423.0,4096.9,1627.3,2469.6
Tvoroyri,65,30,528.0,160.1,1993.6,1989.7,2002.8,2000.6,955.5,1866.4,2509.7,1595.5,91.0,294.0,189.6,229.6,56.0,305.6,421.3,412.8,214.4,87.8,126.6,16342.9,6666.7,9676.3,16656.7,6794.7,9862.0
Vagur,52,30,105.5,71.2,1992.3,1990.9,1993.4,1994.1,419.2,1435.6,1547.1,1090.1,56.5,249.4,553.3,488.0,37.0,319.7,820.3,698.7,63.6,24.6,39.0,4782.4,1849.8,2932.6,4874.2,1885.3,2988.9
Leirvik,50,23,101.1,84.1,1988.1,1993.7,2001.2,2001.1,345.7,1169.0,1104.1,904.1,39.0,292.5,372.9,309.4,31.0,107.8,231.4,213.1,46.6,31.0,15.6,3512.1,2333.3,1178.7,3579.5,2378.1,1201.3
Strendur,35,14,24.0,19.7,1992.1,1991.4,2000.3,2000.7,316.9,1484.0,489.5,382.3,42.0,351.4,667.4,449.4,55.0,180.7,319.7,215.8,25.9,16.3,9.6,1945.4,1223.7,721.7,1982.8,1247.2,735.6
