Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Miscellaneous - fishing,697,91,2784.8,1789.7,1992.6,1990.6,1995.3,1997.2,693.8,2890.1,2516.0,2005.6,148.0,516.0,1258.2,1218.9,36.0,162.0,454.1,390.4,1161.6,834.0,327.6,87567.0,62907.5,24659.5,89248.3,64115.3,25133.0
General cargo,152,13,73.2,96.5,1979.6,1984.7,1981.2,1981.4,336.3,355.2,325.2,327.7,29.5,36.7,80.3,82.7,22.0,30.5,52.6,53.1,43.7,28.7,15.0,3290.4,2159.8,1130.6,3353.6,2201.3,1152.3
Service - other,48,4,18.8,23.3,1978.5,1984.0,1988.8,1986.7,317.3,671.3,901.3,859.3,42.5,118.5,666.7,775.1,21.5,42.1,54.0,61.4,34.2,26.8,7.4,2565.3,2008.7,556.6,2614.5,2047.3,567.2
Offshore,40,2,63.6,92.8,2002.4,2003.0,2003.5,2003.4,414.7,582.6,699.5,692.7,120.0,134.8,382.9,381.3,96.5,138.5,346.8,345.0,70.3,42.8,27.4,5276.9,3216.7,2060.2,5378.2,3278.5,2099.7
Ferry-RoPax,25,2,1161.2,243.6,2001.0,1992.5,2004.7,2004.7,2103.7,1555.0,4304.2,4302.1,103.0,146.2,646.2,653.0,82.0,77.5,232.5,237.3,381.5,246.5,135.0,29279.0,18920.1,10358.9,29841.1,19283.3,10557.8
Refrigerated bulk,19,12,61.6,66.1,1992.7,1992.1,1993.1,1993.0,521.6,461.3,600.1,596.6,21.0,29.0,53.7,53.0,92.0,108.1,82.2,81.6,52.2,18.6,33.6,3953.9,1416.7,2537.1,4029.8,1443.9,2585.8
Service - tug,15,1,0.5,0.3,1999.0,1999.0,1999.0,1999.0,195.8,195.8,187.7,187.7,196.0,196.0,513.7,513.7,57.0,57.0,88.6,88.6,8.1,6.8,1.3,607.1,510.5,96.6,618.7,520.3,98.4
Ro-Ro,12,2,22.5,21.5,1980.6,1980.5,1980.6,1980.6,308.8,308.8,405.7,405.9,18.0,18.0,25.5,25.5,10.0,10.5,49.3,49.7,10.0,5.0,5.1,758.7,377.2,381.5,773.2,384.4,388.8
Chemical tanker,6,5,5.2,7.7,2009.3,2009.4,2009.6,2009.5,86.0,147.0,134.4,138.3,15.5,16.9,19.7,20.0,8.0,15.3,22.7,23.4,3.0,1.7,1.3,226.3,126.3,100.0,230.6,128.7,101.9
Cruise,2,2,1.4,0.3,1975.5,1975.5,1967.3,1965.4,240.2,240.2,201.8,232.9,23.0,23.0,29.3,30.8,4.5,4.5,4.8,4.8,0.6,0.5,0.1,48.4,38.8,9.6,49.4,39.5,9.8
Bulk carrier,1,1,1.4,1.9,1979.0,1979.0,1979.0,1979.0,427.8,427.8,427.8,427.8,61.0,61.0,61.0,61.0,18.0,18.0,18.0,18.0,0.7,0.6,0.0,49.6,46.4,3.2,50.5,47.3,3.3
