Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Iceland,341,95,1821.7,1225.1,1996.1,1993.5,2000.0,1999.5,521.4,982.5,478.8,574.6,55.0,147.7,138.4,147.0,15.0,48.4,68.1,85.2,566.1,470.8,95.3,43171.9,35994.7,7177.2,44000.8,36685.8,7315.0
Denmark,191,47,1898.6,919.5,1997.2,1995.4,2002.2,2002.4,622.2,1058.0,624.7,700.5,50.0,219.8,78.4,89.2,6.0,107.6,11.3,16.3,437.9,406.4,31.4,32984.6,30625.2,2359.4,33617.9,31213.2,2404.7
United Kingdom of Great Britain and Northern Ireland,177,67,770.6,549.9,2000.3,1993.4,2003.4,2006.5,555.3,906.3,508.0,530.6,41.0,185.8,164.8,152.6,10.0,61.8,19.3,21.7,263.1,233.3,29.8,19952.4,17708.0,2244.5,20335.5,18047.9,2287.6
Norway,172,77,465.8,369.1,1990.1,1993.8,1995.7,1996.4,461.3,1486.5,1065.4,810.3,53.5,282.5,586.7,449.4,17.0,66.4,159.3,144.7,179.2,160.1,19.1,13509.6,12072.2,1437.3,13769.0,12304.0,1464.9
Russian Federation,97,34,829.0,724.4,1992.4,1991.1,1991.7,1992.3,1513.3,1914.0,1774.3,1665.4,126.0,235.8,281.3,214.1,75.0,214.6,248.7,168.3,466.9,344.3,122.6,35123.8,25917.6,9206.2,35798.1,26415.2,9383.0
Netherlands,93,27,619.5,731.3,1997.0,1997.6,1996.7,1997.0,725.5,810.6,741.3,741.7,55.0,90.2,56.8,56.9,19.0,80.7,62.8,55.5,257.0,223.3,33.8,19398.8,16864.3,2534.5,19771.2,17188.1,2583.1
Spain,23,22,301.7,313.9,1991.3,1991.3,1991.8,1991.9,2163.7,2155.9,2203.9,2214.5,174.0,286.1,302.1,235.1,8.0,60.6,33.4,19.9,115.6,110.5,5.1,8817.7,8433.4,384.4,8987.0,8595.3,391.8
Germany,19,12,122.0,59.3,2001.9,2000.1,2008.2,2005.1,751.4,796.1,759.6,767.7,71.0,74.2,61.8,74.5,17.0,138.0,66.8,109.5,37.0,30.8,6.2,2787.0,2320.8,466.2,2840.5,2365.4,475.1
Poland,16,15,199.1,115.9,1989.4,1989.4,1990.8,1993.3,1168.0,1792.0,2387.8,1854.9,108.5,271.5,790.5,614.8,71.0,241.6,509.7,387.7,55.0,45.3,9.7,4138.5,3410.1,728.4,4217.9,3475.6,742.3
Greenland,8,8,17.2,7.5,1978.6,1978.6,1985.6,1981.0,1551.9,1987.9,1695.4,1737.7,171.5,548.8,555.9,729.0,39.5,38.1,30.5,33.8,19.3,18.9,0.5,1451.8,1416.7,35.1,1479.6,1443.9,35.8
