Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,221,64,1237.8,1588.9,1994.0,2001.9,2005.1,2005.1,465.9,1618.5,1497.5,1464.1,87.0,191.0,237.1,239.6,61.0,81.4,111.9,114.6,308.8,253.1,55.7,23615.9,19415.8,4200.1,24069.3,19788.6,4280.7
Liquefied gas tanker,183,53,5956.9,6768.4,2013.0,2010.8,2012.4,2012.2,1341.0,2216.1,2175.8,2168.9,120.0,225.4,397.5,395.7,37.0,74.3,54.6,55.8,946.7,815.0,131.7,72987.6,62964.6,10023.1,74389.0,64173.5,10215.5
Container,112,24,2858.8,3613.2,2003.5,2004.5,2004.3,2004.2,500.4,1500.8,1289.8,1278.3,44.5,113.7,125.0,124.2,32.5,77.8,86.7,85.7,552.2,472.2,80.0,42630.8,36502.2,6128.6,43449.3,37203.0,6246.3
Bulk carrier,82,60,4986.4,8573.3,2005.7,2007.6,2011.0,2011.0,1743.5,2669.7,2794.1,2837.5,176.0,331.0,550.9,555.6,61.5,87.0,105.9,106.5,434.9,409.7,25.1,33642.8,31708.9,1933.9,34288.7,32317.7,1971.0
Service - tug,80,17,10.2,8.5,2007.6,2006.8,2007.9,2008.3,486.2,661.7,594.6,597.9,186.5,256.2,335.5,343.4,83.0,190.9,187.2,168.3,41.8,31.1,10.7,3139.6,2336.5,803.2,3199.9,2381.3,818.6
Chemical tanker,50,25,979.4,1437.8,2009.7,2011.3,2009.2,2009.3,1815.4,1402.2,1622.6,1597.4,181.5,131.2,222.7,220.5,43.5,52.6,63.8,63.9,241.7,194.9,46.8,18621.1,15028.5,3592.6,18978.6,15317.1,3661.5
Cruise,28,19,1168.8,156.4,1997.5,1997.8,1994.7,1993.4,495.0,1032.2,1050.2,1110.6,39.0,69.9,126.2,135.6,12.5,51.2,20.2,21.3,259.7,224.8,34.9,20075.1,17405.5,2669.6,20460.6,17739.7,2720.9
Oil tanker,26,5,748.0,1323.1,1995.1,2002.8,2007.1,2007.2,1868.4,2838.6,3258.9,3332.6,225.5,281.0,448.2,454.4,27.0,25.5,25.9,25.0,133.8,114.7,19.1,10241.8,8807.3,1434.4,10438.4,8976.4,1462.0
Service - other,13,2,0.8,0.3,2008.6,2010.5,2007.3,2007.0,430.4,252.0,354.2,443.8,177.0,106.5,205.0,210.8,161.0,143.5,211.7,217.0,8.5,4.3,4.1,636.8,325.7,311.1,649.0,331.9,317.1
Ro-Ro,10,2,0.8,1.0,2010.3,2010.5,2010.4,2010.4,46.4,56.9,79.6,79.1,15.0,14.5,24.5,24.6,9.5,14.0,49.8,49.0,4.5,2.0,2.5,339.2,152.4,186.8,345.7,155.3,190.4
Refrigerated bulk,5,3,85.4,92.7,1984.0,1989.0,1996.3,1994.6,6344.0,8701.6,8538.0,8284.0,919.0,980.7,1146.8,1124.5,69.0,135.0,96.4,98.6,74.5,64.3,10.2,5631.1,4863.9,767.2,5739.2,4957.3,782.0
Offshore,2,2,1.0,0.7,2013.5,2013.5,2014.6,2014.5,1009.2,1009.2,1017.2,870.2,98.5,98.5,98.1,98.2,47.5,47.5,75.7,71.9,3.5,3.3,0.2,265.2,247.2,18.0,270.3,251.9,18.4
Ferry-pax only,1,1,2.5,0.2,2018.0,2018.0,2018.0,2018.0,2000.5,2000.5,2000.5,2000.5,106.0,106.0,106.0,106.0,9.0,9.0,9.0,9.0,0.2,0.2,0.0,13.0,11.9,1.0,13.2,12.2,1.0
