Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Callao,2306,1116,200826.1,232815.8,2008.6,2008.8,2010.2,2010.6,1194.9,2545.3,1744.6,1796.5,85.0,274.2,283.1,304.3,29.0,99.7,59.5,69.0,21259.8,19042.9,2216.9,1631563.2,1461089.5,170473.7,1662889.2,1489142.4,173746.8
San Martin,740,489,17616.5,31360.8,2008.2,2009.3,2011.1,2011.2,282.9,1031.3,1090.0,1139.8,37.0,135.8,546.7,560.7,56.0,79.2,80.6,80.9,1819.9,1358.6,461.3,140240.1,104938.9,35301.2,142932.7,106953.7,35979.0
Paita,313,123,9977.4,13565.7,2006.1,2007.0,2009.1,2009.5,655.9,2816.1,1516.6,1630.6,54.0,284.1,339.8,354.6,19.0,48.2,33.9,36.8,1545.9,1460.2,85.6,119201.8,112685.6,6516.2,121490.5,114849.1,6641.3
Matarani,230,193,10799.7,17572.0,2010.0,2010.3,2010.6,2011.0,1147.0,2173.8,1992.7,2004.0,110.5,207.3,398.1,399.9,51.5,76.7,92.8,93.5,1439.2,1280.0,159.2,111031.9,98781.8,12250.1,113163.8,100678.4,12485.3
Tambo De Mora,151,122,24860.6,24796.3,2009.2,2009.5,2011.0,2011.3,1470.9,2749.7,3744.5,3692.7,127.0,273.3,537.7,539.3,40.0,73.6,65.2,70.4,2899.6,2788.5,111.1,188975.7,180710.2,8265.5,192604.0,184179.8,8424.2
Ilo,144,65,2704.3,4277.7,2005.7,2008.9,2008.9,2009.0,362.9,1490.0,1252.0,1296.1,33.0,137.4,367.0,379.0,44.5,63.7,72.6,74.8,487.1,374.0,113.1,37460.6,28860.5,8600.1,38179.8,29414.6,8765.2
Iquitos,136,5,30.2,10.0,2009.7,2002.0,2006.3,2006.4,278.7,304.2,292.0,325.5,16.0,43.2,29.0,47.6,11.0,96.0,67.8,188.9,24.6,15.9,8.7,1851.3,1197.2,654.1,1886.8,1220.2,666.7
Salaverry,88,83,4370.8,6451.3,2008.9,2009.6,2009.6,2011.0,1175.0,2124.0,2052.4,2349.9,119.0,207.5,389.9,420.2,82.0,107.9,117.5,129.5,598.0,555.6,42.5,46094.3,42845.4,3248.9,46979.3,43668.0,3311.3
La Pampilla Oil Terminal,77,61,5821.8,9851.1,2007.9,2008.3,2008.5,2008.5,2213.8,2160.3,2113.7,2091.0,271.0,272.3,309.4,308.4,82.0,113.0,128.2,126.5,1199.0,840.4,358.6,92713.7,65004.4,27709.3,94493.8,66252.5,28241.3
Puerto Bayovar,75,68,7888.6,14422.7,2009.1,2009.7,2011.0,2011.0,1312.3,2522.1,3077.7,3252.9,118.0,256.8,588.0,595.3,63.0,82.2,88.4,89.3,563.3,518.8,44.5,43612.9,40171.0,3441.9,44450.3,40942.3,3508.0
