Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Oil tanker,510,45,1112.8,1945.9,1986.4,2002.2,1997.8,1998.5,193.4,308.0,323.4,322.8,49.0,73.3,406.2,414.2,20.5,33.9,68.7,69.6,505.4,327.0,178.5,38225.1,24737.8,13487.3,38959.0,25212.7,13746.3
Service - tug,138,12,46.4,28.7,2001.4,1995.8,2002.5,2000.5,317.2,403.3,600.8,569.0,124.0,151.8,473.7,493.5,55.5,138.9,436.1,321.8,150.0,98.4,51.6,11262.9,7386.3,3876.6,11479.2,7528.1,3951.0
Chemical tanker,137,25,284.5,411.7,2007.9,2006.3,2007.1,2007.0,163.3,172.1,219.5,217.7,54.0,52.8,162.0,157.6,22.0,30.1,51.6,50.2,189.3,126.4,62.9,14303.4,9544.0,4759.5,14578.1,9727.2,4850.9
Miscellaneous - fishing,98,18,20.4,18.9,1997.1,1990.3,1991.7,1990.1,779.0,1491.7,1395.7,1256.7,97.5,285.1,380.6,405.3,71.5,286.8,468.0,504.8,126.8,66.7,60.1,9518.1,5008.9,4509.2,9700.8,5105.1,4595.8
Container,58,38,353.5,437.8,2004.3,2004.6,2005.2,2005.1,126.5,448.6,331.2,356.6,68.5,187.1,437.8,448.4,26.0,52.2,82.5,79.2,188.5,146.1,42.4,14306.7,11076.2,3230.5,14581.4,11288.8,3292.6
Offshore,45,10,20.0,18.6,1987.9,2006.3,2007.7,2008.2,81.4,352.2,300.9,324.3,71.0,307.0,901.2,768.4,33.0,423.2,334.7,330.3,51.5,28.3,23.2,3865.7,2122.4,1743.4,3940.0,2163.1,1776.9
General cargo,27,20,101.4,120.6,1997.3,1999.6,1998.0,1997.8,283.1,422.9,582.0,530.0,60.0,67.9,265.3,256.9,29.0,76.9,98.7,98.5,29.9,19.0,10.9,2280.5,1454.9,825.6,2324.3,1482.8,841.5
Liquefied gas tanker,18,10,231.0,262.7,2003.9,2007.4,1992.4,1992.6,182.6,413.0,528.0,520.1,79.0,513.6,627.7,641.0,20.0,34.4,217.1,215.0,83.8,63.8,20.0,6432.5,4889.1,1543.4,6556.0,4983.0,1573.0
Service - other,17,3,7.7,3.4,1984.1,1987.0,1999.4,1994.8,201.6,407.0,618.2,455.0,77.0,1397.5,169.3,429.2,62.0,57.8,90.3,91.2,19.1,15.7,3.4,1432.3,1175.8,256.5,1459.8,1198.4,261.5
Refrigerated bulk,16,7,29.6,31.4,2007.8,2005.1,2006.5,2006.4,252.5,627.7,460.6,469.7,180.5,492.6,768.7,786.3,76.5,82.8,78.1,73.6,97.4,73.1,24.3,7318.2,5493.6,1824.5,7458.7,5599.1,1859.6
Ferry-RoPax,11,4,166.5,36.0,1996.2,1994.0,2004.1,1998.3,840.6,1903.2,1639.4,1059.0,62.0,228.1,143.4,103.5,12.0,202.1,87.5,76.7,75.8,51.8,24.0,5719.2,3906.9,1812.3,5829.0,3981.9,1847.1
Bulk carrier,7,4,11.8,17.7,1990.1,1998.5,1987.8,1989.0,238.2,183.1,144.1,131.3,25.0,20.9,58.6,56.4,24.0,18.8,32.8,32.1,3.8,2.6,1.2,282.6,195.4,87.2,288.0,199.2,88.8
Ferry-pax only,6,1,0.7,0.1,2010.0,2010.0,2010.0,2010.0,115.2,115.2,341.0,341.0,412.5,412.5,949.2,949.2,36.0,36.0,44.1,44.1,4.8,4.4,0.4,357.6,330.2,27.4,364.4,336.5,27.9
Cruise,3,3,0.6,0.2,1985.0,1985.0,1982.5,1986.2,103.8,208.0,117.3,152.7,19.0,30.7,31.2,38.6,14.0,13.7,15.3,15.8,1.3,0.7,0.6,99.4,52.2,47.2,101.4,53.2,48.1
