Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,2055,380,199056.9,214795.4,2005.9,2006.7,2009.8,2009.7,803.7,1521.0,1973.3,1920.1,71.0,114.2,238.1,235.5,21.0,36.3,32.0,33.4,20850.3,19749.8,1100.4,1611251.9,1526901.0,84351.0,1642188.0,1556217.5,85970.5
General cargo,1089,516,8650.7,10962.4,1997.5,2000.3,2004.7,2004.8,698.9,1208.6,1269.7,1251.4,76.0,137.5,286.9,287.9,11.0,33.9,29.2,29.9,1761.6,1642.6,119.1,135092.1,126098.4,8993.7,137685.9,128519.5,9166.4
Oil tanker,1011,552,69431.6,127583.2,2007.5,2008.3,2008.9,2008.9,750.8,1414.3,1260.6,1261.0,77.0,156.8,299.2,301.0,20.0,52.1,51.5,51.7,6495.3,5733.9,761.4,501864.8,442932.3,58932.6,511500.6,451436.6,60064.1
Chemical tanker,992,470,22836.2,36974.8,2007.2,2008.0,2008.5,2008.5,752.6,1355.1,1183.2,1192.6,76.0,143.7,277.5,278.5,21.0,37.7,40.8,41.0,3899.4,3413.0,486.5,301078.6,263635.4,37443.2,306859.3,268697.2,38162.1
Bulk carrier,876,692,58013.2,101991.7,2007.0,2008.9,2010.5,2010.6,1067.3,2141.4,2290.4,2311.3,110.5,230.7,400.4,401.5,9.0,18.3,17.1,17.2,5078.6,4998.1,80.6,392384.7,386190.9,6193.8,399918.5,393605.8,6312.7
Liquefied gas tanker,340,155,33239.2,28736.8,2008.4,2009.0,2010.1,2010.1,747.8,2118.6,2735.6,2584.4,68.5,192.3,355.3,354.6,17.5,36.0,50.9,51.1,4088.7,3838.7,250.0,288690.8,269722.7,18968.1,294233.7,274901.4,19332.3
Cruise,302,86,9979.9,1023.0,2002.7,1998.9,2004.5,2003.0,457.3,605.5,463.8,500.5,28.0,46.1,55.9,60.4,9.0,29.3,36.6,36.5,2213.9,1770.0,443.8,171383.7,137064.6,34319.1,174674.3,139696.2,34978.1
Ro-Ro,294,33,4691.5,2091.9,2005.7,2002.3,2008.2,2007.1,631.7,933.4,638.7,654.2,36.0,81.8,66.7,85.7,7.0,34.6,17.2,19.4,869.2,799.8,69.4,67262.8,61889.7,5373.1,68554.3,63078.0,5476.3
Offshore,235,58,2998.4,3085.0,2007.6,2006.0,2006.9,2004.2,288.5,1910.0,2077.9,2127.3,78.0,504.0,1139.8,1454.3,26.0,76.8,36.7,36.9,662.8,599.6,63.2,48825.6,44080.6,4744.9,49763.0,44927.0,4836.0
Service - tug,168,64,188.1,165.3,2002.0,1997.6,2006.9,2006.0,433.8,1157.3,664.3,663.9,103.5,283.7,407.7,401.7,10.0,262.4,187.4,169.7,178.6,150.5,28.1,13424.1,11316.1,2108.0,13681.9,11533.4,2148.5
Ferry-RoPax,139,16,2177.1,633.3,1996.6,1993.4,1997.9,1995.3,575.1,1233.9,874.1,718.8,30.0,104.0,128.6,84.6,5.0,182.7,63.5,45.5,727.8,521.0,206.8,55475.8,39772.9,15702.9,56541.0,40536.6,16004.4
Miscellaneous - fishing,60,30,44.9,34.8,1989.4,1993.8,1998.0,1992.8,473.6,1711.1,1910.1,1856.8,85.5,227.0,441.2,428.2,33.0,122.6,109.3,126.3,68.1,50.5,17.6,5131.1,3811.1,1320.0,5229.6,3884.3,1345.4
Vehicle,52,27,1976.1,628.1,2004.6,2005.2,2008.2,2007.5,810.9,954.8,898.9,909.5,56.5,154.9,198.9,195.6,6.0,75.3,30.7,32.4,156.4,126.8,29.6,12095.5,9810.9,2284.7,12327.8,9999.2,2328.5
Service - other,50,36,759.9,1100.4,1999.8,2003.0,2010.4,2011.0,1401.2,2661.0,1239.2,838.9,173.0,454.0,637.3,273.2,28.5,135.4,37.8,24.3,211.6,192.0,19.6,16101.0,14630.1,1471.0,16410.2,14911.0,1499.2
Refrigerated bulk,35,29,509.5,571.2,2000.1,1998.5,1997.3,1997.1,1012.5,2460.6,2386.4,2448.9,102.0,240.0,444.0,445.0,18.0,96.1,83.8,81.2,265.3,219.9,45.3,20156.7,16745.1,3411.6,20543.7,17066.6,3477.1
Ferry-pax only,4,3,21.8,4.2,2006.0,2009.0,2004.0,2007.4,1243.9,8807.4,2103.5,3505.3,106.0,2224.0,3044.1,4550.6,10.5,33.2,7.6,5.5,13.5,13.2,0.3,1009.9,987.8,22.1,1029.3,1006.7,22.5
