Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United States of America,885,215,26394.1,31693.9,2006.5,2007.9,2007.7,2008.4,1095.5,1564.3,1460.4,1466.4,80.0,147.9,127.5,136.8,25.0,46.5,40.6,43.9,5375.7,4921.2,454.5,412326.3,378185.5,34140.8,420242.9,385446.6,34796.3
Honduras,603,137,1646.0,1906.4,2005.3,2006.8,2005.7,2006.5,82.2,175.5,136.8,138.1,8.0,18.9,27.5,32.0,12.0,35.7,33.0,40.2,362.6,224.4,138.2,27924.5,17327.4,10597.1,28460.6,17660.1,10800.5
Mexico,382,168,11542.1,12455.3,2006.6,2007.2,2006.5,2006.9,871.3,1031.1,891.6,951.3,59.0,93.8,87.2,96.2,21.0,71.2,41.0,48.9,1815.0,1631.1,183.9,140334.1,126216.5,14117.6,143028.5,128639.8,14388.7
El Salvador,238,121,704.8,877.9,2008.5,2008.9,2008.3,2008.4,73.2,114.4,94.9,102.4,7.0,15.1,29.9,33.3,32.0,35.8,41.8,48.3,226.7,80.0,146.7,17527.3,6188.8,11338.5,17863.8,6307.6,11556.2
Colombia,143,75,6457.8,7681.0,2007.2,2008.0,2007.6,2008.1,1026.1,1125.5,1111.8,1115.4,73.0,96.3,90.6,94.5,16.0,31.4,22.3,25.4,851.9,810.3,41.6,65952.9,62743.2,3209.6,67219.1,63947.9,3271.3
Costa Rica,96,66,2054.2,1470.9,2005.3,2005.8,2005.3,2006.3,738.4,713.1,708.1,760.6,48.0,63.2,69.7,73.4,33.0,47.9,29.9,43.5,421.5,368.4,53.1,32553.4,28486.4,4067.0,33178.4,29033.3,4145.1
Belize,94,18,188.9,102.5,1995.6,2005.4,2007.7,2006.4,150.1,200.0,172.9,200.3,14.0,21.4,21.0,23.7,36.0,23.8,20.6,33.9,74.6,43.8,30.8,5706.3,3370.2,2336.2,5815.9,3434.9,2381.0
Panama,84,72,2305.9,3494.5,2009.0,2009.1,2009.5,2009.9,930.5,1086.3,1080.2,1098.0,80.5,123.4,141.1,146.7,43.0,71.2,112.0,119.1,345.3,264.6,80.7,26652.7,20441.8,6211.0,27164.5,20834.2,6330.2
Nicaragua,73,49,682.8,577.7,2007.9,2008.6,2007.4,2009.3,248.5,320.0,281.2,298.8,20.0,45.9,42.1,53.9,22.0,39.1,35.1,56.6,137.6,106.5,31.1,10621.5,8237.2,2384.2,10825.4,8395.4,2430.0
Dominican Republic,63,14,722.0,939.1,2011.8,2007.8,2011.7,2011.8,1176.7,1284.8,1206.6,1210.2,99.0,107.7,102.3,102.7,13.0,22.6,15.4,15.7,163.4,149.9,13.5,12542.8,11520.2,1022.6,12783.6,11741.4,1042.2
