Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,1736,177,34140.1,40964.0,2006.2,2006.6,2006.8,2006.8,818.4,1016.9,865.7,855.2,52.0,67.3,108.6,107.9,16.0,21.9,26.4,26.2,6037.2,5557.9,479.4,465389.8,428884.8,36505.0,474325.2,437119.3,37205.9
Chemical tanker,323,202,8532.0,14116.9,2010.3,2010.4,2009.5,2009.5,969.8,1528.5,1190.7,1193.6,86.0,145.7,313.3,314.9,41.0,51.1,79.6,80.0,1525.0,1178.0,347.0,117373.3,90808.0,26565.3,119626.9,92551.5,27075.4
Bulk carrier,273,236,12601.3,20801.2,2011.0,2011.0,2010.9,2010.9,1186.5,1763.1,1712.3,1702.3,123.0,188.2,330.7,329.3,55.0,94.7,100.0,100.0,1245.5,1137.1,108.4,96223.0,87913.4,8309.7,98070.5,89601.3,8469.2
Refrigerated bulk,202,21,5539.5,5401.5,2003.3,1997.2,2001.3,2001.1,1804.1,3451.0,2101.5,2180.0,108.0,203.5,172.2,180.3,38.5,51.5,46.5,46.9,2133.0,1929.1,203.8,162902.0,147597.5,15304.5,166029.7,150431.3,15598.4
Vehicle,121,96,9705.4,3139.1,2007.6,2008.3,2009.1,2008.9,481.7,1530.2,1407.9,1376.0,43.0,113.0,365.3,362.6,9.0,17.9,31.1,30.1,535.9,515.4,20.5,41487.4,39903.7,1583.7,42284.0,40669.9,1614.1
Cruise,108,47,3982.8,404.7,2002.9,2003.1,2002.6,2002.0,469.1,605.3,592.4,587.9,35.0,42.9,65.2,65.9,8.0,8.7,9.2,9.1,1002.9,923.2,79.7,77517.3,71378.2,6139.2,79005.7,72748.6,6257.0
General cargo,94,71,3384.8,4921.3,2006.5,2008.7,2009.5,2009.4,1043.6,2099.0,2133.8,2123.5,95.0,204.2,426.3,424.2,59.0,95.6,118.0,116.1,457.2,415.3,41.9,35110.0,31961.7,3148.3,35784.1,32575.4,3208.7
Oil tanker,38,33,1753.8,3090.4,2005.8,2005.8,2006.4,2006.4,1116.6,1217.0,1234.0,1239.0,99.5,134.0,197.3,198.0,38.5,47.3,50.3,50.1,262.7,188.0,74.7,20231.6,14513.1,5718.5,20620.0,14791.7,5828.3
Service - tug,35,5,5.0,4.1,1969.9,1981.6,1972.6,1970.8,372.0,744.3,691.8,688.3,10.0,136.0,109.6,100.6,103.0,107.2,167.2,167.1,18.9,8.1,10.8,1420.0,610.3,809.6,1447.2,622.0,825.2
Liquefied gas tanker,19,4,728.3,812.9,2010.0,2010.8,2009.9,2009.9,923.1,1548.2,1339.0,1302.0,67.0,131.9,147.3,141.6,43.0,48.2,76.3,73.4,123.9,101.7,22.2,9556.9,7856.3,1700.6,9740.3,8007.1,1733.2
Miscellaneous - fishing,7,5,10.8,9.2,1988.4,1985.0,1998.4,1998.7,1004.4,727.9,802.3,837.7,66.0,75.8,97.6,101.4,24.0,188.0,432.3,430.8,8.3,5.4,2.9,623.5,408.0,215.5,635.4,415.8,219.6
Ferry-pax only,2,1,15.4,5.2,1973.0,1973.0,1973.0,1973.0,616.6,616.6,616.6,616.6,256.0,256.0,466.1,466.1,910.5,910.5,1584.6,1584.6,12.2,3.7,8.5,917.4,279.8,637.5,935.0,285.2,649.8
Ro-Ro,1,1,9.6,8.7,1985.0,1985.0,1985.0,1985.0,935.8,935.8,935.8,935.8,92.0,92.0,92.0,92.0,3.0,3.0,3.0,3.0,1.9,1.9,0.0,148.3,146.2,2.0,151.1,149.0,2.1
Offshore,1,1,1.9,3.2,2005.0,2005.0,2005.0,2005.0,915.0,915.0,915.0,915.0,90.0,90.0,90.0,90.0,583.0,583.0,583.0,583.0,2.6,1.1,1.5,195.7,85.0,110.7,199.4,86.6,112.8
Ferry-RoPax,1,1,2.0,0.2,2007.0,2007.0,2007.0,2007.0,172.2,172.2,172.2,172.2,20.0,20.0,20.0,20.0,6.0,6.0,6.0,6.0,0.6,0.5,0.1,45.1,38.8,6.3,45.9,39.6,6.4
