Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Map Ta Phut,2046,286,5130.8,8573.8,1997.1,2002.2,2003.0,2002.9,257.7,641.0,621.3,631.7,22.0,69.5,128.3,128.7,18.0,50.6,148.1,151.9,2047.1,1021.8,1025.3,155548.0,77586.1,77961.9,158534.5,79075.7,79458.8
Siam Seaport,1414,290,3355.7,5176.3,1996.3,2001.1,2003.2,2003.2,331.9,607.3,490.5,522.7,32.0,84.2,251.5,256.0,34.0,70.7,110.2,109.0,1942.9,997.2,945.7,146923.9,75699.2,71224.7,149744.8,77152.7,72592.2
Laem Chabang,1336,337,5235.2,6566.1,2007.0,2005.1,2006.0,2006.0,107.7,546.0,259.4,256.9,9.0,77.4,269.6,244.1,11.0,50.1,135.9,129.6,1055.6,618.0,437.6,80659.4,47336.1,33323.3,82208.1,48244.9,33963.1
Phra Khanong,1104,304,1291.1,1751.7,2001.9,2004.0,2005.4,2005.2,100.4,298.1,134.6,140.6,26.0,61.3,189.4,185.5,22.5,42.8,40.0,41.6,936.8,615.7,321.0,70728.3,46594.6,24133.7,72086.3,47489.2,24597.0
Unithai Container Terminal,1005,225,1499.6,2168.2,1998.1,2000.3,1998.7,1998.9,253.4,1075.9,340.9,348.6,29.0,103.6,416.8,335.5,23.0,161.6,370.9,299.8,1273.5,610.2,663.3,96106.2,46107.0,49999.2,97951.4,46992.2,50959.2
Rayong,841,197,2089.6,3425.7,1996.0,2001.2,2001.7,2001.2,317.1,645.2,643.0,651.8,32.0,93.2,282.0,277.0,21.0,63.0,129.3,127.8,1062.8,629.5,433.2,80672.5,47889.9,32782.5,82221.4,48809.4,33412.0
Nh Prosperity,701,238,1721.5,2657.9,1995.5,2000.0,2001.8,2002.0,321.9,765.4,593.0,628.8,21.0,72.6,234.9,231.9,16.0,44.7,57.6,57.3,633.2,434.6,198.6,48018.5,32958.9,15059.6,48940.4,33591.7,15348.7
Bangkok,539,212,1129.5,1704.5,1997.9,2001.6,1998.8,1999.3,263.4,734.2,445.3,426.1,36.0,104.2,331.3,306.2,20.0,148.9,300.5,261.1,862.6,418.3,444.3,65241.6,31776.5,33465.2,66494.3,32386.6,34107.7
Siam Bangkok Port,527,152,760.8,1138.7,2000.1,1999.6,1999.1,1999.3,177.4,666.6,269.4,256.5,25.0,106.1,317.3,299.2,16.0,87.3,116.5,107.5,530.1,331.8,198.3,40116.2,25152.7,14963.5,40886.4,25635.6,15250.8
Si Racha Terminal,519,196,2483.8,3833.6,1997.2,1998.9,2003.0,2003.5,389.4,836.7,883.1,849.9,55.0,123.1,385.1,367.1,16.0,40.8,57.2,57.8,925.7,695.9,229.8,70383.4,52957.6,17425.8,71734.8,53974.4,17760.4
