Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Laem Chabang,4132,1213,231970.9,222973.9,2006.9,2007.1,2007.2,2007.3,1245.5,2099.4,1632.1,1596.6,83.0,154.1,176.4,181.4,21.0,55.9,44.8,56.2,27172.9,24287.1,2885.8,2100846.5,1878427.6,222418.9,2141182.8,1914493.4,226689.4
Map Ta Phut,1535,886,112351.2,163665.9,2007.8,2008.2,2009.4,2009.5,1523.1,2259.4,3172.7,2997.2,138.0,206.6,399.3,385.8,36.0,54.2,62.0,68.7,12663.5,11446.0,1217.5,931347.3,838631.2,92716.1,949229.2,854732.9,94496.2
Ko Si Chang Terminal,946,843,92242.7,163256.2,2008.3,2008.7,2007.8,2007.8,1836.6,2536.6,3043.0,3101.5,168.0,245.3,475.6,488.0,124.0,188.4,152.6,150.3,7980.2,6861.4,1118.8,617054.3,530822.1,86232.1,628901.7,541013.9,87887.8
Siam Seaport,656,402,27362.4,39348.4,2006.1,2007.0,2006.7,2007.1,1559.3,2220.3,2042.9,2069.5,135.5,213.3,316.7,323.7,40.5,91.9,74.6,77.0,3758.4,3318.3,440.1,289834.0,256264.3,33569.7,295398.9,261184.6,34214.3
Phra Khanong,614,210,8547.5,11035.2,2006.7,2006.4,2006.6,2006.7,831.2,1328.5,1030.1,1040.7,88.0,148.1,161.3,165.4,32.0,58.4,38.3,38.8,2086.7,1852.6,234.1,159955.1,142361.5,17593.6,163026.2,145094.8,17931.4
Rayong,499,322,39437.2,71415.6,2006.8,2007.0,2005.7,2005.6,1506.8,2328.3,3295.6,3411.2,144.0,215.9,422.8,430.5,41.0,65.0,63.3,62.1,3778.2,3217.1,561.2,291456.7,248562.4,42894.3,297052.7,253334.8,43717.9
Si Racha Terminal,364,283,19698.5,32625.9,2007.0,2007.1,2007.6,2007.8,1345.0,1963.5,2002.7,2027.5,133.5,193.6,306.8,315.0,31.0,77.1,88.5,91.3,2293.6,1913.0,380.6,177280.0,147882.7,29397.3,180683.8,150722.0,29961.7
Sattahip,352,252,13702.7,17592.1,2002.5,2003.9,2005.6,2006.3,1437.2,2436.6,2532.0,2462.7,107.5,206.2,296.1,299.7,32.5,94.7,135.4,153.2,1856.6,1395.2,461.4,142863.4,107461.6,35401.8,145606.4,109524.9,36081.5
Nh Prosperity,300,234,12849.2,19661.1,2003.3,2004.8,2006.0,2006.7,1706.8,2453.0,2648.6,2672.2,131.0,214.3,429.9,454.3,32.5,80.6,79.0,79.6,1780.5,1515.8,264.6,137174.0,116867.7,20306.3,139807.7,119111.6,20696.2
Siam Bangkok Port,294,158,3939.7,5114.8,2003.2,2002.8,2001.5,2001.6,980.4,1973.9,1328.4,1280.5,97.0,240.6,336.7,339.9,29.0,149.0,123.2,123.4,1421.9,1129.6,292.3,108377.4,86410.4,21966.9,110458.2,88069.5,22388.7
Bangkok,253,165,3216.9,4613.2,2005.0,2005.6,2005.3,2005.4,946.4,1697.8,1333.4,1343.0,99.0,182.3,218.7,223.0,23.0,71.4,77.0,74.6,935.2,772.2,162.9,71555.9,59302.3,12253.6,72929.8,60440.9,12488.9
T S Transport And Logistics,194,105,3376.7,4337.5,2001.3,2004.0,2002.1,2002.1,1234.7,1623.9,1499.3,1472.3,106.0,175.7,231.1,232.1,24.0,56.0,42.6,45.1,789.2,713.0,76.2,60597.1,54849.1,5748.0,61760.6,55902.2,5858.4
Bangpoomai,179,138,3033.8,3963.6,2003.7,2003.9,2003.5,2003.8,1371.7,2279.4,1773.7,1745.9,109.0,250.6,277.6,271.7,26.0,72.8,72.0,70.2,925.1,770.0,155.0,70798.3,59032.1,11766.2,72157.6,60165.6,11992.1
Phuket Customs House,176,100,3462.6,2768.4,2001.8,2002.9,2005.0,2003.9,788.4,1305.6,696.3,1112.0,76.5,183.7,184.3,250.4,15.5,75.5,62.4,113.0,769.7,622.5,147.2,59236.6,48004.5,11232.1,60373.9,48926.2,11447.8
Unithai Container Terminal,174,85,2572.2,3248.5,2005.6,2005.7,2005.9,2006.3,819.9,1588.6,1020.9,1005.9,60.0,151.3,122.1,118.7,17.5,53.5,29.1,29.1,621.4,550.2,71.2,47761.6,42352.0,5409.6,48678.6,43165.1,5513.5
Phuket,143,90,3679.3,2742.0,2000.6,2002.3,2002.2,2001.1,706.3,1699.1,667.3,1348.1,77.0,217.9,209.5,326.9,14.0,51.8,49.9,88.3,700.0,588.8,111.2,53927.4,45378.4,8549.0,54962.8,46249.6,8713.1
Siamgas And Petrochemicals,100,92,1410.3,2012.5,2004.8,2004.4,2003.1,2003.6,1167.8,1962.9,1677.9,1604.3,140.0,260.3,506.7,476.2,46.0,122.2,160.1,156.8,478.0,373.1,104.9,36447.0,28572.4,7874.6,37146.8,29121.0,8025.8
Songkhla Harbor,87,57,1768.5,2802.8,2003.6,2004.2,2000.6,2000.4,1026.5,2618.3,2272.2,2468.8,124.0,417.8,1689.2,1932.6,46.0,245.5,241.3,204.5,403.9,304.6,99.3,30784.2,23288.6,7495.6,31375.3,23735.7,7639.6
Bongkot Terminal,67,66,2589.8,3697.2,2004.8,2004.7,2007.4,2007.5,1031.4,1752.1,2636.3,2461.7,124.0,212.3,256.4,230.6,12.0,119.5,91.9,93.6,231.8,195.4,36.4,17840.0,15043.4,2796.6,18182.6,15332.3,2850.3
Ranong,58,28,354.5,357.7,2012.1,2010.8,2012.2,2011.6,802.5,3091.4,1822.0,1866.6,152.5,688.3,920.0,894.2,48.0,533.2,673.0,675.8,186.3,133.4,52.9,14056.6,10083.4,3973.2,14326.5,10277.0,4049.5
Pattani,53,34,887.4,1242.2,2003.8,2004.5,2004.5,2004.8,667.8,1779.4,1890.5,1972.9,76.0,185.5,468.4,462.4,13.0,42.2,36.0,37.3,184.2,162.7,21.4,14134.9,12495.0,1639.9,14406.3,12734.9,1671.4
Nakhon Si Thammarat,49,34,818.0,509.7,2004.3,2006.6,2004.4,2008.8,693.1,1272.6,774.8,1376.8,73.0,146.4,94.7,167.4,19.0,76.5,66.3,160.0,175.3,152.6,22.7,13497.3,11757.2,1740.1,13756.4,11982.9,1773.5
Krabi,41,33,437.6,702.0,2003.4,2003.9,1999.8,1999.3,917.2,926.1,1038.1,1030.3,94.0,171.6,378.3,407.0,46.0,79.2,145.8,157.6,83.5,67.0,16.5,6416.4,5163.1,1253.4,6539.6,5262.2,1277.4
Khlong Yai,37,37,761.5,1245.3,2005.2,2005.2,2007.1,2007.2,986.4,1242.4,1662.7,1878.7,89.0,122.4,246.6,271.6,10.0,27.0,26.1,25.0,93.2,83.8,9.4,7184.8,6465.2,719.6,7322.7,6589.3,733.4
Kantang Harbor,35,23,575.4,984.9,2007.0,2007.3,2001.9,2002.0,981.3,986.2,1296.3,1297.4,153.0,184.8,268.8,269.8,100.0,98.7,145.2,144.2,68.7,55.2,13.5,5287.0,4257.4,1029.6,5388.5,4339.1,1049.4
Khanom,34,26,300.9,227.2,2006.8,2008.8,2006.0,2006.7,931.6,1438.4,1482.1,1331.0,134.0,424.9,228.3,265.4,12.5,94.9,29.8,39.5,84.0,76.0,7.9,6437.8,5837.1,600.6,6561.4,5949.2,612.2
Benchamas Terminal,34,33,1716.3,2966.0,2006.0,2006.0,2007.6,2007.6,1181.8,1935.5,2401.2,2515.4,143.5,370.3,434.5,445.7,9.5,40.0,126.8,132.0,169.3,149.3,20.1,13068.8,11518.6,1550.3,13319.7,11739.7,1580.0
Tak Bai Customs House,33,25,134.2,184.9,2004.7,2005.0,2005.0,2004.8,467.5,557.6,746.5,768.7,42.0,78.0,89.7,93.3,11.0,17.0,8.9,9.4,31.5,26.4,5.1,2416.6,2028.1,388.5,2463.0,2067.1,396.0
Ban Talat Takua Pa,31,26,367.9,541.6,2002.5,2003.5,2002.6,2002.7,1109.7,2186.6,1445.2,1515.1,121.0,257.2,334.2,342.7,9.0,164.5,114.9,102.6,94.4,75.8,18.6,7217.4,5812.0,1405.4,7356.0,5923.6,1432.4
Prachuap Port,28,25,1490.4,2452.0,2010.4,2010.7,2010.2,2010.1,2791.6,2653.9,2681.8,2677.8,243.0,234.4,275.7,275.9,71.0,98.4,97.2,98.5,171.2,157.5,13.7,13214.6,12171.7,1042.9,13468.3,12405.4,1063.0
Sathun,24,15,162.8,208.9,2005.9,2004.9,2001.2,2003.2,393.7,1033.0,1281.9,1175.7,85.5,153.7,234.4,157.8,8.5,29.3,28.7,34.2,63.3,58.3,5.0,4798.1,4418.8,379.3,4890.2,4503.6,386.6
Narathiwat,22,17,76.5,105.7,2001.5,2002.2,1998.9,1999.2,519.1,721.6,695.0,689.8,67.0,118.1,103.6,97.9,10.5,50.6,24.8,23.3,18.8,14.5,4.3,1436.8,1113.3,323.6,1464.4,1134.6,329.8
Erawan Terminal,19,18,354.1,607.8,2009.1,2008.9,2007.1,2006.7,1143.8,1577.1,2733.0,2851.4,167.0,279.9,316.3,321.2,11.0,40.0,104.4,111.2,46.4,41.6,4.8,3572.0,3203.2,368.8,3640.5,3264.7,375.8
Bang Saphan,16,16,552.0,858.8,2007.5,2007.5,2010.2,2010.1,2754.4,2633.7,2517.8,2469.4,242.0,245.0,246.4,244.5,25.5,110.1,40.6,41.2,78.8,70.9,7.9,6065.8,5466.4,599.4,6182.3,5571.4,610.9
Ban Prakop Customs House,11,11,393.9,649.2,2002.6,2002.6,2006.7,2007.3,1589.4,2063.8,2240.0,2215.9,140.0,234.1,425.7,433.2,18.0,179.3,343.5,355.8,49.1,43.7,5.4,3789.1,3376.9,412.2,3861.8,3441.7,420.1
Bangpakong Terminal,6,5,61.6,82.7,1989.7,1992.4,1997.1,1997.6,2023.9,3081.5,3246.6,3380.3,192.0,270.3,352.2,368.7,56.5,185.8,258.4,239.2,28.2,23.3,5.0,2159.2,1786.5,372.7,2200.7,1820.8,379.8
Trang,3,3,25.5,44.5,2011.3,2011.3,2017.9,2017.9,209.1,324.7,621.2,624.9,32.0,26.0,38.6,38.6,15.0,71.7,17.2,17.1,2.7,1.7,1.1,208.8,127.6,81.1,212.8,130.1,82.7
Petchburi Terminal,2,1,5.6,10.8,1995.0,1995.0,1995.0,1995.0,2624.9,2624.9,2624.9,2624.9,293.0,293.0,354.5,354.5,558.5,558.5,665.0,665.0,7.8,3.6,4.2,587.6,272.2,315.4,598.8,277.4,321.5
Phahon Yothin Customs House,2,2,4.0,5.3,2014.5,2014.5,2011.6,2010.5,620.3,620.3,650.8,665.6,172.0,172.0,148.4,140.0,128.0,128.0,195.5,219.8,1.3,0.6,0.6,97.6,48.9,48.7,99.5,49.8,49.6
Photharam,1,1,285.6,440.6,2008.0,2008.0,2008.0,2008.0,33480.0,33480.0,33480.0,33480.0,2850.0,2850.0,2850.0,2850.0,45.0,45.0,45.0,45.0,67.6,66.6,1.1,5206.7,5125.7,80.9,5306.6,5224.1,82.5
Kamphaeng Phet,1,1,13.7,21.3,2007.0,2007.0,2007.0,2007.0,1265.4,1265.4,1265.4,1265.4,188.0,188.0,188.0,188.0,2.0,2.0,2.0,2.0,2.7,2.7,0.0,206.0,204.9,1.1,210.0,208.8,1.1
Chiang Saen Customs House,1,1,0.8,1.4,2009.0,2009.0,2009.0,2009.0,157.3,157.3,157.3,157.3,29.0,29.0,29.0,29.0,1.0,1.0,1.0,1.0,0.1,0.1,0.0,11.2,11.0,0.2,11.4,11.2,0.2
