Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Oil tanker,1003,69,8002.1,13403.1,2002.0,2000.5,2003.9,2004.0,98.3,519.9,496.5,507.2,16.0,40.0,89.3,89.7,62.0,156.1,192.9,193.7,2563.3,646.9,1916.3,196938.5,49629.4,147309.0,200719.7,50582.3,150137.4
Service - tug,426,22,75.8,44.6,2011.6,2005.4,2011.5,2011.1,138.2,960.7,311.8,351.9,47.5,635.8,768.5,927.2,31.5,66.9,306.9,326.0,184.2,121.9,62.3,13833.6,9155.5,4678.2,14099.2,9331.2,4768.0
General cargo,344,83,608.4,843.9,1993.5,1998.3,2000.0,2000.5,198.1,561.7,386.0,377.6,12.0,42.7,96.5,93.8,36.0,73.7,130.8,126.8,167.5,74.0,93.5,12698.9,5626.4,7072.5,12942.8,5734.4,7208.3
Chemical tanker,300,43,2513.3,4093.2,2001.5,2007.2,2006.2,2006.3,108.5,639.3,556.0,567.4,11.0,31.7,86.0,85.5,67.5,97.9,131.1,132.2,586.3,172.3,414.1,45003.7,13249.5,31754.2,45867.8,13503.9,32363.9
Container,208,50,2396.4,2861.4,2003.0,2004.2,2003.9,2003.9,181.0,340.0,327.4,330.7,8.0,20.5,57.6,59.1,32.5,43.1,41.1,41.5,341.3,147.1,194.2,26365.2,11375.0,14990.2,26871.4,11593.4,15278.0
Bulk carrier,85,50,1084.9,1891.2,2001.7,2006.9,2005.5,2005.6,201.3,537.7,597.6,609.5,15.0,88.7,161.4,167.9,154.0,180.3,155.7,154.1,166.3,88.1,78.3,12841.4,6809.4,6032.1,13088.0,6940.1,6147.9
Offshore,58,8,33.2,25.7,1989.1,1998.0,2006.1,2000.5,190.3,1454.3,1475.6,1668.3,109.5,290.1,1778.0,2113.8,48.5,122.1,179.1,228.8,90.6,71.5,19.2,6803.5,5364.7,1438.8,6934.2,5467.7,1466.4
Liquefied gas tanker,40,16,141.2,158.8,2004.8,2008.8,2010.0,2009.6,276.2,635.5,559.2,548.8,9.0,16.3,24.2,24.3,52.5,63.7,108.5,107.1,45.5,10.4,35.1,3465.8,800.1,2665.7,3532.3,815.4,2716.9
Service - other,36,8,623.0,822.6,2000.8,2000.4,2014.2,2014.3,156.7,10711.4,5596.1,7109.4,93.5,1791.8,6598.0,6781.5,54.0,77.1,59.4,52.4,227.9,213.7,14.2,17123.6,16056.0,1067.6,17452.4,16364.3,1088.1
Other liquids tankers,35,1,5.4,6.1,2016.0,2016.0,2016.0,2016.0,120.2,120.2,308.2,308.2,7.0,7.0,99.4,99.4,32.0,32.0,284.0,284.0,131.5,34.2,97.3,9870.5,2568.7,7301.8,10060.0,2618.1,7442.0
Ro-Ro,33,7,49.8,29.2,1993.7,1997.7,1984.5,1985.6,99.0,124.2,214.8,198.1,8.0,12.7,30.8,32.8,15.0,45.7,29.4,30.5,16.9,6.0,11.0,1303.9,461.5,842.4,1328.9,470.4,858.5
Vehicle,9,2,16.6,8.8,1986.6,1995.5,1988.2,1986.4,129.9,95.7,104.4,115.7,9.0,10.2,9.1,8.9,12.0,15.0,19.9,20.0,2.0,0.7,1.3,153.9,57.0,96.9,156.9,58.1,98.7
Refrigerated bulk,1,1,0.9,0.9,1980.0,1980.0,1980.0,1980.0,209.9,209.9,209.9,209.9,135.0,135.0,135.0,135.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,148.9,148.9,0.0,151.8,151.8,0.0
Ferry-pax only,1,1,5.9,0.8,1998.0,1998.0,1998.0,1998.0,30936.0,30936.0,30936.0,30936.0,1938.0,1938.0,1938.0,1938.0,670.0,670.0,670.0,670.0,4.0,3.0,1.0,301.8,224.3,77.5,307.6,228.6,79.0
