Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Basrah Oil Terminal,1753,946,208469.3,395808.5,2004.8,2005.7,2009.1,2009.1,587.1,1455.6,1711.9,1751.9,55.0,171.1,365.2,366.9,58.0,81.6,90.8,90.9,13857.9,10277.2,3580.7,1072582.3,795493.0,277089.3,1093175.9,810766.5,282409.4
Khawr Al Amaya,1001,373,12328.5,19338.0,1997.7,2000.5,2005.8,2006.1,452.9,1236.2,960.7,1038.8,53.0,156.5,305.0,325.2,16.0,99.4,160.3,179.8,1910.2,1504.3,405.9,146978.1,115838.2,31139.9,149800.1,118062.3,31737.8
Umm Qasr,523,281,18607.8,28156.1,2002.5,2004.9,2007.8,2008.6,641.2,1862.5,1421.2,1673.0,55.0,216.4,509.8,579.4,42.0,103.6,159.2,177.7,2187.3,1670.1,517.3,168999.6,129103.0,39896.6,172244.4,131581.8,40662.7
Al Faw,319,117,1552.7,2172.2,1998.4,1996.3,2002.2,2002.6,608.1,1097.2,1012.9,1064.7,60.0,140.2,130.9,137.9,38.0,183.6,221.6,234.2,369.9,192.8,177.1,28214.6,14734.9,13479.6,28756.3,15017.9,13738.4
Khor Al Zubair,51,36,1078.1,1729.2,1996.9,2000.3,2010.1,2010.1,670.3,1208.6,1743.1,1755.9,79.0,183.8,504.5,500.8,59.0,111.4,122.9,124.4,180.5,135.0,45.6,13902.6,10403.5,3499.1,14169.6,10603.2,3566.3
Khawr Al Zubair Lng Terminal,33,28,1120.0,1835.9,2005.5,2004.6,2008.0,2007.9,896.7,1591.2,1958.5,1994.8,120.0,153.4,255.0,257.8,74.0,118.5,166.3,164.8,205.8,106.3,99.4,15855.5,8204.9,7650.6,16159.9,8362.4,7797.5
Basrah,9,3,53.4,72.6,2004.6,2001.7,2004.9,2005.0,463.1,1115.8,726.4,677.1,76.0,84.3,67.7,69.0,51.0,62.0,41.6,43.3,7.3,5.1,2.2,557.9,389.3,168.6,568.7,396.8,171.8
Mosul (Ak Mawsil),1,1,6.5,7.6,1982.0,1982.0,1982.0,1982.0,1568.2,1568.2,1568.2,1568.2,673.0,673.0,673.0,673.0,24.0,24.0,24.0,24.0,3.5,3.4,0.1,261.7,252.7,9.0,266.7,257.6,9.2
Baghdad,1,1,1.3,1.4,1989.0,1989.0,1989.0,1989.0,286.8,286.8,286.8,286.8,29.0,29.0,29.0,29.0,167.0,167.0,167.0,167.0,2.6,0.4,2.2,199.1,30.8,168.3,202.9,31.4,171.5
Samarra',1,1,1.5,1.9,1976.0,1976.0,1976.0,1976.0,379.3,379.3,379.3,379.3,89.0,89.0,89.0,89.0,13.0,13.0,13.0,13.0,0.4,0.4,0.0,30.9,28.3,2.6,31.5,28.9,2.7
Najaf,1,1,8.7,6.5,1998.0,1998.0,1998.0,1998.0,344.7,344.7,344.7,344.7,27.0,27.0,27.0,27.0,2.0,2.0,2.0,2.0,1.2,1.1,0.0,89.0,87.2,1.8,90.7,88.9,1.8
Nasiriyah,1,1,36.7,63.7,2004.0,2004.0,2004.0,2004.0,1303.9,1303.9,1303.9,1303.9,403.0,403.0,403.0,403.0,16.0,16.0,16.0,16.0,4.2,4.1,0.1,322.0,317.3,4.7,328.1,323.4,4.8
Al Hillah,1,1,342.6,678.6,2007.0,2007.0,2007.0,2007.0,2125.6,2125.6,2125.6,2125.6,199.0,199.0,199.0,199.0,552.0,552.0,552.0,552.0,25.1,17.2,7.9,1944.0,1335.3,608.8,1981.4,1360.9,620.5
