Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,483,78,35312.2,3024.5,2003.6,2002.4,2010.0,2009.5,168.2,614.9,633.6,618.6,15.0,55.6,72.7,73.3,9.0,16.8,15.9,16.1,5584.2,4937.7,646.5,431454.2,381433.0,50021.2,439738.2,388756.5,50981.6
Container,283,42,5361.8,6264.3,2007.7,2007.3,2011.0,2010.6,930.3,1064.7,1542.6,1447.3,69.0,69.8,165.8,159.5,11.0,15.5,14.5,14.2,1313.1,1275.3,37.8,101251.0,98396.2,2854.8,103195.0,100285.5,2909.6
General cargo,150,28,237.9,318.5,1998.5,1997.4,2004.0,2003.9,180.3,780.8,280.2,302.7,20.0,102.1,125.7,132.9,13.0,26.6,16.6,16.4,80.2,71.4,8.9,6111.2,5445.8,665.4,6228.5,5550.4,678.2
Service - tug,124,14,6.3,4.0,2003.4,1995.3,2003.0,2002.2,96.6,315.3,182.5,178.6,56.5,227.6,509.1,484.3,13.0,27.5,50.4,46.9,28.1,23.9,4.2,2110.5,1796.7,313.8,2151.0,1831.2,319.8
Ro-Ro,109,10,65.9,70.5,1991.3,1989.9,1991.8,1991.8,113.8,153.0,115.1,119.3,13.0,61.4,48.4,63.1,9.0,25.3,13.5,15.0,61.3,45.1,16.2,4655.5,3421.0,1234.4,4744.8,3486.7,1258.1
Ferry-RoPax,108,2,8.1,2.1,1970.3,1972.0,1970.2,1970.2,90.1,75.9,96.8,97.0,16.0,16.8,34.3,34.4,7.0,20.2,16.9,16.8,24.7,17.5,7.2,1853.2,1312.3,540.9,1888.8,1337.5,551.3
Offshore,64,8,8.0,9.5,1984.2,1987.2,1992.1,1987.3,88.5,331.0,147.4,123.4,13.5,176.1,513.6,262.3,5.0,34.8,27.9,32.6,20.0,18.1,1.9,1504.9,1359.2,145.7,1533.8,1385.3,148.5
Chemical tanker,47,7,62.5,96.5,2009.1,2007.7,2008.4,2008.2,270.3,226.7,230.3,230.2,25.0,25.2,31.4,31.3,23.0,22.0,26.8,26.9,35.2,20.3,15.0,2680.0,1553.8,1126.2,2731.4,1583.6,1147.8
Oil tanker,33,9,56.3,89.1,2004.2,2003.8,2006.1,2006.0,116.9,170.0,300.8,305.6,20.0,22.5,98.1,98.8,17.0,12.7,35.1,35.3,36.8,24.7,12.1,2801.8,1891.3,910.5,2855.6,1927.7,928.0
Bulk carrier,31,5,94.3,140.8,2007.6,1989.6,2010.9,2010.9,863.1,715.9,684.3,680.7,85.0,95.7,103.1,102.9,27.0,45.9,27.6,27.8,23.8,21.7,2.1,1827.9,1670.6,157.3,1863.0,1702.6,160.3
Miscellaneous - fishing,23,2,0.6,0.4,1956.1,1967.5,1963.9,1961.9,88.1,293.6,117.7,107.2,10.0,46.8,43.4,38.2,24.0,13.0,21.8,24.3,3.0,1.9,1.2,227.5,140.6,86.9,231.8,143.3,88.5
Liquefied gas tanker,20,1,12.8,13.2,2007.0,2007.0,2007.0,2007.0,118.7,118.7,133.4,133.4,15.0,15.0,16.3,16.3,14.5,14.5,16.0,16.0,10.3,5.5,4.9,784.1,418.6,365.5,799.1,426.6,372.5
Vehicle,12,1,75.5,20.5,2010.0,2010.0,2010.0,2010.0,366.6,366.6,311.4,311.4,31.5,31.5,34.3,34.3,3.5,3.5,3.8,3.8,10.9,10.5,0.5,842.7,807.0,35.7,858.9,822.5,36.3
Ferry-pax only,3,2,2.9,0.5,1987.7,1981.5,1992.6,1990.2,1142.6,1361.1,1467.4,1434.7,147.0,187.8,330.8,316.1,46.0,46.5,77.6,75.1,1.3,1.1,0.2,96.9,80.1,16.8,98.8,81.7,17.1
Service - other,3,3,2.1,0.7,1996.3,1996.3,1992.7,1993.1,1006.7,955.3,989.1,984.9,31.0,48.0,37.4,39.0,336.0,251.7,327.1,319.6,2.0,0.4,1.7,152.4,26.7,125.7,155.3,27.2,128.1
Refrigerated bulk,3,3,56.6,60.6,1996.0,1996.0,1992.9,1992.9,756.5,1534.8,1696.2,1680.7,42.0,93.0,188.1,187.7,3.0,3.7,1.5,1.5,19.7,19.4,0.3,1508.0,1488.4,19.7,1537.0,1516.9,20.1
