Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United Kingdom of Great Britain and Northern Ireland,6924,1694,40351.1,30147.4,2003.1,2005.5,2007.2,2007.4,205.7,347.0,233.3,240.4,18.0,45.1,33.5,42.6,13.0,35.3,27.9,35.7,7236.8,5579.9,1656.9,543981.4,419394.4,124587.0,554425.9,427446.8,126979.1
Netherlands,5401,2127,13614.1,16590.2,2003.9,2005.6,2008.8,2008.9,94.5,171.0,141.7,149.7,14.0,44.2,134.4,170.6,20.0,43.0,46.3,52.4,4295.7,2429.4,1866.3,322891.2,182694.7,140196.5,329090.8,186202.5,142888.3
France,2043,981,11864.1,12308.5,2004.6,2005.3,2007.1,2007.0,241.6,375.3,301.6,334.7,25.0,50.4,81.2,88.0,22.0,41.6,34.2,40.0,2559.0,1859.9,699.1,191688.4,139139.3,52549.1,195368.8,141810.8,53558.0
Germany,1917,976,44986.4,40965.2,2007.8,2006.8,2010.9,2011.2,393.7,404.0,395.3,402.8,32.0,48.3,36.8,38.5,25.0,34.2,30.6,31.4,4567.3,3797.7,769.6,342956.0,285048.6,57907.4,349540.7,290521.5,59019.2
Spain,1539,916,46097.1,44710.9,2006.5,2007.5,2008.1,2008.7,913.9,1260.8,1292.0,1335.1,96.0,121.4,123.8,133.8,23.0,39.1,34.8,40.3,5789.0,5286.0,503.0,439933.8,402094.0,37839.9,448380.6,409814.2,38566.4
Sweden,1251,289,17726.5,10317.0,2003.0,2004.6,2004.0,2004.8,552.0,765.3,582.8,622.2,37.0,77.0,52.7,76.1,7.0,33.4,15.6,19.1,3153.5,2927.8,225.7,236455.2,219396.9,17058.3,240995.2,223609.3,17385.8
United States of America,594,321,103875.3,105027.5,2006.7,2007.9,2006.6,2006.3,3820.5,4430.8,4055.1,4185.8,258.0,348.9,292.8,322.3,27.0,42.0,35.4,39.3,12236.0,11916.5,319.5,941794.6,917752.3,24042.3,959877.1,935373.2,24503.9
Ireland,511,153,5666.5,3535.5,2005.2,2004.6,2009.8,2008.4,604.4,683.3,617.3,627.8,47.0,73.4,45.2,52.9,15.0,31.2,20.8,28.0,929.4,848.0,81.4,70506.0,64390.8,6115.2,71859.8,65627.1,6232.6
Norway,503,263,4509.1,5532.6,2004.7,2004.5,2007.6,2007.7,623.8,742.4,736.2,746.3,60.0,80.7,94.9,97.7,24.0,35.8,37.2,42.1,897.8,768.2,129.6,66726.3,56968.1,9758.2,68007.5,58061.9,9945.6
Finland,481,147,10273.0,9058.5,2003.8,2004.4,2003.5,2003.9,1278.1,1248.5,1274.8,1282.8,99.0,120.0,94.2,99.0,21.0,29.6,24.0,24.1,2577.8,2441.9,135.9,193348.9,183131.9,10217.0,197061.2,186648.0,10413.1
Russian Federation,471,315,19634.7,27725.2,2006.0,2006.3,2008.7,2008.4,1526.5,1513.0,1695.8,1642.4,138.0,154.5,159.2,156.9,36.0,50.6,45.5,48.6,2914.6,2673.7,240.9,211791.5,193658.6,18132.9,215857.9,197376.9,18481.1
