Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Service - tug,2061,66,87.7,71.3,2007.3,2002.2,2007.4,2006.5,63.5,111.9,107.0,101.5,27.0,132.2,143.6,134.8,11.0,39.9,42.5,44.2,256.4,187.2,69.2,19248.5,14054.4,5194.0,19618.0,14324.3,5293.7
Chemical tanker,1665,698,1520.1,2416.7,2007.1,2007.8,2008.4,2008.5,77.0,69.1,68.8,68.9,11.0,28.5,31.7,31.8,26.0,36.0,48.1,48.7,1981.8,956.0,1025.8,148981.8,71831.8,77150.0,151842.3,73210.9,78631.3
General cargo,990,432,296.1,420.6,2002.8,2003.9,2004.8,2004.6,66.6,62.4,66.5,66.4,13.0,30.4,31.2,31.0,18.0,39.3,45.1,46.4,194.7,105.3,89.4,14626.6,7912.9,6713.7,14907.5,8064.9,6842.6
Container,599,258,2107.6,2383.2,2003.5,2005.5,2006.3,2006.1,79.0,76.3,77.8,77.4,8.0,13.4,11.7,11.7,20.0,26.8,30.1,30.2,522.9,233.9,289.0,39267.0,17564.1,21702.9,40020.9,17901.3,22119.6
Oil tanker,465,137,1004.3,1791.1,2007.0,2008.5,2008.9,2008.9,77.1,81.0,104.6,105.9,12.0,39.1,206.1,212.1,14.0,61.7,57.4,57.2,973.4,382.7,590.7,73149.1,28766.5,44382.7,74553.6,29318.8,45234.8
Service - other,446,38,585.9,870.7,1999.2,2002.1,2003.6,2003.6,155.7,591.6,641.4,662.1,39.0,235.4,731.6,793.0,12.0,47.6,131.9,126.0,288.3,209.6,78.7,21640.0,15733.3,5906.8,22055.5,16035.3,6020.2
Liquefied gas tanker,310,106,215.0,235.6,2006.9,2007.3,2009.0,2008.9,81.8,82.4,79.6,79.0,10.0,16.7,16.8,16.7,29.0,42.2,52.1,51.7,226.1,80.0,146.1,16963.3,5990.8,10972.5,17289.0,6105.8,11183.1
Ro-Ro,270,24,248.0,128.1,2002.4,2005.5,2002.6,2001.4,60.7,66.5,64.1,64.0,8.0,18.0,9.9,10.2,14.0,42.5,36.8,36.9,130.6,67.7,62.8,9835.4,5094.7,4740.7,10024.2,5192.5,4831.7
Bulk carrier,187,145,369.7,619.7,2008.0,2009.0,2007.4,2007.4,74.4,68.1,70.6,70.8,11.0,40.2,28.2,28.0,65.0,73.0,89.0,88.9,96.6,46.0,50.6,7289.4,3456.8,3832.6,7429.4,3523.1,3906.2
Vehicle,185,142,885.5,298.4,2005.7,2006.5,2006.7,2006.5,70.0,84.9,84.1,83.7,9.0,20.1,30.6,30.2,21.0,28.8,44.6,42.9,109.2,58.9,50.3,8242.0,4434.6,3807.4,8400.3,4519.8,3880.5
Offshore,56,21,51.1,39.3,1996.8,1998.1,2006.2,2002.8,269.9,605.8,190.5,175.4,120.5,450.7,816.2,453.1,17.0,143.3,107.2,103.3,70.8,54.6,16.2,5312.3,4099.6,1212.7,5414.3,4178.4,1235.9
Miscellaneous - fishing,13,8,5.4,3.6,1992.5,1993.0,1993.3,1993.3,691.4,682.5,242.2,298.9,93.0,117.4,211.1,253.8,22.0,63.4,112.2,138.5,5.9,3.9,2.0,445.2,292.6,152.6,453.8,298.3,155.5
Refrigerated bulk,11,9,9.6,9.6,1994.6,1994.8,1993.8,1993.8,74.8,82.1,79.5,80.4,36.0,109.4,74.3,79.8,0.0,534.2,2239.5,2254.4,160.1,25.1,135.0,12019.6,1883.8,10135.8,12250.4,1920.0,10330.4
Ferry-pax only,6,2,0.1,0.0,1963.3,1951.5,1969.2,1948.0,80.8,74.4,81.7,75.6,14.5,15.0,16.8,16.5,62.0,261.0,1301.5,787.9,8.4,0.1,8.3,634.1,11.1,623.0,646.3,11.3,634.9
Cruise,2,2,2.5,0.4,2008.0,2008.0,2007.2,2006.3,84.2,84.2,69.3,67.0,18.5,18.5,19.0,19.6,8.5,8.5,8.3,8.1,1.8,1.3,0.5,135.3,100.3,35.0,137.9,102.2,35.7
Other liquids tankers,2,1,4.6,6.0,2002.0,2002.0,2002.0,2002.0,69.3,69.3,69.3,69.3,49.5,49.5,42.2,42.2,31.0,31.0,36.0,36.0,3.0,1.8,1.2,227.5,140.8,86.7,231.9,143.5,88.3
