Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Nieuwpoort,1849,1213,3959.4,5247.2,2006.4,2006.9,2007.3,2007.5,80.7,89.2,83.6,83.8,10.0,22.0,24.0,27.4,29.0,47.6,47.7,48.8,2230.1,746.5,1483.5,167640.8,56064.2,111576.6,170859.5,57140.6,113718.9
Kallo,713,187,477.2,351.8,2005.2,2006.1,2003.0,2001.9,64.1,97.9,81.7,77.8,23.0,37.1,45.2,44.0,15.0,46.3,115.1,193.9,302.1,143.0,159.1,22699.7,10743.8,11955.9,23135.6,10950.1,12185.4
Doel,706,175,300.4,291.1,2006.7,2005.7,2005.9,2005.7,57.7,63.4,63.5,60.0,28.0,43.8,57.0,61.2,11.0,37.1,46.5,52.8,309.1,179.2,129.9,23228.9,13472.7,9756.3,23674.9,13731.3,9943.6
Zandvliet,640,378,543.9,924.9,2007.0,2006.6,2008.6,2008.6,29.0,56.4,83.5,92.2,23.5,50.6,359.4,385.9,24.0,39.1,48.5,46.8,583.4,357.3,226.1,43855.0,26867.3,16987.7,44697.0,27383.1,17313.8
Antwerp,635,296,263.0,389.1,2007.0,2006.2,2007.3,2007.1,60.4,58.9,53.3,52.8,32.0,61.3,48.7,40.9,10.0,42.7,79.1,81.1,441.1,293.1,148.0,33126.8,22013.1,11113.7,33762.9,22435.8,11327.1
Zeebrugge,526,136,662.8,596.7,2005.3,2003.7,2007.4,2007.6,65.6,286.0,101.5,153.4,16.0,94.5,524.0,946.1,12.0,82.5,21.2,18.3,268.0,186.3,81.7,20148.0,13993.8,6154.2,20534.8,14262.4,6272.4
Lillo,367,62,56.5,73.5,2006.4,2006.3,2006.6,2006.3,66.0,108.8,117.4,104.9,27.0,41.6,146.8,138.8,11.0,20.7,35.7,34.2,78.7,53.8,24.9,5907.4,4039.1,1868.2,6020.8,4116.7,1904.1
Adinkerke,346,271,293.7,370.9,2005.2,2005.3,2006.8,2006.9,81.0,85.8,83.9,84.0,10.0,18.0,14.7,15.5,24.0,36.1,39.6,40.4,186.3,70.0,116.3,13997.2,5260.0,8737.3,14266.0,5361.0,8905.0
Berendrecht,222,60,44.7,64.1,2009.9,2008.5,2009.9,2009.6,53.3,40.9,36.5,34.0,15.0,47.1,48.5,43.3,19.0,34.1,76.1,81.8,100.2,69.1,31.1,7521.0,5185.1,2335.9,7665.4,5284.6,2380.8
Pijp Tabak,195,126,111.3,160.4,2005.3,2006.1,2006.4,2006.8,63.6,77.0,69.2,70.6,12.0,35.6,33.0,31.0,19.0,49.3,124.4,129.0,102.3,42.7,59.6,7683.9,3208.4,4475.6,7831.5,3270.0,4561.5
Oostende,155,90,321.5,401.4,2000.3,2001.9,2004.5,2004.2,143.0,378.3,161.6,170.2,39.0,233.7,280.7,207.4,17.0,55.4,96.3,111.3,176.4,112.4,64.0,13243.1,8437.7,4805.4,13497.3,8599.7,4897.7
Terdonk,101,61,20.1,30.7,2000.3,2001.9,2005.4,2005.6,58.9,78.9,68.5,66.9,27.0,57.0,60.1,44.0,8.0,20.3,31.6,32.9,34.7,24.9,9.8,2606.6,1868.9,737.7,2656.6,1904.8,751.8
Rieme,101,47,32.4,49.5,1995.3,2001.1,2002.6,2003.0,78.1,119.7,121.3,121.2,26.0,33.6,45.7,45.3,10.0,156.7,58.4,59.7,30.9,12.8,18.1,2319.5,961.7,1357.8,2364.0,980.2,1383.9
