Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Papeete,508,42,1587.5,613.5,1987.0,1996.0,1996.3,1989.9,202.5,1127.1,453.4,687.7,25.0,105.8,116.3,164.7,55.0,170.5,258.9,440.2,965.5,427.1,538.5,73428.2,32573.4,40854.8,74838.0,33198.8,41639.2
Uturoa,284,16,380.7,92.0,1981.9,1996.6,2001.6,1990.7,136.6,256.3,357.9,225.8,13.0,25.7,91.1,78.7,5.0,13.4,32.4,21.9,164.9,116.7,48.2,12610.2,8944.0,3666.2,12852.3,9115.8,3736.6
Vaitape,133,27,804.5,136.4,1995.5,1996.4,2001.3,2003.3,245.4,274.4,338.6,402.6,46.0,32.4,56.5,59.8,17.0,17.1,24.8,24.6,343.4,232.6,110.8,26315.4,17812.7,8502.7,26820.7,18154.7,8666.0
Taiohae,79,11,582.0,119.0,2001.8,1997.5,2003.9,2002.0,169.9,501.2,555.9,464.0,51.0,63.6,68.4,80.8,16.0,18.5,18.6,19.0,158.3,144.8,13.4,12135.7,11099.1,1036.7,12368.7,11312.2,1056.6
Atuona,61,10,122.8,35.4,1998.0,1999.7,1999.9,1998.2,117.3,318.7,263.1,226.1,18.0,80.6,108.6,208.7,20.0,20.7,16.2,19.6,35.2,26.6,8.6,2690.5,2029.7,660.8,2742.1,2068.7,673.4
Fatu Hiva,36,5,81.0,30.3,1991.0,2000.2,1993.2,1983.1,75.8,218.5,327.3,306.8,20.0,32.3,99.7,103.4,8.0,10.2,8.4,6.5,29.4,27.2,2.2,2257.4,2089.7,167.6,2300.7,2129.9,170.8
Moerai,27,2,39.6,23.6,2011.2,2001.0,2010.2,2011.5,460.8,470.6,584.1,592.1,63.0,63.5,97.3,99.4,11.0,11.0,15.9,16.2,21.2,18.5,2.7,1592.8,1389.1,203.7,1623.4,1415.8,207.6
Ua Huka,24,5,13.8,6.9,1987.0,1999.4,1994.3,1983.4,75.9,405.5,207.2,136.9,20.5,65.4,84.9,67.1,6.5,8.5,9.9,9.5,6.4,5.9,0.5,483.6,446.6,36.9,492.9,455.2,37.6
Ikitake,22,3,34.2,26.1,1979.6,1978.7,1980.1,1979.9,698.1,630.4,1011.3,977.5,118.0,107.8,319.0,304.0,3.0,2.0,22.4,21.8,17.4,15.9,1.4,1305.3,1197.3,108.1,1330.4,1220.3,110.1
Otepa,21,6,38.4,31.2,1981.7,1983.5,1985.6,1984.8,810.6,794.6,822.2,831.3,145.0,112.3,162.8,166.0,20.0,27.0,18.9,19.2,12.8,11.8,1.0,963.4,890.1,73.3,981.8,907.2,74.7
Maupiti,13,2,0.9,0.8,2003.2,2002.0,2005.3,2004.5,56.4,56.5,73.9,74.2,7.0,7.5,10.8,10.5,26.0,33.0,32.5,34.2,5.1,1.1,4.0,383.2,83.0,300.2,390.5,84.6,305.9
Hiva Oa,11,1,61.8,17.8,2015.0,2015.0,2015.0,2015.0,819.1,819.1,489.5,489.5,67.0,67.0,64.0,64.0,3.0,3.0,2.9,2.9,16.5,16.5,0.0,1238.4,1237.0,1.3,1262.1,1260.8,1.4
Ua Pou,7,2,7.0,7.0,1977.6,1981.5,1976.1,1976.1,199.7,310.9,408.4,406.8,50.0,52.2,85.0,84.9,13.0,12.2,10.7,10.7,2.0,1.9,0.1,147.2,142.4,4.8,150.0,145.1,4.9
Tupana,6,4,50.5,33.4,1996.7,1997.5,1991.3,1991.0,424.8,4633.2,1720.1,4373.7,30.0,654.4,1796.9,2190.1,30.5,30.5,34.5,36.5,27.4,25.5,1.9,2065.6,1916.3,149.3,2105.3,1953.1,152.2
Tetiaroa Is,1,1,0.1,0.1,1977.0,1977.0,1977.0,1977.0,115.7,115.7,115.7,115.7,14.0,14.0,14.0,14.0,4.0,4.0,4.0,4.0,0.1,0.1,0.0,5.7,5.6,0.1,5.8,5.7,0.1
