Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Kaohsiung,4537,1031,30365.9,45832.0,2003.0,2004.6,2002.5,2002.5,213.0,685.3,397.9,424.3,18.0,112.2,428.0,467.7,17.0,72.4,84.9,90.7,6935.7,4652.4,2283.4,531779.3,357556.3,174223.0,541989.4,364421.4,177568.1
Taichung,3019,804,19782.1,30456.8,2003.7,2004.6,2004.1,2003.9,156.2,758.0,378.0,399.8,13.0,123.3,825.5,950.7,12.0,74.3,77.1,83.4,3914.0,2630.2,1283.8,297324.6,199148.3,98176.3,303033.3,202972.0,100061.3
Keelung,1375,248,8802.4,12327.9,2002.2,2002.5,2001.6,2001.0,211.8,1632.0,394.9,432.0,18.0,321.2,450.2,498.3,14.0,92.3,428.7,557.5,2019.9,1424.4,595.5,154888.5,109333.6,45554.9,157862.4,111432.8,46429.6
Taipei,996,274,10221.9,14405.9,2001.2,2000.8,1999.5,1998.5,211.5,1721.0,528.3,599.1,21.0,281.3,567.0,642.2,12.0,113.4,167.7,181.3,2477.3,1748.1,729.2,189422.4,133773.6,55648.9,193059.3,136342.0,56717.3
Mailiao,922,518,15834.9,26711.4,2003.1,2004.0,2001.4,2001.5,339.6,1100.5,888.2,897.9,20.0,165.7,1102.3,1061.0,31.0,56.4,253.8,265.9,2785.3,1704.9,1080.5,213698.4,130558.5,83139.9,217801.4,133065.3,84736.2
Hualien,553,53,2742.4,3565.5,1996.5,2000.2,2000.4,1999.0,210.6,549.4,540.4,469.4,20.0,80.5,286.2,234.8,14.0,41.6,30.8,30.7,554.3,442.3,111.9,42368.8,33806.8,8562.0,43182.3,34455.9,8726.4
Lung-Men,496,161,2813.3,4369.7,1998.8,2002.1,2002.1,2002.6,92.8,1093.0,575.2,716.9,9.0,137.6,465.0,484.7,17.0,50.8,59.5,61.5,558.1,387.9,170.2,42704.0,29682.1,13021.9,43523.9,30252.0,13271.9
Sha-Lun,255,198,5588.9,9772.6,2000.4,2001.2,2002.4,2002.7,444.9,1451.1,607.3,586.1,51.0,249.6,681.6,674.2,29.0,84.5,106.6,102.1,1026.2,767.1,259.1,78629.1,58727.6,19901.5,80138.8,59855.1,20283.6
Mai-Liai,136,100,2188.0,3723.0,1994.8,1996.1,1994.4,1994.1,1065.2,3187.4,2361.5,2516.6,108.0,459.5,1433.0,1467.7,36.5,98.2,204.6,200.6,652.2,533.2,118.9,49493.8,40409.3,9084.4,50444.0,41185.2,9258.9
Wu-Tu,25,22,659.9,1114.3,1995.9,1997.0,1994.3,1992.5,737.9,5373.8,1826.6,1826.7,185.0,896.7,1901.6,2211.0,13.0,101.0,540.7,606.4,186.8,161.9,24.8,14269.1,12356.2,1912.9,14543.1,12593.4,1949.7
