Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,9348,1073,379569.6,426155.8,2005.5,2007.7,2009.0,2008.8,494.0,906.4,1090.5,1078.9,45.0,78.0,220.3,215.5,13.0,23.7,40.3,39.7,50311.7,47052.3,3259.4,3888034.6,3638713.5,249321.1,3962684.9,3708576.8,254108.1
General cargo,2566,798,24053.1,34029.4,2005.8,2005.4,2005.3,2005.4,742.1,1514.5,1282.5,1270.2,87.0,213.1,425.6,417.3,26.0,83.1,82.6,80.9,4541.9,3954.0,587.9,347971.2,303599.3,44371.9,354652.2,309428.4,45223.8
Chemical tanker,2523,835,37121.8,59676.5,2006.9,2007.5,2008.3,2008.2,939.4,1649.6,1512.8,1516.0,92.0,177.6,318.1,318.4,23.0,50.1,86.4,86.7,8537.2,6974.5,1562.8,656348.7,537035.8,119312.9,668950.6,547346.9,121603.7
Bulk carrier,2521,1287,208447.5,380471.5,2007.3,2009.3,2009.7,2009.8,1506.2,2190.7,2328.0,2356.1,143.0,226.9,346.5,346.3,55.0,103.5,118.0,118.3,14704.7,13258.4,1446.2,1138050.3,1026491.4,111558.9,1159900.9,1046200.1,113700.8
Liquefied gas tanker,954,359,117586.8,95475.9,2006.6,2007.7,2008.5,2008.4,1585.5,2531.0,3419.2,3327.4,126.0,214.2,372.1,379.6,26.0,65.5,119.1,115.9,13875.8,11743.1,2132.7,901684.3,754637.1,147047.3,918996.7,769126.1,149870.6
Oil tanker,917,540,107818.6,198267.4,2005.1,2005.6,2007.6,2007.6,1629.8,2320.9,2319.0,2336.2,150.0,287.9,377.3,372.9,37.0,101.3,79.6,78.2,9358.7,7204.4,2154.3,722783.8,556693.9,166089.9,736661.2,567382.4,169278.8
Vehicle,290,169,18855.4,6113.4,2008.1,2008.2,2009.4,2008.9,1077.9,1324.4,1289.9,1288.8,83.0,98.1,113.9,115.4,12.0,24.5,21.6,22.0,1184.9,1118.2,66.7,91724.8,86573.4,5151.4,93485.9,88235.6,5250.3
Ferry-RoPax,249,4,959.0,201.6,2004.3,2004.2,1995.3,1994.5,152.6,212.9,248.1,254.0,12.0,20.0,16.3,16.2,5.0,80.8,35.4,36.3,245.5,156.7,88.8,18701.8,11975.1,6726.8,19060.9,12205.0,6856.0
Cruise,173,30,10439.2,1186.5,1999.1,1999.9,2000.5,1999.1,504.9,784.8,769.7,815.0,38.0,54.6,132.5,143.5,10.0,16.9,26.9,29.6,2012.1,1755.0,257.2,155856.5,135940.1,19916.4,158848.9,138550.2,20298.8
Ro-Ro,129,5,1524.7,513.5,2003.4,1999.6,2007.8,2006.4,365.8,708.6,621.4,592.9,40.0,52.0,60.9,65.2,4.0,144.0,17.3,24.1,261.5,226.2,35.3,20253.7,17520.5,2733.1,20642.5,17856.9,2785.6
Refrigerated bulk,94,50,1670.2,1877.5,1993.3,1993.8,1996.6,1996.5,1763.7,4828.9,4433.7,4358.1,244.0,556.3,1082.7,1071.3,43.0,140.5,131.4,128.1,1078.7,904.0,174.7,81780.5,68660.2,13120.3,83350.6,69978.5,13372.2
Service - other,73,31,722.9,546.3,1993.7,1995.1,1997.6,1997.4,904.6,2696.7,1496.7,1406.4,148.0,522.9,723.8,637.2,45.0,145.4,141.2,113.6,268.7,243.4,25.4,20259.8,18344.2,1915.6,20648.8,18696.4,1952.4
Miscellaneous - fishing,68,58,584.3,481.7,2005.8,2006.3,2007.0,2008.1,4077.1,7185.7,6933.3,6858.6,666.0,1247.4,2057.4,2000.9,74.5,240.8,387.8,205.2,259.6,230.6,29.0,19489.2,17312.5,2176.7,19863.4,17644.9,2218.5
Offshore,36,17,3486.0,3147.9,2001.8,2003.0,2010.2,2008.7,530.7,2438.7,4296.4,3727.8,144.5,323.5,571.9,530.1,23.0,62.3,116.3,111.7,318.3,311.3,7.1,20637.0,20105.9,531.2,21033.3,20491.9,541.4
Service - tug,31,21,60.1,59.3,1998.0,2002.2,1996.2,1995.1,855.2,1895.6,1487.6,1574.0,226.0,438.7,891.6,958.9,29.0,120.7,71.6,68.7,60.3,57.0,3.3,4555.8,4310.0,245.8,4643.3,4392.7,250.5
Other liquids tankers,21,2,23.8,23.7,2002.4,2002.5,2002.7,2002.7,600.7,612.4,608.3,606.8,76.0,62.2,143.3,143.6,27.0,25.5,37.1,37.1,36.0,27.0,9.0,2785.3,2091.0,694.3,2838.7,2131.1,707.6
Ferry-pax only,4,3,1.1,0.1,2012.8,2011.0,2004.0,2007.0,470.0,1168.8,895.4,648.5,78.5,130.7,185.9,157.9,22.0,33.3,20.0,26.5,1.0,0.8,0.3,77.9,58.5,19.3,79.4,59.7,19.7
