Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Miscellaneous - fishing,498,33,52.1,20.3,1984.7,1984.4,1982.3,1979.9,280.1,396.8,694.6,693.7,44.0,59.3,730.3,708.6,25.0,51.9,515.4,671.2,335.9,188.4,147.5,25219.3,14144.1,11075.3,25703.5,14415.6,11287.9
Oil tanker,329,29,243.2,416.6,1983.2,2003.8,2003.5,2004.0,57.4,142.9,136.0,138.7,23.0,49.7,72.9,70.8,23.0,34.6,44.8,44.5,347.5,193.3,154.2,26088.7,14510.8,11577.9,26589.6,14789.4,11800.2
General cargo,288,172,252.2,348.3,1996.7,1998.9,1998.9,1999.0,182.3,245.7,280.3,278.8,16.0,28.0,46.3,45.6,13.0,43.6,30.8,31.0,83.4,54.2,29.3,6266.7,4069.9,2196.8,6387.0,4148.0,2239.0
Service - tug,211,16,15.1,8.2,1986.3,1986.2,1982.5,1981.4,129.8,338.9,229.7,227.4,43.0,310.0,332.2,289.6,36.0,65.5,98.4,93.0,82.0,60.3,21.7,6155.6,4523.9,1631.7,6273.8,4610.8,1663.0
Ferry-RoPax,181,11,1576.3,279.7,2006.6,1998.1,2004.1,2001.3,358.6,817.7,763.8,589.7,45.0,75.0,269.0,244.4,22.0,46.6,63.2,64.5,585.3,421.6,163.8,43948.5,31653.6,12294.9,44792.3,32261.4,12531.0
Service - other,162,13,43.7,21.8,1993.5,1989.4,1992.4,1987.1,170.6,272.5,291.9,309.3,26.0,243.3,142.9,157.7,21.5,169.7,168.8,136.8,117.6,67.2,50.5,8832.4,5044.1,3788.3,9002.0,5141.0,3861.0
Offshore,110,7,23.3,14.9,2004.8,2000.1,2005.3,1994.7,170.3,405.1,153.2,176.7,38.5,353.0,213.6,567.1,26.5,77.8,83.5,103.4,84.8,58.3,26.5,6368.6,4378.7,1989.9,6490.9,4462.7,2028.1
Chemical tanker,86,66,433.9,687.7,2006.3,2007.3,2004.3,2004.3,135.7,217.4,287.9,282.0,18.5,34.5,71.4,70.9,22.0,38.4,59.0,59.3,160.9,85.6,75.3,12087.8,6433.6,5654.2,12319.9,6557.1,5762.8
Container,37,17,156.9,183.8,2000.8,2004.4,2004.6,2004.8,164.3,312.0,259.6,267.0,16.0,24.1,51.1,49.6,9.0,10.4,10.3,10.2,41.6,34.6,7.0,3102.6,2577.4,525.3,3162.2,2626.9,535.3
Cruise,26,9,77.7,11.2,1992.8,1992.1,1994.1,1994.7,194.4,235.0,297.7,276.4,15.5,15.8,19.0,19.2,7.0,7.3,8.3,8.6,22.8,16.1,6.7,1710.6,1208.9,501.7,1743.4,1232.1,511.3
Bulk carrier,21,18,177.1,302.0,2011.1,2011.2,2011.7,2011.8,149.4,244.4,310.0,313.0,16.0,23.2,46.4,47.4,12.0,32.7,21.1,21.2,17.4,12.7,4.8,1310.5,951.5,359.0,1335.7,969.8,365.9
Ferry-pax only,14,1,5.5,0.9,2012.0,2012.0,2012.0,2012.0,1561.0,1561.0,2311.9,2311.9,58.5,58.5,209.6,209.6,52.5,52.5,185.0,185.0,14.4,8.2,6.2,1083.2,617.2,466.0,1104.0,629.0,475.0
Liquefied gas tanker,10,4,8.5,8.7,2004.3,2007.5,2008.2,2007.8,189.7,165.4,125.9,124.9,10.5,11.2,15.5,16.1,12.5,16.1,15.6,15.9,4.2,2.0,2.2,313.6,150.3,163.3,319.6,153.2,166.5
Refrigerated bulk,4,1,105.3,106.1,1993.0,1993.0,1993.0,1993.0,1592.0,1592.0,1872.7,1872.7,62.0,62.0,70.9,70.9,50.0,50.0,57.6,57.6,36.4,20.0,16.4,2729.7,1499.8,1229.9,2782.1,1528.6,1253.5
Vehicle,1,1,13.4,5.0,2000.0,2000.0,2000.0,2000.0,1454.8,1454.8,1454.8,1454.8,138.0,138.0,138.0,138.0,5.0,5.0,5.0,5.0,2.9,2.9,0.1,218.8,214.8,4.0,223.0,218.9,4.1
