Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Sweden,1756,368,12381.3,5839.8,2000.1,2001.1,2001.3,2004.0,252.6,522.5,335.2,455.6,19.0,54.4,407.8,120.9,7.0,29.6,19.3,23.4,2445.1,2072.6,372.5,183532.2,155552.8,27979.3,187056.0,158539.4,28516.5
Finland,1725,465,12877.3,4175.8,1998.8,2000.9,2008.8,2006.5,159.6,316.1,801.9,311.1,20.0,42.2,1691.8,759.1,19.0,51.2,8.7,30.4,3238.9,2876.7,362.2,233741.4,206577.8,27163.7,238229.3,210544.0,27685.2
Russian Federation,1542,683,7690.3,7629.8,2003.3,2003.3,2007.2,2007.1,186.2,238.1,203.3,206.9,21.0,40.0,36.2,48.1,33.0,53.5,42.6,52.3,2681.2,1326.5,1354.7,201361.6,99643.7,101717.9,205227.8,101556.9,103670.9
Denmark,381,280,4095.8,5988.6,2002.0,2002.6,2007.3,2008.0,669.4,745.8,816.6,859.4,70.0,85.2,85.0,90.8,18.0,32.3,26.1,28.0,694.5,617.4,77.2,52149.3,46355.5,5793.7,53150.5,47245.6,5905.0
Netherlands,331,214,5074.1,8196.2,2005.2,2006.0,2007.5,2007.9,995.9,1147.8,1271.7,1284.1,106.0,125.4,144.7,147.1,25.0,36.5,52.1,54.9,962.6,812.9,149.7,72131.0,60754.2,11376.7,73515.9,61920.7,11595.2
Germany,303,163,3501.4,3988.9,1998.9,2002.0,2006.3,2006.2,673.2,766.3,893.5,983.0,68.0,81.2,80.8,92.5,27.0,55.9,55.2,75.1,726.8,649.9,76.8,54610.4,48799.2,5811.2,55658.9,49736.1,5922.8
Latvia,253,176,1191.8,1320.2,1997.6,1998.7,2002.6,2005.3,295.0,421.4,477.0,481.4,29.0,37.9,52.1,50.9,20.0,60.8,176.6,171.4,405.8,202.1,203.6,30476.6,15180.6,15296.0,31061.8,15472.1,15589.7
United Kingdom of Great Britain and Northern Ireland,209,160,2252.0,3321.1,2002.1,2002.6,2005.4,2006.0,1323.2,1351.7,1410.2,1431.8,133.0,138.8,138.8,140.3,44.0,49.3,68.8,65.0,512.4,450.8,61.6,38512.6,33865.5,4647.1,39252.1,34515.7,4736.3
Poland,159,117,806.2,805.3,1999.6,2000.4,2006.1,2005.5,431.5,489.2,520.7,532.3,48.0,57.2,60.1,66.4,34.0,74.1,43.5,61.4,226.6,174.3,52.3,17013.1,13086.1,3927.0,17339.7,13337.4,4002.4
Norway,106,74,1183.0,1066.5,2002.7,2000.5,2009.3,2008.7,973.4,1033.9,1180.8,1123.8,103.0,118.0,103.5,108.7,30.0,63.2,33.6,44.9,272.6,240.0,32.6,20495.3,18050.5,2444.7,20888.8,18397.1,2491.7
Lithuania,105,76,685.7,831.9,2002.3,2002.0,2006.2,2007.9,347.0,424.5,439.2,471.0,40.0,140.2,91.2,104.9,26.0,46.2,63.8,83.9,245.0,196.5,48.5,18393.4,14755.3,3638.1,18746.5,15038.6,3708.0
Belgium,93,79,1698.1,2572.1,2003.3,2003.5,2003.0,2003.9,1221.1,1251.2,1364.7,1368.3,117.0,125.1,123.6,124.6,35.0,43.7,45.5,47.3,344.6,296.0,48.6,25886.0,22227.9,3658.0,26383.0,22654.7,3728.3
France,75,66,986.1,1552.6,2003.3,2003.7,2006.0,2006.3,1621.4,1651.1,1746.6,1753.6,164.0,170.2,172.8,171.9,49.0,55.4,47.0,45.5,214.5,187.0,27.5,16177.5,14088.7,2088.8,16488.1,14359.2,2128.9
Spain,35,33,2036.2,3533.1,2007.5,2008.4,2012.2,2012.4,2611.2,2558.1,2807.1,2826.0,239.0,230.5,249.9,250.8,75.0,73.7,82.7,83.1,248.4,214.6,33.8,18889.7,16284.3,2605.4,19252.4,16596.9,2655.4
Ireland,29,26,189.1,268.8,2004.7,2004.5,2005.1,2004.9,1677.4,1780.8,1762.6,1767.6,171.0,176.3,175.1,175.6,33.0,42.2,41.1,41.6,53.0,48.6,4.4,3991.0,3659.2,331.8,4067.6,3729.4,338.2
United States of America,28,27,6476.2,11432.2,2009.3,2009.5,2008.5,2008.5,6223.4,6138.0,6216.7,6233.0,546.0,581.6,621.5,624.8,40.5,53.1,52.4,52.4,734.7,693.8,40.9,56196.2,53118.5,3077.7,57275.1,54138.4,3136.8
Morocco,18,18,1049.4,1779.9,2009.3,2009.3,2010.3,2010.4,2652.3,2621.1,2712.3,2714.1,236.0,263.7,282.6,284.1,102.0,127.4,148.2,149.7,144.1,126.1,18.0,10970.2,9583.8,1386.5,11180.9,9767.8,1413.1
Brazil,13,13,2369.0,3867.3,2012.6,2012.6,2012.8,2012.9,6586.5,6417.0,6402.6,6390.1,567.0,618.8,613.2,613.8,226.0,347.6,350.3,346.9,244.6,226.8,17.8,18784.2,17415.5,1368.8,19144.9,17749.8,1395.1
Puerto Rico,12,12,1954.2,3319.9,2011.7,2011.7,2011.3,2011.2,5081.0,5134.9,5132.2,5132.1,431.5,431.5,430.5,430.3,49.5,56.3,53.9,53.7,231.3,211.3,20.1,17712.7,16206.5,1506.3,18052.8,16517.6,1535.2
Iceland,12,12,70.8,101.5,2000.8,2000.8,2002.1,2001.8,1807.6,1795.7,1803.6,1800.5,180.5,205.2,205.8,205.6,54.0,54.8,57.1,56.1,21.5,20.5,1.0,1624.0,1547.0,77.0,1655.2,1576.7,78.4
Turkey,11,11,1221.6,2048.2,2011.8,2011.8,2011.2,2011.1,4416.6,4144.0,4422.1,4435.4,405.0,382.9,411.7,412.7,103.0,93.6,100.1,101.6,120.4,116.5,3.9,9211.5,8914.0,297.5,9388.4,9085.2,303.2
Gibraltar,10,10,1061.3,1911.7,2011.2,2011.2,2011.2,2011.2,2757.6,3081.8,3242.0,3268.0,243.0,313.1,433.5,440.8,5.5,9.1,11.2,11.3,107.4,104.5,2.9,8192.6,7968.2,224.4,8349.9,8121.2,228.7
Saudi Arabia,10,10,2933.7,5258.6,2005.8,2005.8,2005.5,2005.4,5452.3,5423.3,5422.9,5421.6,481.0,480.7,482.0,482.1,50.5,44.8,47.0,47.3,270.1,265.2,5.0,20710.0,20326.0,384.0,21107.6,20716.3,391.4
Malta,9,9,2062.6,3844.7,2009.2,2009.2,2009.3,2009.3,3695.7,3649.4,3694.1,3697.5,318.0,323.6,319.6,318.9,46.0,49.0,55.9,56.0,175.4,168.7,6.8,13395.2,12872.2,523.0,13652.4,13119.3,533.0
Portugal,9,9,340.8,576.2,2002.7,2002.7,2011.4,2011.9,2376.6,2665.3,2648.6,2685.7,238.0,433.8,293.7,295.6,46.0,72.4,47.5,44.8,53.2,47.5,5.7,4033.8,3593.3,440.5,4111.2,3662.3,448.9
Canada,8,8,798.6,1329.5,2009.6,2009.6,2009.4,2009.4,3980.4,4060.7,4041.3,4039.8,357.5,369.9,377.6,378.2,21.0,24.4,27.1,27.4,119.1,113.8,5.3,9049.5,8648.1,401.4,9223.3,8814.2,409.1
Nigeria,8,7,896.5,1489.1,2006.0,2005.9,2010.6,2011.0,5526.1,5053.0,5620.8,5639.6,469.0,432.2,500.1,500.1,17.0,41.2,28.3,26.3,105.9,103.8,2.1,8105.8,7945.1,160.6,8261.4,8097.7,163.7
