Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,2902,749,5460.4,7610.6,1999.4,2001.4,2002.3,2002.4,367.6,561.2,537.3,537.6,39.0,63.9,114.3,111.0,15.0,57.7,52.4,53.8,1599.3,1309.4,290.0,120194.1,98423.5,21770.6,122501.9,100313.3,22188.6
Ferry-RoPax,1086,21,10376.8,1878.3,1999.9,1994.6,2000.6,1998.4,237.5,1059.1,303.7,274.3,14.0,230.8,88.2,116.1,6.0,126.9,26.3,23.0,2049.6,1430.2,619.4,151993.8,106987.8,45006.0,154912.1,109042.0,45870.1
Chemical tanker,956,413,14306.9,23150.5,2007.9,2008.2,2008.8,2008.9,561.5,828.4,873.6,883.9,57.0,83.7,153.0,154.5,13.0,32.7,20.8,20.8,2553.6,2080.8,472.8,192074.8,156581.2,35493.6,195762.6,159587.5,36175.1
Oil tanker,626,218,15512.7,27725.3,2000.1,2006.6,2008.4,2008.5,217.2,867.3,869.4,879.4,35.0,110.1,184.4,185.2,16.0,36.9,39.3,39.5,2346.5,1543.8,802.7,176571.5,116289.8,60281.8,179961.7,118522.5,61439.2
Container,422,90,3405.6,3967.0,2003.9,2004.9,2004.1,2004.4,418.0,526.3,468.4,464.7,34.0,47.5,68.3,67.9,10.0,14.9,11.0,10.9,788.9,719.8,69.1,59005.1,53816.2,5188.9,60138.0,54849.4,5288.6
Cruise,327,74,8951.4,936.7,2004.1,1999.2,2007.5,2006.5,240.0,362.9,410.7,411.5,18.0,26.2,39.4,39.8,8.0,7.3,7.4,7.4,2048.8,1847.5,201.2,153843.6,138734.4,15109.2,156797.4,141398.1,15399.3
Bulk carrier,262,224,5805.8,9857.8,2010.6,2010.4,2011.0,2011.0,624.1,829.4,802.6,798.8,73.0,102.1,157.8,156.8,43.5,72.1,79.7,79.9,587.1,505.7,81.4,44171.1,38052.3,6118.8,45019.2,38782.9,6236.2
Miscellaneous - fishing,146,39,47.2,34.9,1982.0,1986.1,1989.0,1992.6,245.8,960.2,979.9,1071.2,39.5,246.5,455.3,437.0,14.5,501.2,782.6,773.1,132.7,72.8,59.9,9965.6,5465.5,4500.1,10157.0,5570.5,4586.5
Service - tug,141,58,24.5,16.8,1981.2,1986.9,1985.5,1987.4,238.8,348.5,342.6,343.2,43.0,142.8,197.2,209.3,19.0,63.0,125.1,105.8,66.4,53.7,12.7,4984.8,4033.1,951.6,5080.5,4110.6,969.9
Ro-Ro,114,23,2135.5,1061.2,2009.6,2002.5,2011.5,2011.1,953.2,844.4,744.7,743.4,58.5,63.6,75.6,81.2,5.0,7.7,8.4,9.2,463.6,447.5,16.0,34845.0,33641.6,1203.4,35514.1,34287.5,1226.5
Vehicle,105,6,1131.9,390.7,2002.8,2003.5,2003.6,2003.4,718.4,664.4,640.1,647.8,54.0,45.0,52.8,54.0,7.0,8.0,8.2,8.1,186.3,177.4,8.9,13986.0,13318.1,667.8,14254.5,13573.8,680.6
Offshore,95,18,156.8,143.0,2008.0,1999.7,2008.4,2006.3,90.7,323.9,206.5,195.7,12.0,93.5,131.1,126.5,10.0,183.9,37.5,30.5,70.4,55.6,14.8,5286.4,4172.6,1113.8,5387.9,4252.7,1135.2
Liquefied gas tanker,60,14,566.5,577.1,2008.8,2007.8,2011.7,2011.2,571.0,543.3,804.8,816.5,42.0,41.0,83.8,86.1,16.0,19.4,18.4,18.4,115.7,98.3,17.4,8693.8,7387.0,1306.8,8860.7,7528.8,1331.9
Service - other,38,26,56.6,35.9,1988.9,1990.2,2001.3,1998.8,453.6,1607.8,772.5,674.6,78.0,536.9,311.0,254.4,47.5,366.1,230.9,280.8,103.6,83.1,20.4,7736.2,6202.1,1534.0,7884.7,6321.2,1563.5
Refrigerated bulk,21,20,258.0,267.3,1993.5,1993.2,1994.4,1994.3,248.1,1054.9,1440.9,1427.3,21.0,72.1,379.0,379.9,130.0,491.1,120.5,118.3,257.9,91.1,166.8,19433.6,6911.3,12522.3,19806.8,7044.0,12762.7
Ferry-pax only,2,1,3.1,0.2,2018.0,2018.0,2018.0,2018.0,2861.7,2861.7,2861.7,2861.7,401.5,401.5,667.7,667.7,52.5,52.5,74.2,74.2,1.4,1.2,0.2,102.4,90.5,11.9,104.3,92.2,12.1
Yacht,1,1,0.0,0.1,1958.0,1958.0,1958.0,1958.0,188.2,188.2,188.2,188.2,28.0,28.0,28.0,28.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
