Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Musaffah,3049,260,1398.2,1589.7,2010.1,2008.5,2008.7,2007.7,129.0,547.6,286.1,305.5,19.0,308.0,895.3,940.3,19.0,81.4,83.5,66.8,1551.5,1185.9,365.7,116549.5,89088.2,27461.3,118787.3,90798.7,27988.6
Mina Zayed/Abu Dhabi,2303,515,3862.3,3039.4,2010.0,2008.6,2010.0,2009.7,148.0,523.5,303.5,289.9,23.0,258.4,238.3,220.5,30.0,131.9,74.4,79.5,2555.2,1657.7,897.5,193433.1,125449.7,67983.4,197147.0,127858.3,69288.7
Fujairah,1990,1239,52976.8,96309.7,2006.1,2007.4,2006.2,2006.4,350.6,597.5,645.9,655.7,45.0,152.3,423.2,427.2,34.0,80.8,88.9,83.2,8014.0,4823.4,3190.6,616996.0,370888.4,246107.6,628842.3,378009.5,250832.8
Zirku,1974,230,1383.1,1511.1,2010.3,2009.0,2008.2,2007.8,160.1,521.7,322.1,303.6,27.0,170.5,159.3,133.4,27.0,145.8,98.7,89.7,1370.7,780.4,590.3,103174.4,58771.6,44402.9,105155.4,59900.0,45255.4
Jebel Ali Free Zone,1431,394,3715.6,5039.3,2007.0,2007.3,2006.2,2006.3,135.3,346.7,273.3,278.6,19.0,97.0,108.2,99.6,14.0,107.5,45.8,41.9,1093.2,738.6,354.6,83393.3,56445.2,26948.1,84994.5,57529.0,27465.5
Khor Fakkan,1176,562,22479.1,28484.4,2002.7,2004.1,2004.3,2005.3,290.7,529.5,477.4,457.1,34.0,112.2,162.9,155.6,30.0,124.5,105.7,105.5,4539.1,2380.8,2158.3,338740.9,175603.8,163137.1,345244.8,178975.4,166269.4
Jebel Ali,1157,508,6990.9,10158.3,2006.1,2007.3,2007.3,2007.2,223.6,373.9,335.9,344.9,29.0,94.1,196.9,195.3,19.0,53.9,46.1,48.1,1474.1,976.2,497.9,113265.5,75054.5,38211.0,115440.2,76495.6,38944.7
Abu Al Bukhoosh,1124,201,711.2,878.9,2009.7,2007.3,2010.1,2010.2,161.7,312.2,287.5,324.0,39.0,97.9,121.9,108.2,22.0,95.9,218.4,128.0,442.7,272.7,170.0,33344.7,20542.5,12802.2,33984.9,20936.9,13048.0
Zirkuh Petroleum Port,1056,182,4479.6,8323.3,2010.1,2009.0,2007.9,2007.8,153.7,371.6,649.1,714.8,31.0,108.4,584.5,606.9,22.0,107.9,70.4,67.4,669.5,442.9,226.5,50915.3,33776.5,17138.8,51892.9,34425.0,17467.9
Ruwais,981,399,11110.7,16041.7,2009.3,2009.6,2009.6,2008.8,272.8,495.5,451.7,443.7,28.0,105.1,294.5,247.4,16.0,44.1,43.2,44.9,1900.9,1368.4,532.5,146396.0,105593.0,40803.0,149206.8,107620.3,41586.4
Fateh Oil Terminal,975,250,2016.6,2780.1,2007.8,2005.0,2005.8,2006.5,104.2,415.1,321.8,304.8,24.0,75.4,97.1,86.9,16.0,122.0,75.6,62.1,584.5,314.7,269.8,43867.7,23699.2,20168.5,44710.0,24154.2,20555.8
Mina Saqr,947,451,2054.3,3336.1,2006.2,2007.5,2008.5,2008.7,132.0,262.9,175.6,171.8,22.0,66.6,65.0,61.6,13.0,65.9,50.8,43.0,466.2,285.7,180.5,35492.1,21806.2,13685.9,36173.6,22224.9,13948.7
Das Island,734,151,9420.7,15772.6,2009.8,2007.7,2002.8,2003.5,150.4,606.8,1176.7,1216.5,24.0,160.8,732.5,753.5,26.0,70.6,36.5,34.3,1140.0,848.0,292.0,84057.9,62010.6,22047.3,85671.8,63201.2,22470.6
Sharjah,618,343,2153.3,3231.0,2002.0,2001.8,2001.3,2000.9,185.4,445.5,336.5,360.3,38.0,221.9,237.2,246.5,27.0,143.1,117.8,127.8,825.9,528.5,297.4,62759.3,40198.1,22561.2,63964.3,40969.9,22994.4
Mina Khalifa/Abu Dhabi,545,154,2423.5,3111.7,2007.7,2006.8,2008.5,2007.9,182.9,342.4,207.8,227.4,21.0,179.9,79.4,84.0,27.0,100.9,36.8,37.2,623.9,352.8,271.1,47553.9,27001.8,20552.1,48466.9,27520.2,20946.7
Hulaylah Oil Terminal,534,315,6177.0,11093.4,2002.1,2002.2,2004.9,2004.8,160.4,464.5,909.8,998.1,33.0,82.3,425.9,442.6,24.0,122.3,39.9,27.1,750.2,471.2,279.0,57416.8,36180.1,21236.7,58519.2,36874.8,21644.4
Al Hamriyah Lpg Terminal,456,305,1560.5,2495.4,2004.4,2004.2,2006.7,2006.7,207.8,378.7,275.6,275.2,33.0,161.3,184.8,172.0,26.0,92.8,56.4,53.3,613.6,394.9,218.7,46763.8,30122.4,16641.4,47661.7,30700.8,16960.9
Mina Rashid Port,449,206,1950.1,880.8,2004.6,2003.2,2003.8,2000.6,212.1,556.2,592.1,474.4,38.0,307.9,274.3,420.9,16.0,165.4,60.0,121.8,832.8,644.8,188.1,63381.0,49102.2,14278.8,64597.9,50044.9,14553.0
Free Port,430,279,2765.4,4312.3,2004.6,2004.9,2003.6,2004.3,198.3,370.6,360.6,370.8,44.0,154.7,218.0,196.6,33.0,105.7,165.3,183.4,927.1,675.6,251.5,71256.9,51940.2,19316.7,72625.0,52937.4,19687.6
Ajman,281,63,381.2,509.7,1993.0,1993.5,1995.1,1995.0,125.9,855.0,252.6,278.4,23.0,224.3,308.5,299.3,21.0,141.5,120.3,123.1,257.8,158.6,99.2,19424.3,11952.5,7471.8,19797.3,12182.0,7615.2
Abu Musa,240,143,883.4,1503.7,2003.9,2002.7,2002.2,2002.2,159.4,306.5,411.9,426.2,19.5,52.9,54.3,50.3,26.0,88.6,40.0,37.4,189.9,84.9,105.0,14463.6,6475.2,7988.4,14741.3,6599.5,8141.8
Hamriya,228,167,234.8,310.5,2003.8,2004.2,1999.4,1997.6,189.9,441.7,409.4,438.2,46.5,252.5,629.4,654.2,38.5,174.6,190.1,174.5,243.6,141.5,102.1,18333.3,10655.1,7678.1,18685.3,10859.7,7825.6
Umm Al Qaywayn,226,123,913.4,1464.7,1999.4,2000.4,2000.7,2000.7,157.9,642.5,557.8,557.7,22.0,145.2,399.8,399.0,24.0,84.3,171.3,165.4,243.4,159.8,83.6,18526.8,12169.9,6356.9,18882.5,12403.6,6478.9
Mina Khalid,180,102,553.4,827.8,2001.3,2001.0,2001.2,2001.5,151.4,471.6,428.3,457.1,39.5,138.9,227.1,217.4,24.0,141.5,88.5,86.4,284.6,160.2,124.4,21681.0,12267.8,9413.2,22097.2,12503.3,9593.9
Yas Island,178,111,2966.2,4464.7,2008.0,2007.5,2005.2,2004.9,336.5,968.7,547.2,607.5,31.5,211.1,339.1,368.9,23.5,81.0,73.4,80.9,557.7,350.0,207.7,42883.8,26900.9,15982.9,43707.1,27417.4,16289.7
Arzanah,167,65,127.0,137.6,2009.4,2009.0,2010.4,2010.1,198.0,544.6,431.7,440.1,47.0,230.5,686.4,622.3,22.0,177.9,211.4,198.3,173.1,122.1,51.0,13007.2,9172.0,3835.3,13257.0,9348.1,3908.9
