Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Iran (Islamic Republic of),4819,1465,71683.5,129172.8,2001.2,2002.7,2006.5,2006.7,202.1,565.7,969.3,1069.2,29.0,94.3,714.0,755.7,22.0,89.0,83.9,84.2,8782.0,6076.1,2705.9,674359.2,467641.0,206718.1,687306.9,476619.8,210687.1
India,3361,1923,226292.8,378099.7,2006.5,2007.8,2006.1,2006.2,1087.9,1395.0,1372.0,1359.8,105.0,159.2,204.8,211.0,28.0,84.0,89.2,91.2,20733.0,17841.6,2891.4,1592140.2,1369159.6,222980.6,1622709.3,1395447.5,227261.9
Saudi Arabia,3076,1797,232751.0,332099.4,2008.6,2009.1,2009.3,2009.0,483.9,931.4,1344.0,1288.9,54.0,133.9,315.6,374.0,19.0,82.6,33.8,35.8,21160.0,19192.6,1967.4,1637117.4,1485464.0,151653.3,1668550.0,1513985.0,154565.1
Qatar,2008,923,26795.3,42324.1,2006.2,2006.7,2007.4,2007.5,305.3,528.8,496.6,518.1,35.0,92.4,302.4,335.5,15.0,74.5,74.0,65.4,3229.2,2378.7,850.5,247158.8,182614.0,64544.8,251904.2,186120.2,65784.0
Oman,1677,975,44394.5,49728.9,2006.0,2006.2,2007.7,2007.5,322.0,565.8,618.0,625.3,36.0,107.3,136.3,166.8,20.0,74.8,63.6,69.0,6013.4,4556.2,1457.2,463287.8,351307.2,111980.6,472182.9,358052.3,114130.6
Kuwait,1379,602,50756.0,87796.3,2004.2,2007.2,2006.0,2005.9,578.7,858.1,954.7,1009.3,54.0,96.1,467.4,507.2,34.0,92.9,47.5,46.6,4385.3,3566.8,818.5,337273.2,274198.5,63074.7,343748.8,279463.1,64285.7
Iraq,1306,506,37849.7,66178.1,2001.7,2004.2,2006.8,2007.3,593.0,865.9,1030.8,1081.3,64.0,113.3,622.0,674.4,32.0,76.5,48.0,46.6,4060.6,3306.1,754.4,313064.8,255327.8,57737.0,319075.6,260230.1,58845.5
Singapore,1112,855,285435.9,444771.6,2008.4,2008.6,2008.7,2008.6,3506.7,3740.9,3635.5,3626.0,299.0,352.5,342.1,352.6,34.0,72.9,62.5,65.0,22031.3,20793.1,1238.2,1699229.5,1603478.2,95751.3,1731854.7,1634265.0,97589.7
Bahrain,1052,463,10138.5,15306.2,2003.4,2006.5,2008.5,2008.4,366.4,489.5,439.3,459.7,49.0,120.4,71.0,75.5,29.0,73.8,58.6,60.7,1668.6,1142.1,526.4,128447.8,87979.1,40468.7,130914.0,89668.3,41245.7
Pakistan,917,577,24503.6,37243.0,2007.1,2008.3,2007.6,2007.8,744.4,849.7,820.9,814.6,67.0,104.0,132.7,135.5,24.0,62.3,79.8,79.8,3134.4,2515.9,618.5,241183.7,193526.5,47657.2,245814.4,197242.2,48572.2
Malaysia,651,454,230469.3,382558.0,2008.0,2008.6,2008.9,2009.0,3409.8,3672.9,3586.0,3617.8,284.0,334.7,330.2,346.9,30.0,62.8,58.6,62.8,14528.5,13821.2,707.3,1124295.6,1069527.7,54767.9,1145882.1,1090062.6,55819.4
China,504,349,253756.6,461160.4,2008.4,2008.3,2008.9,2008.9,5597.0,5288.8,5548.6,5573.3,443.5,480.5,540.5,545.0,28.0,107.7,67.9,68.3,15020.9,14533.6,487.2,1163097.4,1125478.3,37619.2,1185428.9,1147087.4,38341.5
Indonesia,471,411,166194.5,308607.3,2008.2,2008.4,2008.0,2008.0,3508.6,3634.1,3616.1,3614.2,317.0,355.3,361.2,362.1,36.0,74.6,69.2,69.7,9065.6,8495.0,570.6,699715.3,655534.8,44180.5,713149.9,668121.0,45028.8
Japan,414,154,337681.5,573221.3,2006.6,2008.2,2006.8,2008.0,6220.7,6112.1,6232.7,6221.1,433.0,468.4,448.2,453.7,22.0,44.6,39.2,37.0,21753.1,21432.7,320.4,1561788.4,1537200.0,24588.5,1591774.8,1566714.2,25060.6
Sri Lanka,335,253,42018.4,64992.9,2005.8,2006.5,2006.7,2006.8,1976.0,2218.5,2206.8,2231.9,170.0,228.4,270.5,297.0,28.0,75.0,65.5,72.0,3738.4,3430.0,308.4,288953.9,265129.5,23824.4,294501.9,270220.0,24281.8
South Africa,278,208,55055.9,78092.8,2009.9,2009.9,2010.0,2009.7,4207.8,4413.6,4433.3,4436.4,344.0,390.3,352.1,367.5,20.0,64.4,49.0,49.7,5872.9,5662.6,210.3,452916.8,436683.5,16233.3,461612.8,445067.8,16545.0
Yemen,229,120,5654.5,8842.6,1999.8,1999.6,2002.5,2002.9,1609.3,1923.7,1764.2,1747.6,210.0,302.3,255.3,252.5,80.0,180.1,161.6,160.6,1245.9,892.5,353.3,95101.0,68359.1,26741.9,96926.9,69671.6,27255.3
Australia,177,149,38714.9,67996.5,2011.6,2011.6,2012.2,2012.1,5121.2,5504.6,5560.4,5576.2,487.0,519.7,555.0,559.2,19.0,53.6,62.2,62.3,3156.5,3064.0,92.5,242681.9,235523.8,7158.1,247341.4,240045.9,7295.5
"Korea, Republic of",149,115,112315.1,212907.9,2009.0,2009.1,2008.7,2008.7,6020.3,6062.9,6123.7,6122.4,512.0,536.9,523.5,523.0,24.0,47.0,39.6,39.7,5506.8,5419.2,87.5,426488.7,419713.1,6775.6,434677.2,427771.6,6905.7
Egypt,146,120,31881.8,57263.9,2004.1,2005.2,2003.2,2003.0,2813.8,2955.9,2866.9,2856.9,256.0,445.5,275.3,271.9,21.5,78.1,70.5,67.3,2084.5,1921.0,163.5,160183.4,147572.2,12611.2,163258.9,150405.6,12853.3
Somalia,129,63,3881.0,5143.1,1994.4,1994.3,1996.5,1996.2,1969.5,2131.1,2188.2,2206.4,192.0,359.0,245.4,262.3,36.0,188.9,88.9,95.5,800.6,684.7,115.8,61505.0,52713.8,8791.2,62685.9,53725.9,8960.0
