Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Service - tug,480,116,79.4,62.2,2002.0,2006.1,2001.7,2000.4,163.6,369.2,280.3,274.1,54.5,244.3,455.6,414.7,45.0,161.9,148.3,153.6,137.0,95.1,41.8,10287.5,7145.5,3142.0,10485.0,7282.7,3202.3
Bulk carrier,289,206,42790.0,81318.5,2008.9,2009.6,2010.0,2009.9,450.0,2657.5,3268.3,3397.5,77.0,296.5,805.1,811.8,87.0,132.0,99.9,99.1,2820.6,2652.4,168.2,218353.5,205376.8,12976.7,222545.9,209320.0,13225.9
Container,289,55,5056.8,5802.8,2006.1,2005.2,2007.6,2007.3,305.6,443.3,370.6,370.7,25.0,38.8,55.9,56.1,17.0,70.8,38.1,39.1,678.6,541.3,137.3,52467.0,41892.3,10574.7,53474.3,42696.6,10777.7
Oil tanker,240,165,11600.1,20803.4,2005.7,2007.3,2008.8,2008.8,451.6,995.8,1157.3,1166.8,82.5,142.7,443.1,451.9,58.5,113.8,167.4,173.8,2475.4,1138.7,1336.7,191483.8,88051.0,103432.8,195160.3,89741.6,105418.7
General cargo,222,79,2116.0,2710.3,1994.2,2003.7,2000.2,2000.4,318.1,1173.4,1144.7,1077.4,49.5,117.5,384.8,372.9,57.0,81.4,108.4,107.8,386.3,326.6,59.8,29655.5,25163.3,4492.1,30224.9,25646.5,4578.4
Chemical tanker,205,137,3557.2,5800.3,2010.8,2010.8,2011.3,2011.3,451.1,718.7,810.6,818.5,64.0,95.0,209.0,210.1,32.0,67.3,66.2,66.3,779.8,525.3,254.5,60105.6,40544.2,19561.4,61259.7,41322.7,19937.0
Vehicle,189,141,3867.4,1320.2,2008.3,2007.8,2006.1,2005.7,180.4,375.6,338.8,351.6,14.0,30.6,245.5,264.5,6.0,20.2,260.4,285.2,251.3,215.4,35.9,19461.9,16682.5,2779.4,19835.5,17002.8,2832.7
Service - other,51,21,22.8,24.8,2006.0,2004.8,1999.6,1999.2,205.7,794.6,745.1,1016.0,54.0,451.2,620.1,776.2,54.0,568.6,476.7,492.4,59.3,32.4,26.9,4454.5,2434.6,2019.8,4540.0,2481.4,2058.6
Cruise,36,11,1534.0,144.9,2011.7,2009.6,2012.3,2011.9,255.7,762.1,464.9,472.9,17.0,188.4,461.1,436.2,9.0,10.5,7.4,7.6,400.5,365.3,35.2,31023.5,28298.9,2724.5,31619.1,28842.3,2776.8
Offshore,22,21,38.8,22.9,2003.6,2005.0,2009.4,2006.1,315.8,1660.2,376.9,406.0,178.0,768.5,892.4,740.3,185.5,402.6,485.7,446.7,71.6,49.4,22.2,5378.0,3713.2,1664.8,5481.3,3784.5,1696.8
Liquefied gas tanker,17,14,516.8,592.1,2010.9,2009.6,2013.9,2013.7,437.4,1006.8,975.4,965.9,39.0,73.7,203.2,202.9,53.0,89.0,76.3,76.3,86.6,53.2,33.5,6674.7,4110.5,2564.2,6802.8,4189.4,2613.4
Ro-Ro,10,8,151.8,82.3,2007.0,2005.5,2008.7,2007.6,331.1,374.5,362.9,366.4,23.0,42.2,58.0,58.5,125.0,180.4,275.4,267.9,39.1,12.6,26.5,3030.2,973.6,2056.6,3088.3,992.3,2096.1
