Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Altamira,1333,653,44909.6,43953.6,2007.6,2008.5,2008.3,2008.1,627.1,1175.8,966.8,873.4,70.0,133.2,172.9,179.7,28.0,59.7,37.8,47.7,5238.4,4622.8,615.6,391399.3,345132.0,46267.4,398914.2,351758.5,47155.7
Veracruz,1253,725,54240.1,48328.8,2007.5,2008.5,2007.3,2007.4,1017.4,1342.0,1444.9,1212.1,94.0,158.9,202.5,189.1,31.0,69.9,40.8,54.7,5652.1,5033.3,618.9,433982.7,387230.6,46752.1,442315.2,394665.4,47649.8
Manzanillo,1099,533,225612.2,254291.1,2008.5,2008.9,2009.4,2009.4,1940.2,3380.9,3429.3,3386.3,167.0,285.5,338.7,344.8,27.0,58.6,31.9,34.5,23460.9,22857.9,603.0,1797787.5,1751666.3,46121.2,1832305.0,1785298.2,47006.7
Cozumel,1078,90,77303.3,7165.5,2005.2,2004.5,2007.0,2006.5,550.3,800.8,640.9,647.9,37.0,166.6,65.8,86.9,9.0,17.0,10.1,10.5,14493.6,13172.4,1321.2,1113230.5,1012609.4,100621.2,1134604.6,1032051.5,102553.1
Lazaro Cardenas,980,440,117845.4,127122.2,2008.5,2009.1,2008.6,2008.8,1617.3,2328.1,2095.5,2076.9,109.0,215.8,241.8,258.5,22.0,49.8,39.2,51.0,10354.5,9948.6,405.9,801066.0,769901.8,31164.1,816446.4,784684.0,31762.5
Coatzacoalcos,611,317,17903.9,28292.3,2006.9,2008.4,2007.0,2007.4,849.2,1385.2,1206.1,1188.2,94.0,172.7,350.5,306.7,41.0,70.7,72.0,72.6,2906.5,2262.2,644.3,221988.9,173472.7,48516.2,226251.1,176803.4,49447.7
Tuxpan,523,287,14012.3,16911.6,2009.4,2009.8,2010.8,2010.1,776.2,1037.1,1064.2,916.5,111.0,179.6,198.7,185.7,39.0,68.8,52.3,57.1,1966.9,1566.3,400.6,150010.2,119868.5,30141.8,152890.4,122169.9,30720.5
Progreso,416,145,9702.1,6533.4,2005.4,2008.6,2005.3,2009.5,603.4,994.9,659.6,768.4,50.0,193.2,92.9,157.2,24.0,71.2,32.8,64.0,1821.3,1610.3,211.0,138988.7,123088.6,15900.1,141657.2,125451.9,16205.3
Ciudad Madero,366,219,8810.0,14561.1,2009.1,2008.8,2009.1,2009.1,693.9,850.0,821.8,820.4,131.0,165.0,192.8,193.7,45.0,69.1,58.3,58.3,1646.3,1192.3,454.0,125398.0,91269.4,34128.6,127805.7,93021.8,34783.8
Dos Bocas,337,178,42913.1,81318.5,2008.2,2008.2,2009.9,2009.9,808.3,2469.5,2391.0,2442.8,143.0,279.0,641.6,646.9,40.0,79.4,108.0,107.3,4039.8,3125.6,914.2,309780.2,240721.5,69058.7,315728.0,245343.4,70384.6
Ensenada,332,103,36817.8,36617.8,2000.5,2005.6,2008.0,2009.7,295.6,3382.9,1592.9,4087.2,38.0,265.1,288.5,327.0,10.0,114.6,27.5,36.7,5020.7,4672.5,348.2,386690.3,360377.8,26312.5,394114.8,367297.1,26817.7
Tampico,282,178,4045.4,5860.7,2002.5,2005.0,2006.9,2007.2,999.9,1401.1,1434.0,1411.5,105.0,174.5,274.3,267.8,47.0,85.3,81.9,71.6,788.7,695.9,92.8,60165.7,53191.8,6973.9,61320.9,54213.1,7107.8
Guaymas,253,215,26617.9,45103.5,2010.4,2010.5,2011.1,2011.1,2639.9,3800.3,3818.5,3867.5,247.0,352.4,495.1,504.6,45.0,78.3,72.3,72.5,2919.6,2662.7,257.0,225228.4,205679.0,19549.4,229552.8,209628.1,19924.7
Punta Venado,163,18,4928.5,7727.4,1995.9,1995.5,1996.4,1995.6,745.9,617.5,762.7,763.5,67.0,59.6,72.3,72.3,20.0,26.9,24.2,24.2,437.0,406.8,30.2,33385.5,31120.3,2265.2,34026.5,31717.8,2308.7
Yuum Kaknaab,153,121,78721.1,151576.4,2008.1,2008.5,2011.0,2011.0,1464.0,4686.0,5960.9,6058.3,270.0,463.0,916.5,918.5,40.0,124.0,72.3,70.2,5160.5,4691.6,469.0,398593.3,362904.1,35689.2,406246.3,369871.8,36374.4
Mazatlan,127,89,10946.7,4556.0,2002.6,2005.2,2008.0,2007.7,1618.1,2601.3,2063.0,2013.9,138.0,262.7,233.5,291.8,12.0,47.2,22.5,40.5,883.8,843.9,39.9,68086.3,65066.7,3019.6,69393.5,66316.0,3077.6
Topolobampo,110,97,7646.6,11834.0,2011.1,2011.0,2010.9,2010.8,2329.4,2809.2,2816.9,2821.5,213.5,288.4,373.4,381.4,50.5,139.6,146.2,150.1,941.2,842.9,98.3,72554.3,65087.5,7466.9,73947.4,66337.1,7610.2
Salina Cruz,104,64,8471.5,14529.0,2006.7,2007.0,2006.3,2006.2,1963.9,2353.2,2260.3,2255.7,280.5,334.0,403.0,405.0,45.0,69.2,73.2,72.8,1642.8,1318.4,324.4,126038.7,101487.5,24551.3,128458.7,103436.0,25022.7
Morro Redondo,84,54,21276.0,39952.8,2009.7,2010.1,2007.9,2007.7,5265.3,5154.6,5335.8,5391.4,514.5,499.1,576.3,579.0,83.5,97.8,115.9,117.6,1313.2,1254.2,59.0,101535.8,97021.4,4514.4,103485.3,98884.2,4601.1
Cabo San Lucas,83,37,7097.0,1351.6,2003.4,2003.2,2004.7,2010.1,826.9,1362.5,1009.7,1849.7,45.0,106.4,92.7,354.1,9.0,13.7,12.1,26.8,1566.0,1488.8,77.2,120698.0,114846.9,5851.2,123015.5,117051.9,5963.5
Puerto Madero,77,18,967.1,1089.5,2002.2,2001.9,2005.7,2008.3,168.0,915.1,532.9,570.4,13.0,140.9,176.4,211.2,15.0,86.0,75.9,98.3,191.1,160.7,30.4,14753.6,12418.6,2334.9,15036.8,12657.1,2379.8
Puerto Vallarta,75,18,8310.7,842.0,2005.6,2001.2,2006.4,2006.1,1116.3,1152.1,1111.6,1113.4,61.0,69.6,62.1,62.6,9.0,13.1,8.9,8.9,1889.9,1822.1,67.7,146085.3,140954.8,5130.5,148890.1,143661.2,5229.0
San Marcos,63,30,5100.3,8482.7,2007.2,2009.9,2007.7,2007.7,2114.0,3062.2,2247.9,2253.9,190.0,301.2,286.0,286.7,36.0,107.4,82.8,83.5,459.0,439.2,19.7,35312.6,33817.2,1495.4,35990.6,34466.5,1524.1
Rosarito,57,55,3262.0,5442.0,2009.4,2009.5,2009.4,2009.5,1055.3,1783.2,1602.9,1612.2,175.0,227.5,393.4,396.2,37.0,60.4,64.5,66.8,559.2,395.3,163.9,42670.4,30295.1,12375.3,43489.6,30876.7,12612.9
Puerto Morelos,55,8,494.5,567.1,2001.3,2002.2,2004.4,2002.3,527.1,945.6,936.2,1401.9,53.0,84.8,138.8,201.9,18.0,261.4,149.3,225.2,101.7,83.4,18.3,7723.2,6348.2,1374.9,7871.4,6470.1,1401.3
Cayo Arcas Terminal,45,39,3671.7,6894.2,2007.1,2007.4,2009.2,2009.3,704.9,1275.0,1360.1,1382.6,141.0,191.3,301.2,304.0,44.0,53.8,52.1,51.7,424.5,303.2,121.3,32421.2,23285.9,9135.3,33043.7,23733.0,9310.7
La Paz,44,38,3874.2,6413.3,2007.8,2007.4,2009.7,2009.9,2379.1,2984.1,3235.8,3243.4,352.5,343.8,423.1,423.8,53.0,56.5,63.3,63.0,522.3,457.7,64.6,40169.3,35265.2,4904.2,40940.6,35942.2,4998.3
El Sauzal,42,17,5673.4,6075.9,1999.0,2003.1,2005.5,2005.3,280.4,3461.6,2054.4,4836.1,41.0,428.4,879.9,913.6,10.0,215.5,107.8,166.7,691.8,625.2,66.6,47220.0,42178.4,5041.6,48126.6,42988.2,5138.4
Rabon Grande/Coatzacoalcos,38,33,1510.2,2538.9,2009.0,2008.6,2009.3,2009.0,996.1,1460.9,1465.2,1494.1,189.0,205.3,316.0,315.5,40.5,58.1,45.0,43.1,224.5,184.9,39.6,17170.8,14186.3,2984.4,17500.5,14458.7,3041.7
Acapulco,33,24,2695.3,809.5,2005.5,2006.3,2006.0,2007.4,1457.0,1740.9,1603.2,1829.4,95.0,136.3,203.4,230.1,8.0,16.6,12.8,15.8,273.2,261.4,11.8,21140.3,20230.1,910.2,21546.2,20618.6,927.7
Salinas,30,24,347.3,536.8,2001.6,2000.2,2001.2,2001.7,141.8,997.4,654.9,717.6,17.0,92.8,91.2,53.2,27.5,310.9,349.3,344.8,77.3,39.2,38.1,5883.2,2973.2,2910.0,5996.2,3030.3,2965.8
Santa Rosalia,28,27,1494.8,2496.8,2010.7,2010.8,2010.9,2010.9,3190.1,3339.5,2886.1,2867.1,290.0,285.5,293.1,290.3,67.5,87.1,101.0,101.8,254.9,222.4,32.6,19658.8,17169.5,2489.3,20036.2,17499.1,2537.1
Playa Del Carmen,19,10,410.0,666.7,1990.4,1995.4,1987.4,1987.1,715.6,967.6,775.7,778.0,73.0,130.6,83.8,81.8,20.0,287.0,34.7,26.0,46.6,38.4,8.2,3552.0,2934.3,617.7,3620.2,2990.6,629.6
Boca Del Rio,17,17,840.1,628.6,2005.6,2005.6,2008.7,2006.7,1084.6,1341.5,1471.8,1329.2,267.0,258.3,261.8,283.9,36.0,53.1,32.6,48.3,79.6,71.5,8.1,6090.7,5482.8,607.9,6207.7,5588.1,619.6
Pichilingue,17,16,890.9,1142.4,2005.1,2005.4,2007.7,2009.0,1808.3,1874.1,1656.1,2123.6,183.0,189.8,195.3,234.6,37.0,53.5,51.6,63.9,152.5,133.3,19.2,11736.5,10291.0,1445.5,11961.8,10488.6,1473.3
Huatulco (Santa Maria Huatulco),16,11,728.4,70.4,2000.2,1999.4,2002.0,2001.9,455.6,567.8,667.3,618.4,32.5,43.7,72.5,67.6,8.0,9.9,9.5,9.4,185.6,172.2,13.4,14367.9,13332.2,1035.7,14643.8,13588.2,1055.6
Ciudad Del Carmen,14,13,279.4,289.5,2002.0,2001.7,2013.4,2012.7,827.2,839.5,1175.7,1107.5,178.0,278.3,189.7,193.7,78.5,219.7,57.4,44.8,37.0,28.5,8.4,2810.1,2172.9,637.2,2864.1,2214.6,649.5
Cantarell,9,9,2561.6,4709.8,2005.2,2005.2,2007.1,2006.8,1323.6,2621.1,5264.2,5737.7,183.0,305.8,964.3,1009.2,52.0,65.1,190.8,203.1,171.7,149.2,22.5,13233.9,11518.1,1715.8,13488.0,11739.2,1748.8
